일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"37소1590","20181201000321888","C:\Img\2018\12\01\000321888S_1590.jpg","01","84",,"9",,"1","371590","(461, 584), W:277, H:81","1200UM 14110782 / 1/1000S / Gain 400 /"
,"24모1128","20181201000720256","C:\Img\2018\12\01\000720256S_1128.jpg","01","46",,"9",,"1","241128","(647, 544), W:291, H:85","1200UM 14110782 / 1/1000S / Gain 400 /"
,"59러5923","20181201001045286","C:\Img\2018\12\01\001045286S_5923.jpg","01","57",,"9",,"1","595923","(567, 576), W:297, H:81","1200UM 14110782 / 1/1000S / Gain 400 /"
,"06두0689","20181201002525252","C:\Img\2018\12\01\002525252S_0689.jpg","01","75",,"10",,"1","060689","(359, 578), W:285, H:83","1200UM 14110782 / 1/1000S / Gain 400 /"
,"52호8009","20181201002918656","C:\Img\2018\12\01\002918656S_8009.jpg","01","85",,"14",,"1","528009","(473, 632), W:305, H:93","1200UM 14110782 / 1/1000S / Gain 400 /"
,"34구4724","20181201003600183","C:\Img\2018\12\01\003600183S_4724.jpg","01","80",,"9",,"1","344724","(569, 574), W:279, H:79","1200UM 14110782 / 1/1000S / Gain 400 /"
,"43주2840","20181201004727817","C:\Img\2018\12\01\004727817S_2840.jpg","01","72",,"9",,"1","432840","(543, 566), W:301, H:83","1200UM 14110782 / 1/1000S / Gain 400 /"
,"57러8035","20181201004916544","C:\Img\2018\12\01\004916544S_8035.jpg","01","73",,"9",,"1","578035","(465, 638), W:301, H:93","1200UM 14110782 / 1/1000S / Gain 400 /"
,"89더0603","20181201013106463","C:\Img\2018\12\01\013106463S_0603.jpg","01","84",,"9",,"1","890603","(477, 516), W:303, H:85","1200UM 14110782 / 1/1000S / Gain 400 /"
,"68누4520","20181201020316198","C:\Img\2018\12\01\020316198S_4520.jpg","01","43",,"8",,"1","684520","(635, 566), W:293, H:79","1200UM 14110782 / 1/1000S / Gain 400 /"
,"34구4724","20181201020340984","C:\Img\2018\12\01\020340984S_4724.jpg","01","77",,"9",,"1","344724","(585, 570), W:273, H:77","1200UM 14110782 / 1/1000S / Gain 400 /"
,"52서6251","20181201020913624","C:\Img\2018\12\01\020913624S_6251.jpg","01","66",,"8",,"1","526251","(447, 522), W:293, H:83","1200UM 14110782 / 1/1000S / Gain 400 /"
,"34모5058","20181201022850932","C:\Img\2018\12\01\022850932S_5058.jpg","01","78",,"10",,"1","345058","(523, 578), W:271, H:77","1200UM 14110782 / 1/1000S / Gain 400 /"
,"38버3499","20181201024959469","C:\Img\2018\12\01\024959469S_3499.jpg","01","85",,"9",,"1","383499","(203, 642), W:303, H:99","1200UM 14110782 / 1/1000S / Gain 400 /"
,"25마0250","20181201025311869","C:\Img\2018\12\01\025311869S_0250.jpg","01","67",,"8",,"1","250250","(505, 630), W:295, H:85","1200UM 14110782 / 1/1000S / Gain 400 /"
,"31저7961","20181201025949567","C:\Img\2018\12\01\025949567S_7961.jpg","01","63",,"10",,"1","317961","(419, 632), W:293, H:93","1200UM 14110782 / 1/1000S / Gain 400 /"
,"59우7408","20181201030130769","C:\Img\2018\12\01\030130769S_7408.jpg","01","67",,"9",,"1","597408","(549, 580), W:277, H:79","1200UM 14110782 / 1/1000S / Gain 400 /"
,"14저1838","20181201030600947","C:\Img\2018\12\01\030600947S_1838.jpg","01","94",,"11",,"1","141838","(579, 534), W:291, H:79","1200UM 14110782 / 1/1000S / Gain 400 /"
,"43보7113","20181201031318683","C:\Img\2018\12\01\031318683S_7113.jpg","01","104",,"17",,"1","437113","(371, 616), W:295, H:91","1200UM 14110782 / 1/1000S / Gain 400 /"
,"37러0200","20181201033104222","C:\Img\2018\12\01\033104222S_0200.jpg","01","65",,"9",,"1","370200","(623, 578), W:271, H:77","1200UM 14110782 / 1/1000S / Gain 400 /"
,"67하1150","20181201042454824","C:\Img\2018\12\01\042454824S_1150.jpg","01","103",,"12",,"1","671150","(409, 548), W:289, H:83","1200UM 14110782 / 1/1000S / Gain 400 /"
,"82저9273","20181201043212353","C:\Img\2018\12\01\043212353S_9273.jpg","01","108",,"13",,"1","829273","(421, 560), W:281, H:81","1200UM 14110782 / 1/1000S / Gain 400 /"
,"22부2658","20181201045322587","C:\Img\2018\12\01\045322587S_2658.jpg","01","60",,"8",,"1","222658","(437, 592), W:301, H:89","1200UM 14110782 / 1/1000S / Gain 400 /"
,"33머9216","20181201050722178","C:\Img\2018\12\01\050722178S_9216.jpg","01","50",,"8",,"1","339216","(461, 598), W:283, H:85","1200UM 14110782 / 1/1000S / Gain 400 /"
,"서울32사6494","20181201054044402","C:\Img\2018\12\01\054044402S_6494.jpg","01","82",,"8",,"1","326494","(503, 564), W:305, H:79","1200UM 14110782 / 1/1000S / Gain 400 /"
,"24보3705","20181201055246425","C:\Img\2018\12\01\055246425S_3705.jpg","01","101",,"8",,"1","243705","(511, 562), W:299, H:85","1200UM 14110782 / 1/1000S / Gain 400 /"
,"56조4841","20181201063027511","C:\Img\2018\12\01\063027511S_4841.jpg","01","76",,"9",,"1","564841","(501, 580), W:279, H:83","1200UM 14110782 / 1/1000S / Gain 400 /"
,"66하7626","20181201063341281","C:\Img\2018\12\01\063341281S_7626.jpg","01","61",,"9",,"1","667626","(621, 574), W:277, H:77","1200UM 14110782 / 1/1000S / Gain 400 /"
,"50호5568","20181201063929708","C:\Img\2018\12\01\063929708S_5568.jpg","01","63",,"8",,"1","505568","(473, 602), W:297, H:85","1200UM 14110782 / 1/1000S / Gain 400 /"
,"58저5040","20181201064111255","C:\Img\2018\12\01\064111255S_5040.jpg","01","42",,"9",,"1","585040","(479, 574), W:293, H:85","1200UM 14110782 / 1/1000S / Gain 400 /"
,"09소0952","20181201065013595","C:\Img\2018\12\01\065013595S_0952.jpg","01","79",,"15",,"1","090952","(291, 658), W:293, H:97","1200UM 14110782 / 1/1000S / Gain 400 /"
,"37부0351","20181201065418127","C:\Img\2018\12\01\065418127S_0351.jpg","01","54",,"8",,"1","370351","(517, 730), W:287, H:93","1200UM 14110782 / 1/1000S / Gain 400 /"
