일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"22조4378","20181101004804718","C:\Img\2018\11\01\004804718S_4378.jpg","01","50",,"22",,"1","224378","(139, 602), W:267, H:81","1200UM 13415075 / 1/1000S / Gain 400 /"
,"서울83너8522","20181101005355875","C:\Img\2018\11\01\005355875S_8522.jpg","01","44",,"31",,"1","838522","(412, 635), W:234, H:114","1200UM 13415075 / 1/1000S / Gain 400 /"
,"서울31자3003","20181101025227593","C:\Img\2018\11\01\025227593S_3003.jpg","01","58",,"24",,"1","313003","(237, 646), W:339, H:75","1200UM 13415075 / 1/1000S / Gain 400 /"
,"서울31아7591","20181101034322015","C:\Img\2018\11\01\034322015S_7591.jpg","01","51",,"23",,"1","317591","(125, 630), W:285, H:83","1200UM 13415075 / 1/1000S / Gain 400 /"
,"70도7152","20181101042355125","C:\Img\2018\11\01\042355125S_7152.jpg","01","74",,"24",,"1","707152","(161, 660), W:201, H:79","1200UM 13415075 / 1/1000S / Gain 400 /"
,"70서5533","20181101043015328","C:\Img\2018\11\01\043015328S_5533.jpg","01","44",,"25",,"1","705533","(59, 594), W:251, H:81","1200UM 13415075 / 1/1000S / Gain 400 /"
,"94러4138","20181101043746265","C:\Img\2018\11\01\043746265S_4138.jpg","01","52",,"26",,"1","944138","(559, 565), W:267, H:128","1200UM 13415075 / 1/1000S / Gain 400 /"
,"34고6758","20181101043841484","C:\Img\2018\11\01\043841484S_6758.jpg","01","61",,"24",,"1","346758","(81, 510), W:195, H:75","1200UM 13415075 / 1/1000S / Gain 400 /"
,"64루3303","20181101043959968","C:\Img\2018\11\01\043959968S_3303.jpg","01","45",,"26",,"1","643303","(293, 622), W:269, H:79","1200UM 13415075 / 1/1000S / Gain 400 /"
,"80루3347","20181101044010531","C:\Img\2018\11\01\044010531S_3347.jpg","01","36",,"26",,"1","803347","(103, 542), W:277, H:77","1200UM 13415075 / 1/1000S / Gain 400 /"
,"28소5294","20181101044730828","C:\Img\2018\11\01\044730828S_5294.jpg","01","40",,"28",,"1","285294","(365, 632), W:227, H:73","1200UM 13415075 / 1/1000S / Gain 400 /"
,"67조1997","20181101044836312","C:\Img\2018\11\01\044836312S_1997.jpg","01","60",,"24",,"1","671997","(129, 634), W:277, H:85","1200UM 13415075 / 1/1000S / Gain 400 /"
,"61로0771","20181101045632062","C:\Img\2018\11\01\045632062S_0771.jpg","01","58",,"23",,"1","610771","(13, 582), W:215, H:85","1200UM 13415075 / 1/1000S / Gain 400 /"
,"05무5237","20181101045725484","C:\Img\2018\11\01\045725484S_5237.jpg","01","51",,"23",,"1","055237","(241, 601), W:197, H:106","1200UM 13415075 / 1/1000S / Gain 400 /"
,"06마6584","20181101045748046","C:\Img\2018\11\01\045748046S_6584.jpg","01","41",,"35",,"1","066584","(483, 588), W:319, H:77","1200UM 13415075 / 1/1000S / Gain 400 /"
,"59로4832","20181101045757781","C:\Img\2018\11\01\045757781S_4832.jpg","01","66",,"24",,"1","594832","(37, 610), W:253, H:83","1200UM 13415075 / 1/1000S / Gain 400 /"
,"76너2499","20181101050446984","C:\Img\2018\11\01\050446984S_2499.jpg","01","43",,"27",,"1","762499","(45, 592), W:247, H:81","1200UM 13415075 / 1/1000S / Gain 400 /"
,"53러6413","20181101051339062","C:\Img\2018\11\01\051339062S_6413.jpg","01","56",,"24",,"1","536413","(205, 612), W:197, H:77","1200UM 13415075 / 1/1000S / Gain 400 /"
,"34무2620","20181101051410687","C:\Img\2018\11\01\051410687S_2620.jpg","01","48",,"25",,"1","342620","(139, 624), W:271, H:85","1200UM 13415075 / 1/1000S / Gain 400 /"
,"14부6149","20181101052518750","C:\Img\2018\11\01\052518750S_6149.jpg","01","70",,"22",,"1","146149","(15, 624), W:265, H:87","1200UM 13415075 / 1/1000S / Gain 400 /"
,"11저5358","20181101052818640","C:\Img\2018\11\01\052818640S_5358.jpg","01","48",,"23",,"1","115358","(67, 652), W:257, H:85","1200UM 13415075 / 1/1000S / Gain 400 /"
,"13어3096","20181101052858828","C:\Img\2018\11\01\052858828S_3096.jpg","01","55",,"23",,"1","133096","(111, 578), W:257, H:75","1200UM 13415075 / 1/1000S / Gain 400 /"
,"10우8916","20181101053019625","C:\Img\2018\11\01\053019625S_8916.jpg","01","64",,"27",,"1","108916","(425, 588), W:323, H:73","1200UM 13415075 / 1/1000S / Gain 400 /"
,"67버3847","20181101053509640","C:\Img\2018\11\01\053509640S_3847.jpg","01","42",,"25",,"1","673847","(383, 586), W:319, H:75","1200UM 13415075 / 1/1000S / Gain 400 /"
,"서울89자8379","20181101053620390","C:\Img\2018\11\01\053620390S_8379.jpg","01","65",,"26",,"1","898379","(86, 522), W:302, H:79","1200UM 13415075 / 1/1000S / Gain 400 /"
,"34라3528","20181101054255078","C:\Img\2018\11\01\054255078S_3528.jpg","01","46",,"23",,"1","343528","(177, 642), W:273, H:81","1200UM 13415075 / 1/1000S / Gain 400 /"
,"75고5899","20181101054419984","C:\Img\2018\11\01\054419984S_5899.jpg","01","62",,"29",,"1","755899","(635, 606), W:231, H:73","1200UM 13415075 / 1/1000S / Gain 400 /"
,"50수9689","20181101054527859","C:\Img\2018\11\01\054527859S_9689.jpg","01","34",,"25",,"1","509689","(457, 618), W:323, H:75","1200UM 13415075 / 1/1000S / Gain 400 /"
,"49다2066","20181101054629359","C:\Img\2018\11\01\054629359S_2066.jpg","01","41",,"27",,"1","492066","(99, 520), W:297, H:85","1200UM 13415075 / 1/1000S / Gain 400 /"
,"33너4918","20181101055259750","C:\Img\2018\11\01\055259750S_4918.jpg","01","49",,"24",,"1","334918","(567, 574), W:319, H:79","1200UM 13415075 / 1/1000S / Gain 400 /"
,"23구0953","20181101055409984","C:\Img\2018\11\01\055409984S_0953.jpg","01","55",,"24",,"1","230953","(69, 580), W:237, H:79","1200UM 13415075 / 1/1000S / Gain 400 /"
,"23구0953","20181101055427484","C:\Img\2018\11\01\055427484S_0953.jpg","01","92",,"27",,"1","230953","(283, 578), W:275, H:75","1200UM 13415075 / 1/1000S / Gain 400 /"
,"86구9511","20181101060911390","C:\Img\2018\11\01\060911390S_9511.jpg","01","51",,"25",,"1","869511","(45, 478), W:269, H:77","1200UM 13415075 / 1/1000S / Gain 400 /"
,"68하6715","20181101063258609","C:\Img\2018\11\01\063258609S_6715.jpg","01","47",,"22",,"1","686715","(167, 618), W:269, H:83","1200UM 13415075 / 1/1000S / Gain 400 /"
,"서울89자5960","20181101064601406","C:\Img\2018\11\01\064601406S_5960.jpg","01","71",,"24",,"1","895960","(202, 552), W:202, H:117","1200UM 13415075 / 1/1000S / Gain 400 /"
,"07어0417","20181101065108437","C:\Img\2018\11\01\065108437S_0417.jpg","01","58",,"24",,"1","070417","(111, 616), W:267, H:83","1200UM 13415075 / 1/1000S / Gain 400 /"
,"서울31바5027","20181101070923546","C:\Img\2018\11\01\070923546S_5027.jpg","01","71",,"16",,"1","315027","(8, 598), W:252, H:77","1200UM 13415075 / 1/2000S / Gain 400 /"
,"25주5524","20181101071047359","C:\Img\2018\11\01\071047359S_5524.jpg","01","101",,"16",,"1","255524","(159, 616), W:269, H:83","1200UM 13415075 / 1/2000S / Gain 400 /"
,"07부5418","20181101074503125","C:\Img\2018\11\01\074503125S_5418.jpg","01","27",,"14",,"1","075418","(349, 638), W:311, H:73","1200UM 13415075 / 1/2000S / Gain 400 /"
,"02호7329","20181101074838484","C:\Img\2018\11\01\074838484S_7329.jpg","01","86",,"17",,"1","027329","(619, 658), W:323, H:79","1200UM 13415075 / 1/2000S / Gain 400 /"
,"04가2327","20181101075956218","C:\Img\2018\11\01\075956218S_2327.jpg","01","56",,"17",,"1","042327","(421, 636), W:225, H:67","1200UM 13415075 / 1/2000S / Gain 400 /"
,"서울84자2371","20181101080902296","C:\Img\2018\11\01\080902296S_2371.jpg","01","100",,"15",,"1","842371","(7, 519), W:173, H:118","1200UM 13415075 / 1/2000S / Gain 400 /"
,"02버4430","20181101081213046","C:\Img\2018\11\01\081213046S_4430.jpg","01","56",,"17",,"1","024430","(533, 614), W:329, H:79","1200UM 13415075 / 1/2000S / Gain 400 /"
,"93서4042","20181101081654656","C:\Img\2018\11\01\081654656S_4042.jpg","01","48",,"15",,"1","934042","(23, 472), W:239, H:75","1200UM 13415075 / 1/2000S / Gain 400 /"
,"39노0556","20181101081706390","C:\Img\2018\11\01\081706390S_0556.jpg","01","139",,"15",,"1","390556","(229, 616), W:255, H:81","1200UM 13415075 / 1/2000S / Gain 400 /"
,"50어3839","20181101082641687","C:\Img\2018\11\01\082641687S_3839.jpg","01","58",,"15",,"1","503839","(6, 606), W:240, H:85","1200UM 13415075 / 1/2000S / Gain 400 /"
,"32고7341","20181101083052343","C:\Img\2018\11\01\083052343S_7341.jpg","01","62",,"16",,"1","327341","(195, 610), W:277, H:85","1200UM 13415075 / 1/2000S / Gain 400 /"
,"61도6107","20181101083311578","C:\Img\2018\11\01\083311578S_6107.jpg","01","75",,"16",,"1","616107","(97, 632), W:253, H:83","1200UM 13415075 / 1/2000S / Gain 400 /"
,"10러3353","20181101083813015","C:\Img\2018\11\01\083813015S_3353.jpg","01","75",,"16",,"1","103353","(133, 610), W:253, H:79","1200UM 13415075 / 1/2000S / Gain 400 /"
,"08두6175","20181101084541781","C:\Img\2018\11\01\084541781S_6175.jpg","01","51",,"18",,"1","086175","(475, 476), W:245, H:119","1200UM 13415075 / 1/2000S / Gain 400 /"
,"33하1800","20181101085310640","C:\Img\2018\11\01\085310640S_1800.jpg","01","47",,"16",,"1","331800","(167, 604), W:265, H:81","1200UM 13415075 / 1/2000S / Gain 400 /"
,"52너7922","20181101090350515","C:\Img\2018\11\01\090350515S_7922.jpg","01","36",,"15",,"1","527922","(113, 606), W:273, H:85","1200UM 13415075 / 1/2000S / Gain 400 /"
,"18하2666","20181101090948171","C:\Img\2018\11\01\090948171S_2666.jpg","01","68",,"16",,"1","182666","(109, 592), W:251, H:77","1200UM 13415075 / 1/2000S / Gain 400 /"
,"36로4377","20181101091648796","C:\Img\2018\11\01\091648796S_4377.jpg","01","65",,"15",,"1","364377","(103, 658), W:273, H:87","1200UM 13415075 / 1/2000S / Gain 400 /"
