일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"61호3332","20181101062357497","C:\Img\2018\11\01\062357497S_3332.jpg","01","53",,"6",,"1","613332","(269, 546), W:275, H:81","1200UM 14052667 / 1/1000S / Gain 340 /"
,"82가0994","20181101063002002","C:\Img\2018\11\01\063002002S_0994.jpg","01","59",,"7",,"1","820994","(213, 426), W:255, H:69","1200UM 14052667 / 1/1000S / Gain 340 /"
,"53호4632","20181101063112567","C:\Img\2018\11\01\063112567S_4632.jpg","01","39",,"7",,"1","534632","(373, 506), W:287, H:67","1200UM 14052667 / 1/1000S / Gain 340 /"
,"08어3487","20181101064145990","C:\Img\2018\11\01\064145990S_3487.jpg","01","49",,"7",,"1","083487","(289, 476), W:261, H:75","1200UM 14052667 / 1/1000S / Gain 340 /"
,"82러8778","20181101065604551","C:\Img\2018\11\01\065604551S_8778.jpg","01","49",,"8",,"1","828778","(263, 440), W:281, H:71","1200UM 14052667 / 1/1000S / Gain 340 /"
,"94우0565","20181101071311436","C:\Img\2018\11\01\071311436S_0565.jpg","01","45",,"6",,"1","940565","(347, 458), W:317, H:79","1200UM 14052667 / 1/2000S / Gain 340 /"
,"94너3593","20181101081719655","C:\Img\2018\11\01\081719655S_3593.jpg","01","78",,"15",,"1","943593","(427, 424), W:285, H:69","1200UM 14052667 / 1/2000S / Gain 340 /"
,"94너3593","20181101085630690","C:\Img\2018\11\01\085630690S_3593.jpg","01","71",,"59",,"1","943593","(253, 476), W:325, H:77","1200UM 14052667 / 1/2000S / Gain 340 /"
,"81로4722","20181101085754956","C:\Img\2018\11\01\085754956S_4722.jpg","01","69",,"50",,"1","814722","(569, 436), W:233, H:75","1200UM 14052667 / 1/2500S / Gain 340 /"
,"72가2326","20181101091340902","C:\Img\2018\11\01\091340902S_2326.jpg","01","99",,"46",,"1","722326","(243, 530), W:299, H:83","1200UM 14052667 / 1/3000S / Gain 340 /"
,"53호4632","20181101091726580","C:\Img\2018\11\01\091726580S_4632.jpg","01","61",,"38",,"1","534632","(431, 502), W:281, H:67","1200UM 14052667 / 1/3000S / Gain 320 /"
,"61버3199","20181101092705353","C:\Img\2018\11\01\092705353S_3199.jpg","01","81",,"19",,"1","613199","(351, 406), W:293, H:73","1200UM 14052667 / 1/3000S / Gain 320 /"
,"82가0994","20181101092832056","C:\Img\2018\11\01\092832056S_0994.jpg","01","92",,"18",,"1","820994","(217, 446), W:279, H:69","1200UM 14052667 / 1/3000S / Gain 340 /"
,"21구9055","20181101095252201","C:\Img\2018\11\01\095252201S_9055.jpg","01","115",,"33",,"1","219055","(159, 522), W:255, H:77","1200UM 14052667 / 1/2500S / Gain 340 /"
,"56더8225","20181101100009841","C:\Img\2018\11\01\100009841S_8225.jpg","01","71",,"38",,"1","568225","(225, 486), W:267, H:73","1200UM 14052667 / 1/2500S / Gain 340 /"
,"82가0994","20181101100931560","C:\Img\2018\11\01\100931560S_0994.jpg","01","81",,"34",,"1","820994","(263, 442), W:279, H:69","1200UM 14052667 / 1/2500S / Gain 340 /"
,"90부9559","20181101101555981","C:\Img\2018\11\01\101555981S_9559.jpg","01","68",,"35",,"1","909559","(243, 440), W:205, H:73","1200UM 14052667 / 1/2500S / Gain 340 /"
,"미인식","20181101101746295","C:\Img\2018\11\01\101746295S_XXXX.jpg","01","311",,"35","1","1",,,"1200UM 14052667 / 1/2500S / Gain 340 /"
,"88머5927","20181101102241224","C:\Img\2018\11\01\102241224S_5927.jpg","01","65",,"38",,"1","885927","(283, 440), W:261, H:67","1200UM 14052667 / 1/2500S / Gain 340 /"
,"25소5025","20181101103052573","C:\Img\2018\11\01\103052573S_5025.jpg","01","63",,"47",,"1","255025","(285, 486), W:257, H:65","1200UM 14052667 / 1/2500S / Gain 340 /"
,"56더8168","20181101103431197","C:\Img\2018\11\01\103431197S_8168.jpg","01","63",,"34",,"1","568168","(321, 486), W:257, H:71","1200UM 14052667 / 1/3000S / Gain 340 /"
,"53호5461","20181101105856849","C:\Img\2018\11\01\105856849S_5461.jpg","01","67",,"58",,"1","535461","(283, 490), W:251, H:69","1200UM 14052667 / 1/3000S / Gain 340 /"
,"56가1386","20181101111053478","C:\Img\2018\11\01\111053478S_1386.jpg","01","111",,"56",,"1","561386","(257, 528), W:283, H:81","1200UM 14052667 / 1/3000S / Gain 320 /"
,"82루1708","20181101112432823","C:\Img\2018\11\01\112432823S_1708.jpg","01","54",,"78",,"1","821708","(465, 412), W:299, H:69","1200UM 14052667 / 1/3000S / Gain 300 /"
,"88러8909","20181101114246664","C:\Img\2018\11\01\114246664S_8909.jpg","01","82",,"72",,"1","888909","(227, 380), W:277, H:75","1200UM 14052667 / 1/3000S / Gain 280 /"
,"미인식","20181101114908466","C:\Img\2018\11\01\114908466S_XXXX.jpg","01","216",,"74","1","1",,,"1200UM 14052667 / 1/3000S / Gain 260 /"
,"56더8346","20181101123216906","C:\Img\2018\11\01\123216906S_8346.jpg","01","56",,"95",,"1","568346","(239, 512), W:259, H:73","1200UM 14052667 / 1/3000S / Gain 240 /"
,"34노8547","20181101124452735","C:\Img\2018\11\01\124452735S_8547.jpg","01","81",,"69",,"1","348547","(543, 498), W:307, H:73","1200UM 14052667 / 1/3000S / Gain 160 /"
,"55러5543","20181101125813042","C:\Img\2018\11\01\125813042S_5543.jpg","01","74",,"49",,"1","555543","(201, 524), W:281, H:71","1200UM 14052667 / 1/4000S / Gain 160 /"
,"56더8404","20181101130055573","C:\Img\2018\11\01\130055573S_8404.jpg","01","57",,"42",,"1","568404","(327, 466), W:269, H:71","1200UM 14052667 / 1/5000S / Gain 160 /"
,"53호4632","20181101131219421","C:\Img\2018\11\01\131219421S_4632.jpg","01","54",,"42",,"1","534632","(341, 532), W:289, H:71","1200UM 14052667 / 1/5000S / Gain 160 /"
,"61호3332","20181101131407935","C:\Img\2018\11\01\131407935S_3332.jpg","01","61",,"41",,"1","613332","(275, 510), W:267, H:71","1200UM 14052667 / 1/5000S / Gain 160 /"
,"81우7653","20181101132044587","C:\Img\2018\11\01\132044587S_7653.jpg","01","76",,"39",,"1","817653","(573, 338), W:317, H:75","1200UM 14052667 / 1/5000S / Gain 160 /"
,"미인식","20181101132246721","C:\Img\2018\11\01\132246721S_XXXX.jpg","01","439",,"26","1","1",,,"1200UM 14052667 / 1/5000S / Gain 160 /"
,"서울89자5484","20181101133518987","C:\Img\2018\11\01\133518987S_5484.jpg","01","57",,"41",,"1","895484","(571, 420), W:303, H:71","1200UM 14052667 / 1/5000S / Gain 160 /"
,"경기35무8505","20181101134358833","C:\Img\2018\11\01\134358833S_8505.jpg","01","74",,"39",,"1","358505","(674, 506), W:224, H:113","1200UM 14052667 / 1/5000S / Gain 160 /"
,"82가0994","20181101140022218","C:\Img\2018\11\01\140022218S_0994.jpg","01","77",,"36",,"1","820994","(273, 438), W:281, H:69","1200UM 14052667 / 1/5000S / Gain 160 /"
,"10무8751","20181101140351344","C:\Img\2018\11\01\140351344S_8751.jpg","01","57",,"35",,"1","108751","(609, 522), W:301, H:79","1200UM 14052667 / 1/5000S / Gain 160 /"
,"56더8404","20181101140616695","C:\Img\2018\11\01\140616695S_8404.jpg","01","44",,"34",,"1","568404","(307, 488), W:277, H:75","1200UM 14052667 / 1/5000S / Gain 160 /"
,"56더8359","20181101140828592","C:\Img\2018\11\01\140828592S_8359.jpg","01","58",,"35",,"1","568359","(361, 494), W:265, H:75","1200UM 14052667 / 1/5000S / Gain 160 /"
,"30버5537","20181101143551846","C:\Img\2018\11\01\143551846S_5537.jpg","01","100",,"38",,"1","305537","(187, 522), W:269, H:83","1200UM 14052667 / 1/5000S / Gain 160 /"
,"82가0994","20181101145149742","C:\Img\2018\11\01\145149742S_0994.jpg","01","81",,"31",,"1","820994","(281, 450), W:285, H:69","1200UM 14052667 / 1/5000S / Gain 160 /"
