일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"서울32바9407","20180901042259935","C:\Img\2018\09\01\042259935S_9407.jpg","01","64",,"8",,"1","329407","(215, 620), W:259, H:69","1200UM 14272135 / 1/1000S / Gain 400 /"
,"23오4445","20180901060541992","C:\Img\2018\09\01\060541992S_4445.jpg","01","75",,"8",,"1","234445","(185, 636), W:243, H:75","1200UM 14272135 / 1/1000S / Gain 400 /"
,"XXXX4818","20180901063535864","C:\Img\2018\09\01\063535864S_4818.jpg","01","94",,"10","1","1","4818","(-14, 608), W:158, H:67","1200UM 14272135 / 1/1000S / Gain 400 /"
,"73라4818","20180901063548850","C:\Img\2018\09\01\063548850S_4818.jpg","01","63",,"10",,"1","734818","(233, 566), W:235, H:67","1200UM 14272135 / 1/1000S / Gain 400 /"
,"60노9318","20180901065041292","C:\Img\2018\09\01\065041292S_9318.jpg","01","158",,"7",,"1","609318","(41, 620), W:213, H:73","1200UM 14272135 / 1/1000S / Gain 400 /"
,"65서5066","20180901083811557","C:\Img\2018\09\01\083811557S_5066.jpg","01","134",,"6",,"1","655066","(39, 602), W:217, H:71","1200UM 14272135 / 1/2000S / Gain 400 /"
,"미인식","20180901083856075","C:\Img\2018\09\01\083856075S_XXXX.jpg","01","232",,"8","1","1",,,"1200UM 14272135 / 1/2000S / Gain 400 /"
,"49노9454","20180901083913376","C:\Img\2018\09\01\083913376S_9454.jpg","01","53",,"7",,"1","499454","(223, 608), W:253, H:73","1200UM 14272135 / 1/2000S / Gain 400 /"
,"57버8063","20180901084415802","C:\Img\2018\09\01\084415802S_8063.jpg","01","52",,"7",,"1","578063","(129, 578), W:225, H:65","1200UM 14272135 / 1/2000S / Gain 400 /"
,"서울31자5377","20180901091410314","C:\Img\2018\09\01\091410314S_5377.jpg","01","129",,"6",,"1","315377","(91, 612), W:223, H:75","1200UM 14272135 / 1/2000S / Gain 400 /"
,"69더1917","20180901092210792","C:\Img\2018\09\01\092210792S_1917.jpg","01","98",,"6",,"1","691917","(43, 632), W:237, H:79","1200UM 14272135 / 1/2000S / Gain 400 /"
,"서울32사2214","20180901100657440","C:\Img\2018\09\01\100657440S_2214.jpg","01","50",,"7",,"1","322214","(171, 638), W:277, H:75","1200UM 14272135 / 1/2000S / Gain 400 /"
,"52수8534","20180901102631171","C:\Img\2018\09\01\102631171S_8534.jpg","01","164",,"6",,"1","528534","(12, 662), W:222, H:77","1200UM 14272135 / 1/2000S / Gain 400 /"
,"미인식","20180901105310149","C:\Img\2018\09\01\105310149S_XXXX.jpg","01","498",,"7","1","1",,,"1200UM 14272135 / 1/2000S / Gain 400 /"
,"58너6850","20180901105322374","C:\Img\2018\09\01\105322374S_6850.jpg","01","86",,"6",,"1","586850","(293, 598), W:247, H:71","1200UM 14272135 / 1/2000S / Gain 400 /"
,"62오8583","20180901114544706","C:\Img\2018\09\01\114544706S_8583.jpg","01","59",,"8",,"1","628583","(151, 596), W:245, H:71","1200UM 14272135 / 1/2000S / Gain 400 /"
,"62나0703","20180901114625037","C:\Img\2018\09\01\114625037S_0703.jpg","01","62",,"6",,"1","620703","(425, 572), W:279, H:71","1200UM 14272135 / 1/2000S / Gain 400 /"
,"서울55머4413","20180901114723781","C:\Img\2018\09\01\114723781S_4413.jpg","01","56",,"8",,"1","554413","(329, 634), W:193, H:115","1200UM 14272135 / 1/2000S / Gain 400 /"
,"35가7284","20180901114946873","C:\Img\2018\09\01\114946873S_7284.jpg","01","57",,"8",,"1","357284","(261, 626), W:299, H:75","1200UM 14272135 / 1/2000S / Gain 400 /"
,"06누8235","20180901115834054","C:\Img\2018\09\01\115834054S_8235.jpg","01","122",,"6",,"1","068235","(27, 610), W:193, H:71","1200UM 14272135 / 1/2000S / Gain 400 /"
,"미인식","20180901121637500","C:\Img\2018\09\01\121637500S_XXXX.jpg","01","182",,"8","1","1",,,"1200UM 14272135 / 1/2000S / Gain 400 /"
,"23오4445","20180901121729381","C:\Img\2018\09\01\121729381S_4445.jpg","01","136",,"29",,"1","234445","(7, 736), W:283, H:83","1200UM 14272135 / 1/2000S / Gain 400 /"
,"38호8137","20180901124845834","C:\Img\2018\09\01\124845834S_8137.jpg","01","71",,"7",,"1","388137","(309, 624), W:257, H:71","1200UM 14272135 / 1/2000S / Gain 400 /"
,"31두2118","20180901131107903","C:\Img\2018\09\01\131107903S_2118.jpg","01","91",,"8",,"1","312118","(335, 600), W:273, H:73","1200UM 14272135 / 1/2000S / Gain 400 /"
,"22가7114","20180901132010188","C:\Img\2018\09\01\132010188S_7114.jpg","01","56",,"8",,"1","227114","(121, 624), W:241, H:71","1200UM 14272135 / 1/2000S / Gain 400 /"
,"미인식","20180901132029441","C:\Img\2018\09\01\132029441S_XXXX.jpg","01","489",,"8","1","1",,,"1200UM 14272135 / 1/2000S / Gain 400 /"
