일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"63루1392","20180901084136379","C:\Img\2018\09\01\084136379S_1392.jpg","01","164",,"59",,"1","631392","(565, 540), W:279, H:115","GigE 692466 / 1/1500S / Gain 70 /"
,"51버7047","20180901084850631","C:\Img\2018\09\01\084850631S_7047.jpg","01","97",,"65",,"1","517047","(825, 526), W:303, H:109","GigE 692466 / 1/1500S / Gain 70 /"
,"41로5927","20180901085137338","C:\Img\2018\09\01\085137338S_5927.jpg","01","118",,"67",,"1","415927","(793, 492), W:299, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"43조8322","20180901085404879","C:\Img\2018\09\01\085404879S_8322.jpg","01","146",,"51",,"1","438322","(867, 564), W:227, H:117","GigE 692466 / 1/2500S / Gain 70 /"
,"30오3970","20180901085602045","C:\Img\2018\09\01\085602045S_3970.jpg","01","91",,"45",,"1","303970","(701, 496), W:279, H:107","GigE 692466 / 1/2500S / Gain 70 /"
,"36두3423","20180901085639327","C:\Img\2018\09\01\085639327S_3423.jpg","01","96",,"45",,"1","363423","(779, 514), W:291, H:111","GigE 692466 / 1/2500S / Gain 70 /"
,"32도7135","20180901085722630","C:\Img\2018\09\01\085722630S_7135.jpg","01","161",,"47",,"1","327135","(767, 522), W:291, H:105","GigE 692466 / 1/2500S / Gain 70 /"
,"38주5807","20180901085827268","C:\Img\2018\09\01\085827268S_5807.jpg","01","100",,"44",,"1","385807","(743, 550), W:321, H:115","GigE 692466 / 1/2500S / Gain 70 /"
,"51너9623","20180901085855916","C:\Img\2018\09\01\085855916S_9623.jpg","01","97",,"53",,"1","519623","(609, 534), W:275, H:113","GigE 692466 / 1/2000S / Gain 70 /"
,"35부5599","20180901090113925","C:\Img\2018\09\01\090113925S_5599.jpg","01","123",,"57",,"1","355599","(797, 516), W:299, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"12저9702","20180901090330975","C:\Img\2018\09\01\090330975S_9702.jpg","01","122",,"53",,"1","129702","(781, 532), W:307, H:115","GigE 692466 / 1/2000S / Gain 70 /"
,"11누6069","20180901090409912","C:\Img\2018\09\01\090409912S_6069.jpg","01","142",,"56",,"1","116069","(777, 502), W:287, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"02거5833","20180901090626229","C:\Img\2018\09\01\090626229S_5833.jpg","01","93",,"53",,"1","025833","(615, 522), W:279, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"경기53바4251","20180901091032332","C:\Img\2018\09\01\091032332S_4251.jpg","01","232",,"51",,"1","534251","(507, 504), W:273, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"59호7222","20180901091104288","C:\Img\2018\09\01\091104288S_7222.jpg","01","144",,"52",,"1","597222","(809, 454), W:297, H:115","GigE 692466 / 1/2000S / Gain 70 /"
,"17라6040","20180901091134045","C:\Img\2018\09\01\091134045S_6040.jpg","01","120",,"53",,"1","176040","(687, 518), W:269, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"11나2435","20180901091251453","C:\Img\2018\09\01\091251453S_2435.jpg","01","121",,"50",,"1","112435","(817, 544), W:237, H:103","GigE 692466 / 1/2000S / Gain 70 /"
,"경기80배1008","20180901092340615","C:\Img\2018\09\01\092340615S_1008.jpg","01","115",,"54",,"1","801008","(586, 410), W:286, H:95","GigE 692466 / 1/2000S / Gain 70 /"
,"03무3087","20180901092404706","C:\Img\2018\09\01\092404706S_3087.jpg","01","114",,"52",,"1","033087","(705, 458), W:289, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"06로9128","20180901093217120","C:\Img\2018\09\01\093217120S_9128.jpg","01","85",,"54",,"1","069128","(751, 496), W:313, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"51마8520","20180901093244508","C:\Img\2018\09\01\093244508S_8520.jpg","01","128",,"54",,"1","518520","(787, 546), W:297, H:111","GigE 692466 / 1/2000S / Gain 70 /"
,"11저9944","20180901093314037","C:\Img\2018\09\01\093314037S_9944.jpg","01","113",,"55",,"1","119944","(811, 538), W:301, H:111","GigE 692466 / 1/2000S / Gain 70 /"
,"46구0476","20180901093340708","C:\Img\2018\09\01\093340708S_0476.jpg","01","110",,"54",,"1","460476","(703, 474), W:295, H:111","GigE 692466 / 1/2000S / Gain 70 /"
,"09가4313","20180901093439693","C:\Img\2018\09\01\093439693S_4313.jpg","01","88",,"58",,"1","094313","(849, 542), W:225, H:117","GigE 692466 / 1/2000S / Gain 70 /"
,"17라4037","20180901093520566","C:\Img\2018\09\01\093520566S_4037.jpg","01","111",,"57",,"1","174037","(845, 536), W:297, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"70도8242","20180901093548515","C:\Img\2018\09\01\093548515S_8242.jpg","01","137",,"59",,"1","708242","(841, 492), W:297, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"35구7533","20180901093636988","C:\Img\2018\09\01\093636988S_7533.jpg","01","91",,"58",,"1","357533","(819, 518), W:305, H:105","GigE 692466 / 1/2000S / Gain 70 /"
,"08부8921","20180901093845440","C:\Img\2018\09\01\093845440S_8921.jpg","01","75",,"55",,"1","088921","(779, 528), W:219, H:123","GigE 692466 / 1/2000S / Gain 70 /"
,"47거3563","20180901093952326","C:\Img\2018\09\01\093952326S_3563.jpg","01","88",,"56",,"1","473563","(755, 492), W:297, H:105","GigE 692466 / 1/2000S / Gain 70 /"
,"57모0223","20180901094030868","C:\Img\2018\09\01\094030868S_0223.jpg","01","94",,"53",,"1","570223","(741, 520), W:299, H:115","GigE 692466 / 1/2000S / Gain 70 /"
,"14수7971","20180901094057462","C:\Img\2018\09\01\094057462S_7971.jpg","01","90",,"58",,"1","147971","(855, 518), W:281, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"경기52고1169","20180901094113519","C:\Img\2018\09\01\094113519S_1169.jpg","01","169",,"56",,"1","521169","(859, 543), W:217, H:116","GigE 692466 / 1/2000S / Gain 70 /"
,"49나2752","20180901094130082","C:\Img\2018\09\01\094130082S_2752.jpg","01","181",,"56",,"1","492752","(809, 514), W:303, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"33두2064","20180901094159314","C:\Img\2018\09\01\094159314S_2064.jpg","01","97",,"54",,"1","332064","(761, 498), W:289, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"07두3947","20180901094320708","C:\Img\2018\09\01\094320708S_3947.jpg","01","138",,"55",,"1","073947","(755, 502), W:291, H:107","GigE 692466 / 1/2000S / Gain 70 /"
,"59도1876","20180901094346637","C:\Img\2018\09\01\094346637S_1876.jpg","01","102",,"53",,"1","591876","(719, 508), W:287, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"58보3869","20180901094443910","C:\Img\2018\09\01\094443910S_3869.jpg","01","98",,"52",,"1","583869","(755, 474), W:301, H:109","GigE 692466 / 1/2000S / Gain 70 /"
,"13조0230","20180901094458108","C:\Img\2018\09\01\094458108S_0230.jpg","01","161",,"54",,"1","130230","(825, 518), W:299, H:111","GigE 692466 / 1/2000S / Gain 70 /"
,"59조6500","20180901094515314","C:\Img\2018\09\01\094515314S_6500.jpg","01","116",,"53",,"1","596500","(631, 470), W:275, H:107","GigE 692466 / 1/2000S / Gain 70 /"
