일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"32무5803","20181101071328562","C:\Img\2018\11\01\071328562S_5803.jpg","01","72",,"7",,"1","325803","(153, 662), W:257, H:77","1200UM 13442335 / 1/2000S / Gain 400 /"
,"79구5040","20181101082221296","C:\Img\2018\11\01\082221296S_5040.jpg","01","44",,"4",,"1","795040","(359, 652), W:283, H:75","1200UM 13442335 / 1/2000S / Gain 400 /"
,"56러8578","20181101090420359","C:\Img\2018\11\01\090420359S_8578.jpg","01","37",,"6",,"1","568578","(365, 642), W:275, H:71","1200UM 13442335 / 1/2000S / Gain 400 /"
,"69누3711","20181101091847031","C:\Img\2018\11\01\091847031S_3711.jpg","01","35",,"5",,"1","693711","(331, 648), W:273, H:75","1200UM 13442335 / 1/2000S / Gain 400 /"
,"51도4163","20181101095449031","C:\Img\2018\11\01\095449031S_4163.jpg","01","42",,"4",,"1","514163","(349, 632), W:271, H:71","1200UM 13442335 / 1/2000S / Gain 400 /"
,"11조1518","20181101095814562","C:\Img\2018\11\01\095814562S_1518.jpg","01","39",,"5",,"1","111518","(461, 666), W:279, H:71","1200UM 13442335 / 1/2000S / Gain 400 /"
,"56노6651","20181101100010031","C:\Img\2018\11\01\100010031S_6651.jpg","01","45",,"6",,"1","566651","(577, 594), W:259, H:67","1200UM 13442335 / 1/2000S / Gain 400 /"
,"22루1150","20181101105703187","C:\Img\2018\11\01\105703187S_1150.jpg","01","47",,"5",,"1","221150","(423, 654), W:271, H:71","1200UM 13442335 / 1/2000S / Gain 400 /"
,"46어5884","20181101112811656","C:\Img\2018\11\01\112811656S_5884.jpg","01","42",,"4",,"1","465884","(299, 770), W:279, H:81","1200UM 13442335 / 1/2000S / Gain 400 /"
,"33부9463","20181101113543875","C:\Img\2018\11\01\113543875S_9463.jpg","01","70",,"4",,"1","339463","(373, 686), W:289, H:79","1200UM 13442335 / 1/2000S / Gain 400 /"
,"53보9309","20181101114000500","C:\Img\2018\11\01\114000500S_9309.jpg","01","59",,"7",,"1","539309","(413, 698), W:287, H:75","1200UM 13442335 / 1/2000S / Gain 400 /"
,"56라8342","20181101114556515","C:\Img\2018\11\01\114556515S_8342.jpg","01","46",,"9",,"1","568342","(371, 724), W:281, H:75","1200UM 13442335 / 1/2000S / Gain 400 /"
,"17두0993","20181101114916000","C:\Img\2018\11\01\114916000S_0993.jpg","01","37",,"9",,"1","170993","(257, 706), W:287, H:79","1200UM 13442335 / 1/2000S / Gain 400 /"
,"23오4790","20181101115027140","C:\Img\2018\11\01\115027140S_4790.jpg","01","58",,"8",,"1","234790","(221, 670), W:271, H:75","1200UM 13442335 / 1/2000S / Gain 400 /"
,"10더3750","20181101115841687","C:\Img\2018\11\01\115841687S_3750.jpg","01","72",,"7",,"1","103750","(265, 680), W:285, H:75","1200UM 13442335 / 1/2000S / Gain 400 /"
,"25누3761","20181101120351828","C:\Img\2018\11\01\120351828S_3761.jpg","01","51",,"5",,"1","253761","(309, 618), W:261, H:69","1200UM 13442335 / 1/2000S / Gain 400 /"
,"51도4163","20181101120357781","C:\Img\2018\11\01\120357781S_4163.jpg","01","45",,"4",,"1","514163","(327, 616), W:263, H:69","1200UM 13442335 / 1/2000S / Gain 400 /"
,"37거0500","20181101120930140","C:\Img\2018\11\01\120930140S_0500.jpg","01","66",,"3",,"1","370500","(193, 704), W:289, H:81","1200UM 13442335 / 1/2000S / Gain 400 /"
,"02조1281","20181101121149234","C:\Img\2018\11\01\121149234S_1281.jpg","01","48",,"3",,"1","021281","(257, 680), W:275, H:79","1200UM 13442335 / 1/2000S / Gain 400 /"
,"56마5981","20181101121243484","C:\Img\2018\11\01\121243484S_5981.jpg","01","47",,"17",,"1","565981","(215, 730), W:295, H:91","1200UM 13442335 / 1/2000S / Gain 400 /"
