일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"37러3419","20180701060943320","C:\Img\2018\07\01\060943320S_3419.jpg","01","51",,"31",,"1","373419","(425, 544), W:239, H:61","GigE 16302994 / 1/500S / Gain 70 /"
,"경남99바7873","20180701063113144","C:\Img\2018\07\01\063113144S_7873.jpg","01","81",,"33",,"1","997873","(534, 355), W:254, H:126","GigE 16302994 / 1/500S / Gain 70 /"
,"경남99바5444","20180701063752841","C:\Img\2018\07\01\063752841S_5444.jpg","01","84",,"31",,"1","995444","(478, 479), W:232, H:118","GigE 16302994 / 1/500S / Gain 70 /"
,"41누3689","20180701070304576","C:\Img\2018\07\01\070304576S_3689.jpg","01","90",,"34",,"1","413689","(571, 532), W:253, H:63","GigE 16302994 / 1/1500S / Gain 70 /"
,"22주0853","20180701071058606","C:\Img\2018\07\01\071058606S_0853.jpg","01","40",,"19",,"1","220853","(345, 564), W:253, H:67","GigE 16302994 / 1/1000S / Gain 70 /"
,"32어6295","20180701071453815","C:\Img\2018\07\01\071453815S_6295.jpg","01","41",,"24",,"1","326295","(665, 480), W:279, H:73","GigE 16302994 / 1/500S / Gain 70 /"
,"84버4165","20180701071547122","C:\Img\2018\07\01\071547122S_4165.jpg","01","96",,"36",,"1","844165","(465, 526), W:247, H:59","GigE 16302994 / 1/500S / Gain 70 /"
,"부산99사5045","20180701072539274","C:\Img\2018\07\01\072539274S_5045.jpg","01","77",,"33",,"1","995045","(242, 378), W:242, H:125","GigE 16302994 / 1/500S / Gain 70 /"
,"부산91아2706","20180701073141474","C:\Img\2018\07\01\073141474S_2706.jpg","01","142",,"33",,"1","912706","(117, 396), W:227, H:121","GigE 16302994 / 1/500S / Gain 70 /"
,"25노3276","20180701084447529","C:\Img\2018\07\01\084447529S_3276.jpg","01","75",,"78",,"1","253276","(265, 570), W:195, H:71","GigE 16302994 / 1/500S / Gain 70 /"
,"10도9892","20180701091809218","C:\Img\2018\07\01\091809218S_9892.jpg","01","93",,"70",,"1","109892","(513, 604), W:195, H:63","GigE 16302994 / 1/1000S / Gain 70 /"
,"부산99사9658","20180701092247465","C:\Img\2018\07\01\092247465S_9658.jpg","01","90",,"40",,"1","999658","(419, 535), W:223, H:110","GigE 16302994 / 1/1500S / Gain 70 /"
,"부산99사4273","20180701093010144","C:\Img\2018\07\01\093010144S_4273.jpg","01","126",,"34",,"1","994273","(758, 477), W:250, H:120","GigE 16302994 / 1/1500S / Gain 70 /"
,"10도9892","20180701094510503","C:\Img\2018\07\01\094510503S_9892.jpg","01","85",,"58",,"1","109892","(573, 608), W:197, H:63","GigE 16302994 / 1/1000S / Gain 70 /"
,"68저1951","20180701095846573","C:\Img\2018\07\01\095846573S_1951.jpg","01","175",,"124",,"1","681951","(291, 554), W:237, H:61","GigE 16302994 / 1/1500S / Gain 70 /"
,"68저1951","20180701095900951","C:\Img\2018\07\01\095900951S_1951.jpg","01","159",,"90",,"1","681951","(277, 564), W:245, H:65","GigE 16302994 / 1/3000S / Gain 70 /"
