일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"10너1019","20181001004749437","C:\Img\2018\10\01\004749437S_1019.jpg","FF","184",,"16",,"1","101019","(371, 606), W:253, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"09오9297","20181001005344906","C:\Img\2018\10\01\005344906S_9297.jpg","FF","162",,"17",,"1","099297","(387, 608), W:249, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"47부4756","20181001081549500","C:\Img\2018\10\01\081549500S_4756.jpg","FF","140",,"14",,"1","474756","(271, 610), W:245, H:77","1200UM 11445285 / 1/3000S / Gain 340 /"
,"66우6309","20181001082718359","C:\Img\2018\10\01\082718359S_6309.jpg","FF","182",,"16",,"1","666309","(483, 586), W:263, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"63우9701","20181001082929609","C:\Img\2018\10\01\082929609S_9701.jpg","FF","153",,"16",,"1","639701","(407, 526), W:249, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"58조5386","20181001083431531","C:\Img\2018\10\01\083431531S_5386.jpg","FF","153",,"15",,"1","585386","(121, 592), W:211, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"20도6223","20181001084439750","C:\Img\2018\10\01\084439750S_6223.jpg","FF","147",,"15",,"1","206223","(369, 624), W:261, H:77","1200UM 11445285 / 1/3000S / Gain 340 /"
,"51노9961","20181001085427843","C:\Img\2018\10\01\085427843S_9961.jpg","FF","131",,"16",,"1","519961","(317, 614), W:245, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1927","20181001091316328","C:\Img\2018\10\01\091316328S_1927.jpg","FF","132",,"15",,"1","421927","(499, 608), W:255, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"45호4392","20181001091404031","C:\Img\2018\10\01\091404031S_4392.jpg","FF","153",,"15",,"1","454392","(565, 596), W:283, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1942","20181001091429359","C:\Img\2018\10\01\091429359S_1942.jpg","FF","122",,"15",,"1","421942","(447, 602), W:273, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1931","20181001091508859","C:\Img\2018\10\01\091508859S_1931.jpg","FF","117",,"15",,"1","421931","(487, 620), W:261, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1946","20181001091530656","C:\Img\2018\10\01\091530656S_1946.jpg","FF","122",,"15",,"1","421946","(439, 590), W:261, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1747","20181001091553906","C:\Img\2018\10\01\091553906S_1747.jpg","FF","100",,"15",,"1","421747","(415, 622), W:259, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"68하8438","20181001091613125","C:\Img\2018\10\01\091613125S_8438.jpg","FF","158",,"15",,"1","688438","(363, 632), W:243, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"32하5024","20181001091915578","C:\Img\2018\10\01\091915578S_5024.jpg","FF","129",,"16",,"1","325024","(441, 630), W:287, H:79","1200UM 11445285 / 1/3000S / Gain 340 /"
,"86루4662","20181001091941015","C:\Img\2018\10\01\091941015S_4662.jpg","FF","152",,"16",,"1","864662","(423, 566), W:249, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"37호5842","20181001091947937","C:\Img\2018\10\01\091947937S_5842.jpg","FF","165",,"15",,"1","375842","(425, 724), W:263, H:79","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1943","20181001092005375","C:\Img\2018\10\01\092005375S_1943.jpg","FF","130",,"15",,"1","421943","(521, 600), W:283, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"37하4671","20181001092029781","C:\Img\2018\10\01\092029781S_4671.jpg","FF","114",,"15",,"1","374671","(405, 594), W:253, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1938","20181001092109859","C:\Img\2018\10\01\092109859S_1938.jpg","FF","138",,"16",,"1","421938","(465, 610), W:255, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1901","20181001092215937","C:\Img\2018\10\01\092215937S_1901.jpg","FF","137",,"15",,"1","421901","(493, 624), W:265, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"31마2262","20181001092325250","C:\Img\2018\10\01\092325250S_2262.jpg","FF","97",,"15",,"1","312262","(265, 617), W:193, H:112","1200UM 11445285 / 1/3000S / Gain 340 /"
,"31러1043","20181001092414515","C:\Img\2018\10\01\092414515S_1043.jpg","FF","78",,"16",,"1","311043","(611, 610), W:199, H:107","1200UM 11445285 / 1/3000S / Gain 340 /"
,"41저5397","20181001092434781","C:\Img\2018\10\01\092434781S_5397.jpg","FF","149",,"16",,"1","415397","(467, 590), W:267, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호2382","20181001092653765","C:\Img\2018\10\01\092653765S_2382.jpg","FF","139",,"15",,"1","422382","(409, 648), W:283, H:77","1200UM 11445285 / 1/3000S / Gain 340 /"
,"81더1953","20181001092740875","C:\Img\2018\10\01\092740875S_1953.jpg","FF","142",,"15",,"1","811953","(323, 622), W:247, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"43두5765","20181001092759609","C:\Img\2018\10\01\092759609S_5765.jpg","FF","131",,"17",,"1","435765","(361, 702), W:243, H:79","1200UM 11445285 / 1/3000S / Gain 340 /"
,"31마1432","20181001093222000","C:\Img\2018\10\01\093222000S_1432.jpg","FF","241",,"16",,"1","311432","(505, 589), W:205, H:116","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1941","20181001093504125","C:\Img\2018\10\01\093504125S_1941.jpg","FF","131",,"15",,"1","421941","(435, 610), W:269, H:79","1200UM 11445285 / 1/3000S / Gain 340 /"
,"68가9441","20181001093544125","C:\Img\2018\10\01\093544125S_9441.jpg","FF","125",,"16",,"1","689441","(379, 620), W:259, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1945","20181001093553421","C:\Img\2018\10\01\093553421S_1945.jpg","FF","163",,"15",,"1","421945","(449, 610), W:277, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"54가0815","20181001094331421","C:\Img\2018\10\01\094331421S_0815.jpg","FF","123",,"16",,"1","540815","(461, 594), W:255, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"13두0249","20181001094351015","C:\Img\2018\10\01\094351015S_0249.jpg","FF","108",,"16",,"1","130249","(555, 570), W:287, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"32러3528","20181001094740171","C:\Img\2018\10\01\094740171S_3528.jpg","FF","233",,"16",,"1","323528","(451, 618), W:269, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"54가0891","20181001094827796","C:\Img\2018\10\01\094827796S_0891.jpg","FF","172",,"15",,"1","540891","(501, 588), W:255, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42호1944","20181001094950734","C:\Img\2018\10\01\094950734S_1944.jpg","FF","146",,"15",,"1","421944","(413, 610), W:275, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"67호5411","20181001095605187","C:\Img\2018\10\01\095605187S_5411.jpg","FF","142",,"17",,"1","675411","(453, 582), W:251, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"47주4120","20181001095711843","C:\Img\2018\10\01\095711843S_4120.jpg","FF","120",,"17",,"1","474120","(367, 600), W:255, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"11노7400","20181001095734281","C:\Img\2018\10\01\095734281S_7400.jpg","FF","105",,"17",,"1","117400","(439, 624), W:269, H:77","1200UM 11445285 / 1/3000S / Gain 340 /"
,"42조4639","20181001100346531","C:\Img\2018\10\01\100346531S_4639.jpg","FF","115",,"16",,"1","424639","(261, 620), W:257, H:79","1200UM 11445285 / 1/3000S / Gain 340 /"
,"37하4670","20181001100535875","C:\Img\2018\10\01\100535875S_4670.jpg","FF","90",,"15",,"1","374670","(505, 610), W:281, H:77","1200UM 11445285 / 1/3000S / Gain 340 /"
,"16오4455","20181001101042781","C:\Img\2018\10\01\101042781S_4455.jpg","FF","151",,"17",,"1","164455","(333, 660), W:273, H:81","1200UM 11445285 / 1/3000S / Gain 340 /"
,"27저6812","20181001101106203","C:\Img\2018\10\01\101106203S_6812.jpg","FF","144",,"16",,"1","276812","(511, 610), W:275, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"38고4060","20181001101132140","C:\Img\2018\10\01\101132140S_4060.jpg","FF","161",,"16",,"1","384060","(411, 606), W:271, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"35저5270","20181001101200203","C:\Img\2018\10\01\101200203S_5270.jpg","FF","117",,"16",,"1","355270","(445, 602), W:263, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"45도5015","20181001101314078","C:\Img\2018\10\01\101314078S_5015.jpg","FF","186",,"15",,"1","455015","(431, 602), W:271, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"66나6962","20181001101720843","C:\Img\2018\10\01\101720843S_6962.jpg","FF","143",,"16",,"1","666962","(517, 640), W:277, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"37호4318","20181001101840796","C:\Img\2018\10\01\101840796S_4318.jpg","FF","125",,"15",,"1","374318","(297, 616), W:251, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"38무4295","20181001101941156","C:\Img\2018\10\01\101941156S_4295.jpg","FF","184",,"16",,"1","384295","(357, 624), W:261, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"27라0826","20181001102405625","C:\Img\2018\10\01\102405625S_0826.jpg","FF","162",,"15",,"1","270826","(529, 582), W:265, H:67","1200UM 11445285 / 1/3000S / Gain 340 /"
,"55고8922","20181001103227296","C:\Img\2018\10\01\103227296S_8922.jpg","FF","134",,"17",,"1","558922","(467, 624), W:267, H:77","1200UM 11445285 / 1/3000S / Gain 340 /"
,"38무8331","20181001103910625","C:\Img\2018\10\01\103910625S_8331.jpg","FF","125",,"16",,"1","388331","(371, 588), W:265, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"27보6877","20181001104734187","C:\Img\2018\10\01\104734187S_6877.jpg","FF","134",,"16",,"1","276877","(599, 602), W:207, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"03가6092","20181001104953171","C:\Img\2018\10\01\104953171S_6092.jpg","FF","176",,"17",,"1","036092","(377, 610), W:263, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"69두4253","20181001105316140","C:\Img\2018\10\01\105316140S_4253.jpg","FF","138",,"17",,"1","694253","(283, 624), W:261, H:79","1200UM 11445285 / 1/3000S / Gain 340 /"
,"34노6393","20181001105615062","C:\Img\2018\10\01\105615062S_6393.jpg","FF","188",,"17",,"1","346393","(419, 624), W:263, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"38서0126","20181001110000484","C:\Img\2018\10\01\110000484S_0126.jpg","FF","165",,"17",,"1","380126","(413, 622), W:269, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"24머2848","20181001110256750","C:\Img\2018\10\01\110256750S_2848.jpg","FF","112",,"16",,"1","242848","(443, 636), W:281, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
,"23너4676","20181001110635359","C:\Img\2018\10\01\110635359S_4676.jpg","FF","177",,"17",,"1","234676","(413, 636), W:273, H:77","1200UM 11445285 / 1/3000S / Gain 340 /"
,"11로5077","20181001110722453","C:\Img\2018\10\01\110722453S_5077.jpg","FF","114",,"16",,"1","115077","(571, 592), W:275, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"65누3097","20181001111054765","C:\Img\2018\10\01\111054765S_3097.jpg","FF","194",,"16",,"1","653097","(387, 602), W:251, H:69","1200UM 11445285 / 1/3000S / Gain 340 /"
,"48하7201","20181001111117656","C:\Img\2018\10\01\111117656S_7201.jpg","FF","181",,"16",,"1","487201","(423, 626), W:251, H:73","1200UM 11445285 / 1/3000S / Gain 340 /"
,"53노0360","20181001111330703","C:\Img\2018\10\01\111330703S_0360.jpg","FF","172",,"16",,"1","530360","(427, 644), W:259, H:71","1200UM 11445285 / 1/3000S / Gain 340 /"
,"60노9005","20181001111443015","C:\Img\2018\10\01\111443015S_9005.jpg","FF","101",,"15",,"1","609005","(495, 604), W:273, H:75","1200UM 11445285 / 1/3000S / Gain 340 /"
