일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"52서1236","20180801052448989","C:\Img\2018\08\01\052448989S_1236.jpg","01","93",,"44",,"1","521236","(423, 526), W:269, H:63","GigE 16162815 / 1/500S / Gain 70 /"
,"97어3341","20180801054841011","C:\Img\2018\08\01\054841011S_3341.jpg","01","68",,"47",,"1","973341","(409, 608), W:261, H:73","GigE 16162815 / 1/500S / Gain 70 /"
,"31고5905","20180801061101467","C:\Img\2018\08\01\061101467S_5905.jpg","01","60",,"62",,"1","315905","(611, 548), W:271, H:65","GigE 16162815 / 1/500S / Gain 70 /"
,"15머4972","20180801061828568","C:\Img\2018\08\01\061828568S_4972.jpg","01","56",,"60",,"1","154972","(455, 612), W:275, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"15고4441","20180801062056970","C:\Img\2018\08\01\062056970S_4441.jpg","01","80",,"42",,"1","154441","(491, 632), W:251, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"90누9260","20180801062146880","C:\Img\2018\08\01\062146880S_9260.jpg","01","56",,"40",,"1","909260","(611, 572), W:201, H:63","GigE 16162815 / 1/1000S / Gain 70 /"
,"72도8791","20180801062900133","C:\Img\2018\08\01\062900133S_8791.jpg","01","62",,"41",,"1","728791","(531, 600), W:203, H:61","GigE 16162815 / 1/1000S / Gain 70 /"
,"56로3221","20180801063748091","C:\Img\2018\08\01\063748091S_3221.jpg","01","42",,"44",,"1","563221","(493, 734), W:263, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"24소0367","20180801063757729","C:\Img\2018\08\01\063757729S_0367.jpg","01","59",,"44",,"1","240367","(547, 588), W:259, H:63","GigE 16162815 / 1/1000S / Gain 70 /"
,"60보4677","20180801064442578","C:\Img\2018\08\01\064442578S_4677.jpg","01","35",,"43",,"1","604677","(573, 614), W:275, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"59로0936","20180801065109030","C:\Img\2018\08\01\065109030S_0936.jpg","01","75",,"44",,"1","590936","(491, 640), W:199, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"54주7443","20180801065837006","C:\Img\2018\08\01\065837006S_7443.jpg","01","53",,"45",,"1","547443","(541, 578), W:269, H:67","GigE 16162815 / 1/1000S / Gain 70 /"
,"84나9124","20180801073648076","C:\Img\2018\08\01\073648076S_9124.jpg","01","57",,"46",,"1","849124","(499, 621), W:209, H:104","GigE 16162815 / 1/1500S / Gain 70 /"
,"18우8604","20180801074229053","C:\Img\2018\08\01\074229053S_8604.jpg","01","49",,"41",,"1","188604","(593, 608), W:277, H:65","GigE 16162815 / 1/1500S / Gain 70 /"
,"01거6861","20180801074556664","C:\Img\2018\08\01\074556664S_6861.jpg","01","119",,"41",,"1","016861","(487, 620), W:263, H:63","GigE 16162815 / 1/1500S / Gain 70 /"
,"55서6887","20180801082109599","C:\Img\2018\08\01\082109599S_6887.jpg","01","93",,"46",,"1","556887","(533, 674), W:255, H:61","GigE 16162815 / 1/1500S / Gain 70 /"
,"17로9422","20180801083727909","C:\Img\2018\08\01\083727909S_9422.jpg","01","52",,"51",,"1","179422","(627, 590), W:205, H:95","GigE 16162815 / 1/1500S / Gain 70 /"
,"11소1115","20180801083958855","C:\Img\2018\08\01\083958855S_1115.jpg","01","68",,"50",,"1","111115","(573, 564), W:265, H:61","GigE 16162815 / 1/1500S / Gain 70 /"
,"22오7657","20180801090032114","C:\Img\2018\08\01\090032114S_7657.jpg","01","60",,"53",,"1","227657","(575, 594), W:263, H:63","GigE 16162815 / 1/1500S / Gain 70 /"
,"13라5290","20180801093342846","C:\Img\2018\08\01\093342846S_5290.jpg","01","124",,"50",,"1","135290","(509, 648), W:281, H:69","GigE 16162815 / 1/1500S / Gain 70 /"
,"34버0424","20180801100340833","C:\Img\2018\08\01\100340833S_0424.jpg","01","58",,"53",,"1","340424","(553, 592), W:269, H:69","GigE 16162815 / 1/1500S / Gain 70 /"
,"53더0800","20180801101036252","C:\Img\2018\08\01\101036252S_0800.jpg","01","116",,"64",,"1","530800","(557, 680), W:255, H:67","GigE 16162815 / 1/1500S / Gain 70 /"
,"부산80무2293","20180801103519995","C:\Img\2018\08\01\103519995S_2293.jpg","01","77",,"80",,"1","802293","(571, 537), W:201, H:104","GigE 16162815 / 1/2000S / Gain 70 /"
,"69서5983","20180801103840965","C:\Img\2018\08\01\103840965S_5983.jpg","01","95",,"82",,"1","695983","(547, 592), W:257, H:61","GigE 16162815 / 1/2500S / Gain 70 /"
,"11소1392","20180801104457129","C:\Img\2018\08\01\104457129S_1392.jpg","01","68",,"76",,"1","111392","(613, 634), W:277, H:67","GigE 16162815 / 1/3000S / Gain 70 /"
,"18우8604","20180801105158399","C:\Img\2018\08\01\105158399S_8604.jpg","01","66",,"141",,"1","188604","(517, 600), W:267, H:65","GigE 16162815 / 1/4000S / Gain 70 /"
,"36서9037","20180801105854865","C:\Img\2018\08\01\105854865S_9037.jpg","01","73",,"143",,"1","369037","(541, 584), W:263, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"37루7938","20180801115250247","C:\Img\2018\08\01\115250247S_7938.jpg","01","61",,"163",,"1","377938","(575, 590), W:197, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"17마5719","20180801115952422","C:\Img\2018\08\01\115952422S_5719.jpg","01","78",,"160",,"1","175719","(577, 561), W:199, H:102","GigE 16162815 / 1/9000S / Gain 70 /"
,"15누8560","20180801120054485","C:\Img\2018\08\01\120054485S_8560.jpg","01","61",,"112",,"1","158560","(441, 626), W:263, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"23너1605","20180801122305757","C:\Img\2018\08\01\122305757S_1605.jpg","01","70",,"168",,"1","231605","(561, 566), W:269, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"50서2789","20180801122814461","C:\Img\2018\08\01\122814461S_2789.jpg","01","78",,"171",,"1","502789","(653, 560), W:263, H:61","GigE 16162815 / 1/9000S / Gain 70 /"
,"57어8753","20180801124535031","C:\Img\2018\08\01\124535031S_8753.jpg","01","90",,"148",,"1","578753","(429, 580), W:263, H:61","GigE 16162815 / 1/9000S / Gain 70 /"
,"32노1100","20180801125934265","C:\Img\2018\08\01\125934265S_1100.jpg","01","77",,"142",,"1","321100","(483, 622), W:261, H:73","GigE 16162815 / 1/9000S / Gain 70 /"
,"55서6845","20180801135146096","C:\Img\2018\08\01\135146096S_6845.jpg","01","69",,"164",,"1","556845","(639, 630), W:281, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"10러2487","20180801142827719","C:\Img\2018\08\01\142827719S_2487.jpg","01","138",,"162",,"1","102487","(505, 606), W:193, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"28너3289","20180801155131041","C:\Img\2018\08\01\155131041S_3289.jpg","01","147",,"50",,"1","283289","(539, 628), W:261, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"부산36바1231","20180801161501136","C:\Img\2018\08\01\161501136S_1231.jpg","01","56",,"39",,"1","361231","(625, 602), W:291, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"15보9799","20180801174725648","C:\Img\2018\08\01\174725648S_9799.jpg","01","159",,"31",,"1","159799","(421, 670), W:269, H:67","GigE 16162815 / 1/6000S / Gain 70 /"
,"10루5612","20180801174838450","C:\Img\2018\08\01\174838450S_5612.jpg","01","72",,"37",,"1","105612","(409, 706), W:201, H:69","GigE 16162815 / 1/5000S / Gain 70 /"
,"32소0828","20180801185650306","C:\Img\2018\08\01\185650306S_0828.jpg","01","82",,"20",,"1","320828","(369, 684), W:207, H:71","GigE 16162815 / 1/4000S / Gain 70 /"
,"50서2789","20180801192635376","C:\Img\2018\08\01\192635376S_2789.jpg","01","115",,"50",,"1","502789","(653, 580), W:265, H:63","GigE 16162815 / 1/500S / Gain 70 /"
,"21도8253","20180801193606321","C:\Img\2018\08\01\193606321S_8253.jpg","01","61",,"46",,"1","218253","(411, 644), W:277, H:69","GigE 16162815 / 1/500S / Gain 70 /"
,"53버1081","20180801193734272","C:\Img\2018\08\01\193734272S_1081.jpg","01","62",,"43",,"1","531081","(499, 612), W:267, H:69","GigE 16162815 / 1/500S / Gain 70 /"
,"41나6350","20180801201824286","C:\Img\2018\08\01\201824286S_6350.jpg","01","61",,"42",,"1","416350","(513, 570), W:257, H:59","GigE 16162815 / 1/500S / Gain 70 /"
,"22조1370","20180801213345042","C:\Img\2018\08\01\213345042S_1370.jpg","01","57",,"41",,"1","221370","(535, 612), W:261, H:65","GigE 16162815 / 1/500S / Gain 70 /"
,"76버9687","20180801214543314","C:\Img\2018\08\01\214543314S_9687.jpg","01","71",,"43",,"1","769687","(415, 624), W:267, H:69","GigE 16162815 / 1/500S / Gain 70 /"
,"10러2487","20180802022159783","C:\Img\2018\08\02\022159783S_2487.jpg","01","60",,"47",,"1","102487","(481, 670), W:205, H:73","GigE 16162815 / 1/500S / Gain 70 /"
,"52서1236","20180802052005264","C:\Img\2018\08\02\052005264S_1236.jpg","01","54",,"43",,"1","521236","(367, 566), W:277, H:67","GigE 16162815 / 1/500S / Gain 70 /"
,"97어3341","20180802055311756","C:\Img\2018\08\02\055311756S_3341.jpg","01","75",,"48",,"1","973341","(453, 602), W:265, H:67","GigE 16162815 / 1/500S / Gain 70 /"
,"15고4441","20180802061838710","C:\Img\2018\08\02\061838710S_4441.jpg","01","101",,"63",,"1","154441","(553, 600), W:251, H:65","GigE 16162815 / 1/500S / Gain 70 /"
,"18우8604","20180802062907817","C:\Img\2018\08\02\062907817S_8604.jpg","01","49",,"66",,"1","188604","(561, 590), W:269, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"72도8791","20180802063539610","C:\Img\2018\08\02\063539610S_8791.jpg","01","61",,"43",,"1","728791","(551, 602), W:205, H:63","GigE 16162815 / 1/1500S / Gain 70 /"
,"24소0367","20180802064322396","C:\Img\2018\08\02\064322396S_0367.jpg","01","42",,"34",,"1","240367","(561, 614), W:271, H:67","GigE 16162815 / 1/1500S / Gain 70 /"
,"10루5612","20180802064741585","C:\Img\2018\08\02\064741585S_5612.jpg","01","69",,"46",,"1","105612","(559, 662), W:205, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"60보4677","20180802070348674","C:\Img\2018\08\02\070348674S_4677.jpg","01","48",,"47",,"1","604677","(597, 598), W:271, H:65","GigE 16162815 / 1/1500S / Gain 70 /"
,"59로0936","20180802070353847","C:\Img\2018\08\02\070353847S_0936.jpg","01","72",,"36",,"1","590936","(561, 592), W:195, H:61","GigE 16162815 / 1/1500S / Gain 70 /"
,"60라6765","20180802074144934","C:\Img\2018\08\02\074144934S_6765.jpg","01","101",,"55",,"1","606765","(495, 674), W:285, H:69","GigE 16162815 / 1/1000S / Gain 70 /"
,"13도3893","20180802085709192","C:\Img\2018\08\02\085709192S_3893.jpg","01","82",,"76",,"1","133893","(517, 630), W:267, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"65루7227","20180802092807207","C:\Img\2018\08\02\092807207S_7227.jpg","01","96",,"81",,"1","657227","(693, 596), W:195, H:63","GigE 16162815 / 1/1500S / Gain 70 /"
,"52누0131","20180802092931793","C:\Img\2018\08\02\092931793S_0131.jpg","01","61",,"57",,"1","520131","(571, 568), W:255, H:63","GigE 16162815 / 1/2000S / Gain 70 /"
,"13라5290","20180802093303757","C:\Img\2018\08\02\093303757S_5290.jpg","01","75",,"48",,"1","135290","(517, 640), W:273, H:73","GigE 16162815 / 1/2000S / Gain 70 /"
,"72저9938","20180802095614378","C:\Img\2018\08\02\095614378S_9938.jpg","01","75",,"46",,"1","729938","(529, 580), W:263, H:61","GigE 16162815 / 1/2000S / Gain 70 /"
,"22오7657","20180802095753577","C:\Img\2018\08\02\095753577S_7657.jpg","01","54",,"47",,"1","227657","(603, 590), W:267, H:63","GigE 16162815 / 1/2000S / Gain 70 /"
,"23너1605","20180802100844926","C:\Img\2018\08\02\100844926S_1605.jpg","01","65",,"53",,"1","231605","(579, 584), W:273, H:65","GigE 16162815 / 1/2000S / Gain 70 /"
,"37루7938","20180802102342435","C:\Img\2018\08\02\102342435S_7938.jpg","01","68",,"67",,"1","377938","(573, 594), W:199, H:63","GigE 16162815 / 1/2000S / Gain 70 /"
,"27호1700","20180802103630138","C:\Img\2018\08\02\103630138S_1700.jpg","01","93",,"71",,"1","271700","(535, 594), W:273, H:63","GigE 16162815 / 1/2500S / Gain 70 /"
,"26무3653","20180802105507298","C:\Img\2018\08\02\105507298S_3653.jpg","01","113",,"172",,"1","263653","(577, 532), W:255, H:65","GigE 16162815 / 1/3000S / Gain 70 /"
,"10러2487","20180802112751888","C:\Img\2018\08\02\112751888S_2487.jpg","01","114",,"160",,"1","102487","(435, 662), W:199, H:67","GigE 16162815 / 1/9000S / Gain 70 /"
,"37어8988","20180802113719300","C:\Img\2018\08\02\113719300S_8988.jpg","01","106",,"141",,"1","378988","(545, 608), W:265, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"51너3081","20180802124432569","C:\Img\2018\08\02\124432569S_3081.jpg","01","115",,"163",,"1","513081","(533, 514), W:253, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"37어8988","20180802133645473","C:\Img\2018\08\02\133645473S_8988.jpg","01","70",,"157",,"1","378988","(545, 634), W:271, H:67","GigE 16162815 / 1/9000S / Gain 70 /"
,"07고5021","20180802135202540","C:\Img\2018\08\02\135202540S_5021.jpg","01","104",,"163",,"1","075021","(597, 600), W:265, H:67","GigE 16162815 / 1/9000S / Gain 70 /"
,"22오1026","20180802135551404","C:\Img\2018\08\02\135551404S_1026.jpg","01","73",,"161",,"1","221026","(533, 600), W:197, H:67","GigE 16162815 / 1/9000S / Gain 70 /"
,"32호7301","20180802142433538","C:\Img\2018\08\02\142433538S_7301.jpg","01","119",,"160",,"1","327301","(559, 570), W:251, H:61","GigE 16162815 / 1/9000S / Gain 70 /"
,"28너3289","20180802143237917","C:\Img\2018\08\02\143237917S_3289.jpg","01","153",,"154",,"1","283289","(541, 650), W:269, H:67","GigE 16162815 / 1/9000S / Gain 70 /"
,"15머4972","20180802152801251","C:\Img\2018\08\02\152801251S_4972.jpg","01","96",,"71",,"1","154972","(413, 618), W:267, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"부산36바1231","20180802161448383","C:\Img\2018\08\02\161448383S_1231.jpg","01","52",,"35",,"1","361231","(445, 680), W:295, H:71","GigE 16162815 / 1/9000S / Gain 70 /"
,"76버9687","20180802164546313","C:\Img\2018\08\02\164546313S_9687.jpg","01","110",,"37",,"1","769687","(373, 646), W:271, H:65","GigE 16162815 / 1/6000S / Gain 70 /"
,"37어8988","20180802173751220","C:\Img\2018\08\02\173751220S_8988.jpg","01","71",,"35",,"1","378988","(487, 670), W:279, H:71","GigE 16162815 / 1/5000S / Gain 70 /"
,"32소0828","20180802174059839","C:\Img\2018\08\02\174059839S_0828.jpg","01","169",,"38",,"1","320828","(327, 686), W:207, H:69","GigE 16162815 / 1/4000S / Gain 70 /"
,"40무4338","20180802180847341","C:\Img\2018\08\02\180847341S_4338.jpg","01","72",,"43",,"1","404338","(419, 664), W:261, H:67","GigE 16162815 / 1/3000S / Gain 70 /"
,"28너3289","20180802184252420","C:\Img\2018\08\02\184252420S_3289.jpg","01","60",,"26",,"1","283289","(575, 620), W:267, H:63","GigE 16162815 / 1/3000S / Gain 70 /"
,"15보9799","20180802184334389","C:\Img\2018\08\02\184334389S_9799.jpg","01","69",,"25",,"1","159799","(465, 696), W:285, H:65","GigE 16162815 / 1/2500S / Gain 70 /"
,"56너7456","20180802190606631","C:\Img\2018\08\02\190606631S_7456.jpg","01","78",,"55",,"1","567456","(415, 672), W:271, H:67","GigE 16162815 / 1/500S / Gain 70 /"
,"12노0766","20180802191908494","C:\Img\2018\08\02\191908494S_0766.jpg","01","157",,"50",,"1","120766","(495, 658), W:203, H:63","GigE 16162815 / 1/500S / Gain 70 /"
,"29보0638","20180802194713574","C:\Img\2018\08\02\194713574S_0638.jpg","01","86",,"50",,"1","290638","(553, 564), W:259, H:65","GigE 16162815 / 1/500S / Gain 70 /"
,"32주1299","20180802194721403","C:\Img\2018\08\02\194721403S_1299.jpg","01","47",,"42",,"1","321299","(489, 616), W:267, H:67","GigE 16162815 / 1/500S / Gain 70 /"
,"10러2487","20180802203839055","C:\Img\2018\08\02\203839055S_2487.jpg","01","62",,"46",,"1","102487","(447, 670), W:201, H:73","GigE 16162815 / 1/500S / Gain 70 /"
,"22오7657","20180802222732923","C:\Img\2018\08\02\222732923S_7657.jpg","01","62",,"42",,"1","227657","(519, 604), W:257, H:69","GigE 16162815 / 1/500S / Gain 70 /"
,"15머4972","20180803002951941","C:\Img\2018\08\03\002951941S_4972.jpg","01","65",,"43",,"1","154972","(381, 608), W:261, H:71","GigE 16162815 / 1/500S / Gain 70 /"
,"52서1236","20180803052009099","C:\Img\2018\08\03\052009099S_1236.jpg","01","55",,"43",,"1","521236","(347, 538), W:267, H:67","GigE 16162815 / 1/500S / Gain 70 /"
,"15고4441","20180803054106465","C:\Img\2018\08\03\054106465S_4441.jpg","01","90",,"49",,"1","154441","(511, 644), W:257, H:69","GigE 16162815 / 1/500S / Gain 70 /"
,"84나9124","20180803060010134","C:\Img\2018\08\03\060010134S_9124.jpg","01","44",,"52",,"1","849124","(577, 604), W:213, H:105","GigE 16162815 / 1/500S / Gain 70 /"
,"28로8505","20180803060557811","C:\Img\2018\08\03\060557811S_8505.jpg","01","63",,"59",,"1","288505","(619, 576), W:273, H:63","GigE 16162815 / 1/500S / Gain 70 /"
,"17러7702","20180803064649377","C:\Img\2018\08\03\064649377S_7702.jpg","01","62",,"91",,"1","177702","(637, 578), W:205, H:101","GigE 16162815 / 1/500S / Gain 70 /"
,"24소0367","20180803064821143","C:\Img\2018\08\03\064821143S_0367.jpg","01","107",,"89",,"1","240367","(553, 608), W:267, H:65","GigE 16162815 / 1/1000S / Gain 70 /"
,"59로0936","20180803065101923","C:\Img\2018\08\03\065101923S_0936.jpg","01","66",,"52",,"1","590936","(511, 658), W:205, H:65","GigE 16162815 / 1/1500S / Gain 70 /"
,"54주7443","20180803065433660","C:\Img\2018\08\03\065433660S_7443.jpg","01","52",,"40",,"1","547443","(585, 574), W:273, H:67","GigE 16162815 / 1/1500S / Gain 70 /"
,"10루5612","20180803070858782","C:\Img\2018\08\03\070858782S_5612.jpg","01","71",,"43",,"1","105612","(569, 648), W:201, H:65","GigE 16162815 / 1/1500S / Gain 70 /"
,"60보4677","20180803080739859","C:\Img\2018\08\03\080739859S_4677.jpg","01","52",,"45",,"1","604677","(509, 620), W:267, H:63","GigE 16162815 / 1/1500S / Gain 70 /"
,"60라6765","20180803081618774","C:\Img\2018\08\03\081618774S_6765.jpg","01","75",,"50",,"1","606765","(545, 648), W:275, H:69","GigE 16162815 / 1/1500S / Gain 70 /"
,"50서2789","20180803091926388","C:\Img\2018\08\03\091926388S_2789.jpg","01","72",,"44",,"1","502789","(545, 616), W:261, H:65","GigE 16162815 / 1/1500S / Gain 70 /"
,"32노8000","20180803092440716","C:\Img\2018\08\03\092440716S_8000.jpg","01","123",,"45",,"1","328000","(445, 628), W:265, H:73","GigE 16162815 / 1/1500S / Gain 70 /"
,"72저6206","20180803095447689","C:\Img\2018\08\03\095447689S_6206.jpg","01","86",,"70",,"1","726206","(577, 592), W:279, H:65","GigE 16162815 / 1/1500S / Gain 70 /"
,"11소0464","20180803095623383","C:\Img\2018\08\03\095623383S_0464.jpg","01","77",,"76",,"1","110464","(511, 598), W:261, H:63","GigE 16162815 / 1/2000S / Gain 70 /"
,"48호1058","20180803103256922","C:\Img\2018\08\03\103256922S_1058.jpg","01","82",,"81",,"1","481058","(599, 574), W:275, H:63","GigE 16162815 / 1/2500S / Gain 70 /"
,"06나5709","20180803111422602","C:\Img\2018\08\03\111422602S_5709.jpg","01","69",,"163","5","1","065709","(471, 631), W:191, H:92","GigE 16162815 / 1/3000S / Gain 70 /"
,"06바5709","20180803111435772","C:\Img\2018\08\03\111435772S_5709.jpg","01","101",,"140",,"1","065709","(475, 607), W:189, H:92","GigE 16162815 / 1/9000S / Gain 70 /"
,"미인식","20180803111451401","C:\Img\2018\08\03\111451401S_XXXX.jpg","01","120",,"28","1","1",,,"GigE 16162815 / 1/9000S / Gain 70 /"
,"37어8988","20180803115304703","C:\Img\2018\08\03\115304703S_8988.jpg","01","76",,"178",,"1","378988","(559, 612), W:265, H:65","GigE 16162815 / 1/6000S / Gain 70 /"
,"55마2572","20180803121557179","C:\Img\2018\08\03\121557179S_2572.jpg","01","129",,"170",,"1","552572","(567, 582), W:277, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"56누7350","20180803124218399","C:\Img\2018\08\03\124218399S_7350.jpg","01","66",,"148",,"1","567350","(487, 572), W:265, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"34버0424","20180803132120142","C:\Img\2018\08\03\132120142S_0424.jpg","01","88",,"160",,"1","340424","(629, 554), W:263, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"55마2572","20180803132222147","C:\Img\2018\08\03\132222147S_2572.jpg","01","86",,"147",,"1","552572","(553, 588), W:275, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"72저6206","20180803140109081","C:\Img\2018\08\03\140109081S_6206.jpg","01","104",,"159",,"1","726206","(461, 622), W:275, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"22저4172","20180803142344207","C:\Img\2018\08\03\142344207S_4172.jpg","01","80",,"157",,"1","224172","(505, 582), W:271, H:63","GigE 16162815 / 1/9000S / Gain 70 /"
,"07고5021","20180803142532195","C:\Img\2018\08\03\142532195S_5021.jpg","01","71",,"157",,"1","075021","(551, 606), W:261, H:67","GigE 16162815 / 1/9000S / Gain 70 /"
,"55서6845","20180803144030383","C:\Img\2018\08\03\144030383S_6845.jpg","01","80",,"155",,"1","556845","(607, 626), W:279, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"04무9203","20180803145039820","C:\Img\2018\08\03\145039820S_9203.jpg","01","82",,"155",,"1","049203","(521, 590), W:259, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"07고5021","20180803163329624","C:\Img\2018\08\03\163329624S_5021.jpg","01","48",,"36",,"1","075021","(583, 602), W:265, H:65","GigE 16162815 / 1/9000S / Gain 70 /"
,"28너3289","20180803171752195","C:\Img\2018\08\03\171752195S_3289.jpg","01","120",,"31",,"1","283289","(505, 660), W:265, H:67","GigE 16162815 / 1/6000S / Gain 70 /"
,"32소0828","20180803173523448","C:\Img\2018\08\03\173523448S_0828.jpg","01","132",,"32",,"1","320828","(351, 670), W:205, H:71","GigE 16162815 / 1/5000S / Gain 70 /"
,"13라5290","20180803175409229","C:\Img\2018\08\03\175409229S_5290.jpg","01","82",,"41",,"1","135290","(437, 620), W:269, H:71","GigE 16162815 / 1/4000S / Gain 70 /"
,"41나6350","20180803180536301","C:\Img\2018\08\03\180536301S_6350.jpg","01","67",,"38",,"1","416350","(505, 608), W:265, H:63","GigE 16162815 / 1/4000S / Gain 70 /"
,"90다3939","20180803190934364","C:\Img\2018\08\03\190934364S_3939.jpg","01","87",,"53",,"1","903939","(471, 600), W:271, H:65","GigE 16162815 / 1/500S / Gain 70 /"
,"43너6849","20180803193002057","C:\Img\2018\08\03\193002057S_6849.jpg","01","54",,"49",,"1","436849","(713, 576), W:199, H:63","GigE 16162815 / 1/500S / Gain 70 /"
,"56너7456","20180803194545859","C:\Img\2018\08\03\194545859S_7456.jpg","01","74",,"43",,"1","567456","(331, 714), W:271, H:75","GigE 16162815 / 1/500S / Gain 70 /"
,"65거6170","20180803200944553","C:\Img\2018\08\03\200944553S_6170.jpg","01","49",,"47",,"1","656170","(663, 559), W:205, H:102","GigE 16162815 / 1/500S / Gain 70 /"
,"29보0638","20180803202821346","C:\Img\2018\08\03\202821346S_0638.jpg","01","62",,"50",,"1","290638","(463, 598), W:257, H:67","GigE 16162815 / 1/500S / Gain 70 /"
,"15보9799","20180803210751351","C:\Img\2018\08\03\210751351S_9799.jpg","01","47",,"42",,"1","159799","(535, 670), W:283, H:67","GigE 16162815 / 1/500S / Gain 70 /"
,"22오7657","20180803214723446","C:\Img\2018\08\03\214723446S_7657.jpg","01","53",,"42",,"1","227657","(561, 598), W:267, H:63","GigE 16162815 / 1/500S / Gain 70 /"
,"36모0538","20180803215136757","C:\Img\2018\08\03\215136757S_0538.jpg","01","51",,"42",,"1","360538","(537, 730), W:281, H:65","GigE 16162815 / 1/500S / Gain 70 /"
,"40무4338","20180803221600293","C:\Img\2018\08\03\221600293S_4338.jpg","01","47",,"43",,"1","404338","(431, 686), W:273, H:69","GigE 16162815 / 1/500S / Gain 70 /"
,"28너3289","20180804003200173","C:\Img\2018\08\04\003200173S_3289.jpg","01","84",,"54",,"1","283289","(575, 612), W:265, H:61","GigE 16162815 / 1/500S / Gain 70 /"
