일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"49서4420","20180701091916264","C:\Img\2018\07\01\091916264S_4420.jpg","01","72",,"21",,"1","494420","(627, 564), W:235, H:75","GigE 14514404 / 1/3000S / Gain 120 /"
,"49서4420","20180701091921307","C:\Img\2018\07\01\091921307S_4420.jpg","02","141",,"64",,"1","494420","(379, 364), W:247, H:89","GigE 14514445 / 1/3000S / Gain 50 /"
,"40어6432","20180701092507635","C:\Img\2018\07\01\092507635S_6432.jpg","01","71",,"26",,"1","406432","(583, 528), W:297, H:77","GigE 14514404 / 1/3000S / Gain 120 /"
,"40어6432","20180701092513152","C:\Img\2018\07\01\092513152S_6432.jpg","02","77",,"46",,"1","406432","(505, 462), W:311, H:85","GigE 14514445 / 1/4000S / Gain 50 /"
,"92저7129","20180701094917263","C:\Img\2018\07\01\094917263S_7129.jpg","01","75",,"23",,"1","927129","(603, 526), W:327, H:91","GigE 14514404 / 1/3000S / Gain 120 /"
,"92저7129","20180701094926731","C:\Img\2018\07\01\094926731S_7129.jpg","02","200",,"40",,"1","927129","(809, 530), W:355, H:135","GigE 14514445 / 1/4000S / Gain 50 /"
,"23어6024","20180701101723183","C:\Img\2018\07\01\101723183S_6024.jpg","01","77",,"25",,"1","236024","(739, 488), W:359, H:101","GigE 14514404 / 1/3000S / Gain 120 /"
,"23어6024","20180701101730391","C:\Img\2018\07\01\101730391S_6024.jpg","02","140",,"37",,"1","236024","(459, 334), W:327, H:95","GigE 14514445 / 1/4000S / Gain 50 /"
,"40저8966","20180701102640917","C:\Img\2018\07\01\102640917S_8966.jpg","01","65",,"24",,"1","408966","(461, 548), W:265, H:87","GigE 14514404 / 1/3000S / Gain 120 /"
,"40저8966","20180701102647096","C:\Img\2018\07\01\102647096S_8966.jpg","02","66",,"37",,"1","408966","(327, 712), W:319, H:101","GigE 14514445 / 1/4000S / Gain 50 /"
,"39라2464","20180701103730217","C:\Img\2018\07\01\103730217S_2464.jpg","01","117",,"25",,"1","392464","(787, 548), W:255, H:115","GigE 14514404 / 1/3000S / Gain 120 /"
,"39라2464","20180701103736079","C:\Img\2018\07\01\103736079S_2464.jpg","02","72",,"38",,"1","392464","(273, 438), W:249, H:149","GigE 14514445 / 1/4000S / Gain 50 /"
,"28우0631","20180701103858422","C:\Img\2018\07\01\103858422S_0631.jpg","01","57",,"24",,"1","280631","(585, 544), W:319, H:79","GigE 14514404 / 1/3000S / Gain 120 /"
,"28우0631","20180701103905787","C:\Img\2018\07\01\103905787S_0631.jpg","02","76",,"38",,"1","280631","(345, 578), W:307, H:111","GigE 14514445 / 1/4000S / Gain 50 /"
,"37어2485","20180701104251716","C:\Img\2018\07\01\104251716S_2485.jpg","01","78",,"23",,"1","372485","(535, 554), W:333, H:85","GigE 14514404 / 1/3000S / Gain 120 /"
,"37어2485","20180701104259697","C:\Img\2018\07\01\104259697S_2485.jpg","02","63",,"36",,"1","372485","(461, 434), W:335, H:91","GigE 14514445 / 1/4000S / Gain 50 /"
,"82수7110","20180701105059674","C:\Img\2018\07\01\105059674S_7110.jpg","01","80",,"23",,"1","827110","(547, 570), W:249, H:79","GigE 14514404 / 1/3000S / Gain 120 /"
,"82수7110","20180701105103368","C:\Img\2018\07\01\105103368S_7110.jpg","02","100",,"37",,"1","827110","(379, 350), W:243, H:89","GigE 14514445 / 1/4000S / Gain 50 /"
,"04주9193","20180701111442369","C:\Img\2018\07\01\111442369S_9193.jpg","01","71",,"23",,"1","049193","(537, 584), W:227, H:73","GigE 14514404 / 1/3000S / Gain 120 /"
,"04주9193","20180701111446656","C:\Img\2018\07\01\111446656S_9193.jpg","02","109",,"38",,"1","049193","(339, 426), W:241, H:87","GigE 14514445 / 1/4000S / Gain 50 /"
,"36무9354","20180701112203893","C:\Img\2018\07\01\112203893S_9354.jpg","01","62",,"24",,"1","369354","(475, 534), W:279, H:83","GigE 14514404 / 1/3000S / Gain 120 /"
,"36무9354","20180701112209795","C:\Img\2018\07\01\112209795S_9354.jpg","02","68",,"38",,"1","369354","(295, 408), W:331, H:85","GigE 14514445 / 1/4000S / Gain 50 /"
,"35나6771","20180701112522373","C:\Img\2018\07\01\112522373S_6771.jpg","01","67",,"24",,"1","356771","(697, 568), W:343, H:93","GigE 14514404 / 1/3000S / Gain 120 /"
,"35나6771","20180701112526644","C:\Img\2018\07\01\112526644S_6771.jpg","02","72",,"37",,"1","356771","(177, 698), W:317, H:103","GigE 14514445 / 1/4000S / Gain 50 /"
,"48주3245","20180701112638365","C:\Img\2018\07\01\112638365S_3245.jpg","01","57",,"23",,"1","483245","(549, 516), W:329, H:83","GigE 14514404 / 1/3000S / Gain 120 /"
,"48주3245","20180701112645588","C:\Img\2018\07\01\112645588S_3245.jpg","02","76",,"37",,"1","483245","(327, 660), W:305, H:123","GigE 14514445 / 1/4000S / Gain 50 /"
,"09로7324","20180701112753683","C:\Img\2018\07\01\112753683S_7324.jpg","01","78",,"24",,"1","097324","(609, 534), W:329, H:83","GigE 14514404 / 1/3000S / Gain 120 /"
,"09로7324","20180701112800286","C:\Img\2018\07\01\112800286S_7324.jpg","02","139",,"38",,"1","097324","(459, 314), W:263, H:103","GigE 14514445 / 1/4000S / Gain 50 /"
,"29조4550","20180701113114225","C:\Img\2018\07\01\113114225S_4550.jpg","01","86",,"23",,"1","294550","(367, 528), W:219, H:75","GigE 14514404 / 1/3000S / Gain 120 /"
,"미인식","20180701113118427","C:\Img\2018\07\01\113118427S_XXXX.jpg","02","249",,"37","1","1",,,"GigE 14514445 / 1/4000S / Gain 50 /"
,"35라4910","20180701113159157","C:\Img\2018\07\01\113159157S_4910.jpg","01","67",,"23",,"1","354910","(513, 652), W:375, H:99","GigE 14514404 / 1/3000S / Gain 120 /"
,"35라4910","20180701113203193","C:\Img\2018\07\01\113203193S_4910.jpg","02","75",,"37",,"1","354910","(125, 696), W:329, H:101","GigE 14514445 / 1/4000S / Gain 50 /"
,"52호1230","20180701113210040","C:\Img\2018\07\01\113210040S_1230.jpg","01","63",,"24",,"1","521230","(493, 640), W:321, H:77","GigE 14514404 / 1/3000S / Gain 120 /"
,"52호1230","20180701113216492","C:\Img\2018\07\01\113216492S_1230.jpg","02","140",,"37",,"1","521230","(319, 350), W:303, H:85","GigE 14514445 / 1/4000S / Gain 50 /"
,"29서6497","20180701113236294","C:\Img\2018\07\01\113236294S_6497.jpg","01","80",,"23",,"1","296497","(593, 518), W:351, H:105","GigE 14514404 / 1/3000S / Gain 120 /"
,"29서6497","20180701113243182","C:\Img\2018\07\01\113243182S_6497.jpg","02","87",,"37",,"1","296497","(347, 348), W:333, H:95","GigE 14514445 / 1/4000S / Gain 50 /"
,"47서0709","20180701114124805","C:\Img\2018\07\01\114124805S_0709.jpg","01","74",,"22",,"1","470709","(753, 522), W:345, H:97","GigE 14514404 / 1/3000S / Gain 120 /"
,"47서0709","20180701114132516","C:\Img\2018\07\01\114132516S_0709.jpg","02","61",,"37",,"1","470709","(515, 470), W:303, H:87","GigE 14514445 / 1/4000S / Gain 50 /"
,"18가6600","20180701114458320","C:\Img\2018\07\01\114458320S_6600.jpg","01","79",,"21",,"1","186600","(535, 510), W:291, H:75","GigE 14514404 / 1/3000S / Gain 120 /"
,"18가6600","20180701114504251","C:\Img\2018\07\01\114504251S_6600.jpg","02","55",,"37",,"1","186600","(335, 342), W:311, H:91","GigE 14514445 / 1/4000S / Gain 50 /"
,"56고2745","20180701120128703","C:\Img\2018\07\01\120128703S_2745.jpg","01","78",,"22",,"1","562745","(383, 588), W:325, H:89","GigE 14514404 / 1/3000S / Gain 120 /"
,"56고2745","20180701120136845","C:\Img\2018\07\01\120136845S_2745.jpg","02","90",,"40",,"1","562745","(433, 782), W:317, H:115","GigE 14514445 / 1/4000S / Gain 50 /"
,"서울33바7181","20180701121024929","C:\Img\2018\07\01\121024929S_7181.jpg","01","84",,"21",,"1","337181","(284, 626), W:336, H:79","GigE 14514404 / 1/3000S / Gain 120 /"
,"서울33바7181","20180701121057768","C:\Img\2018\07\01\121057768S_7181.jpg","02","201",,"79",,"1","337181","(703, 586), W:353, H:113","GigE 14514445 / 1/4000S / Gain 50 /"
,"09조9827","20180701121403191","C:\Img\2018\07\01\121403191S_9827.jpg","01","93",,"22",,"1","099827","(457, 610), W:197, H:81","GigE 14514404 / 1/3000S / Gain 120 /"
,"09조9827","20180701121407446","C:\Img\2018\07\01\121407446S_9827.jpg","02","98",,"38",,"1","099827","(205, 642), W:229, H:93","GigE 14514445 / 1/5000S / Gain 50 /"
,"30너2702","20180701121436824","C:\Img\2018\07\01\121436824S_2702.jpg","01","65",,"21",,"1","302702","(629, 516), W:347, H:95","GigE 14514404 / 1/3000S / Gain 120 /"
