일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"15고0131","20180901000140570","C:\Img\2018\09\01\000140570S_0131.jpg","01","48",,"15",,"1","150131","(341, 512), W:241, H:67","1200UM 13442043 / 1/500S / Gain 400 /"
,"41더0713","20180901000751829","C:\Img\2018\09\01\000751829S_0713.jpg","01","65",,"15",,"1","410713","(415, 450), W:253, H:67","1200UM 13442043 / 1/500S / Gain 400 /"
,"34누8652","20180901000819273","C:\Img\2018\09\01\000819273S_8652.jpg","01","53",,"15",,"1","348652","(247, 484), W:251, H:69","1200UM 13442043 / 1/500S / Gain 400 /"
,"30고4490","20180901000921603","C:\Img\2018\09\01\000921603S_4490.jpg","01","30",,"18",,"1","304490","(275, 466), W:241, H:63","1200UM 13442043 / 1/500S / Gain 400 /"
,"44호5477","20180901001305467","C:\Img\2018\09\01\001305467S_5477.jpg","01","51",,"16",,"1","445477","(395, 450), W:241, H:63","1200UM 13442043 / 1/500S / Gain 400 /"
,"46너3266","20180901001351601","C:\Img\2018\09\01\001351601S_3266.jpg","01","45",,"15",,"1","463266","(435, 502), W:245, H:63","1200UM 13442043 / 1/500S / Gain 400 /"
,"58러0210","20180901001920800","C:\Img\2018\09\01\001920800S_0210.jpg","01","51",,"16",,"1","580210","(381, 460), W:243, H:65","1200UM 13442043 / 1/500S / Gain 400 /"
,"25두0403","20180901003037558","C:\Img\2018\09\01\003037558S_0403.jpg","01","76",,"15",,"1","250403","(305, 484), W:239, H:71","1200UM 13442043 / 1/500S / Gain 400 /"
,"05로0222","20180901003042741","C:\Img\2018\09\01\003042741S_0222.jpg","01","41",,"15",,"1","050222","(433, 430), W:243, H:63","1200UM 13442043 / 1/500S / Gain 400 /"
,"30고6271","20180901004338396","C:\Img\2018\09\01\004338396S_6271.jpg","01","87",,"15",,"1","306271","(433, 422), W:255, H:73","1200UM 13442043 / 1/500S / Gain 400 /"
,"32주4359","20180901012308968","C:\Img\2018\09\01\012308968S_4359.jpg","01","73",,"17",,"1","324359","(529, 476), W:241, H:67","1200UM 13442043 / 1/500S / Gain 400 /"
,"41라1111","20180901013309326","C:\Img\2018\09\01\013309326S_1111.jpg","01","53",,"16",,"1","411111","(261, 200), W:263, H:73","1200UM 13442043 / 1/500S / Gain 400 /"
,"32서2066","20180901014414953","C:\Img\2018\09\01\014414953S_2066.jpg","01","57",,"15",,"1","322066","(491, 468), W:255, H:71","1200UM 13442043 / 1/500S / Gain 400 /"
,"37호9228","20180901014617632","C:\Img\2018\09\01\014617632S_9228.jpg","01","35",,"16",,"1","379228","(575, 430), W:257, H:69","1200UM 13442043 / 1/500S / Gain 400 /"
,"15더2553","20180901015228063","C:\Img\2018\09\01\015228063S_2553.jpg","01","124",,"15",,"1","152553","(375, 438), W:249, H:63","1200UM 13442043 / 1/500S / Gain 400 /"
