일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"43너6588","20181201011454578","C:\Img\2018\12\01\011454578S_6588.jpg","01","143",,"12",,"1","436588","(371, 526), W:243, H:71","1200UM 11190388 / 1/1000S / Gain 340 /"
,"69구5262","20181201012047484","C:\Img\2018\12\01\012047484S_5262.jpg","01","79",,"12",,"1","695262","(573, 478), W:281, H:73","1200UM 11190388 / 1/1000S / Gain 340 /"
,"09구7525","20181201053333500","C:\Img\2018\12\01\053333500S_7525.jpg","01","65",,"14",,"1","097525","(429, 416), W:263, H:69","1200UM 11190388 / 1/1000S / Gain 340 /"
,"51두8060","20181201054510328","C:\Img\2018\12\01\054510328S_8060.jpg","01","52",,"14",,"1","518060","(635, 534), W:293, H:71","1200UM 11190388 / 1/1000S / Gain 340 /"
,"25보8805","20181201055710968","C:\Img\2018\12\01\055710968S_8805.jpg","01","70",,"12",,"1","258805","(291, 546), W:245, H:75","1200UM 11190388 / 1/1000S / Gain 340 /"
,"52소1084","20181201060952859","C:\Img\2018\12\01\060952859S_1084.jpg","01","155",,"12",,"1","521084","(247, 510), W:229, H:73","1200UM 11190388 / 1/1000S / Gain 340 /"
,"13가0953","20181201061459671","C:\Img\2018\12\01\061459671S_0953.jpg","01","83",,"12",,"1","130953","(341, 504), W:249, H:71","1200UM 11190388 / 1/1000S / Gain 340 /"
,"50어4713","20181201061755453","C:\Img\2018\12\01\061755453S_4713.jpg","01","137",,"12",,"1","504713","(235, 510), W:243, H:75","1200UM 11190388 / 1/1000S / Gain 340 /"
,"16나0254","20181201061813593","C:\Img\2018\12\01\061813593S_0254.jpg","01","133",,"14",,"1","160254","(305, 514), W:241, H:77","1200UM 11190388 / 1/1000S / Gain 340 /"
,"29오4329","20181201062715093","C:\Img\2018\12\01\062715093S_4329.jpg","01","153",,"12",,"1","294329","(487, 542), W:279, H:71","1200UM 11190388 / 1/1000S / Gain 340 /"
,"61누1575","20181201062948640","C:\Img\2018\12\01\062948640S_1575.jpg","01","65",,"14",,"1","611575","(573, 530), W:277, H:71","1200UM 11190388 / 1/1000S / Gain 340 /"
