일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"43구4225","20181201000539091","C:\Img\2018\12\01\000539091S_4225.jpg","01","128",,"38",,"1","434225","(12, 702), W:216, H:87","1200UM 11190079 / 1/1000S / Gain 400 /"
,"29다9847","20181201004231521","C:\Img\2018\12\01\004231521S_9847.jpg","01","137",,"30",,"1","299847","(341, 576), W:227, H:71","1200UM 11190079 / 1/1000S / Gain 400 /"
,"61노6410","20181201010816900","C:\Img\2018\12\01\010816900S_6410.jpg","01","149",,"33",,"1","616410","(237, 624), W:211, H:73","1200UM 11190079 / 1/1000S / Gain 400 /"
,"20더3728","20181201064625589","C:\Img\2018\12\01\064625589S_3728.jpg","01","101",,"32",,"1","203728","(443, 536), W:239, H:73","1200UM 11190079 / 1/1000S / Gain 400 /"
,"91보5322","20181201085351292","C:\Img\2018\12\01\085351292S_5322.jpg","01","109",,"47",,"1","915322","(305, 558), W:255, H:81","1200UM 11190079 / 1/2000S / Gain 400 /"
,"52고3389","20181201085809449","C:\Img\2018\12\01\085809449S_3389.jpg","01","160",,"43",,"1","523389","(97, 604), W:201, H:71","1200UM 11190079 / 1/2000S / Gain 400 /"
,"51루6418","20181201092100402","C:\Img\2018\12\01\092100402S_6418.jpg","01","88",,"95",,"1","516418","(221, 582), W:197, H:71","1200UM 11190079 / 1/1500S / Gain 400 /"
,"07로3524","20181201093943792","C:\Img\2018\12\01\093943792S_3524.jpg","01","114",,"78",,"1","073524","(373, 516), W:169, H:111","1200UM 11190079 / 1/2000S / Gain 400 /"
,"27수5085","20181201094912730","C:\Img\2018\12\01\094912730S_5085.jpg","01","184",,"61",,"1","275085","(149, 584), W:193, H:79","1200UM 11190079 / 1/2500S / Gain 400 /"
,"30러4253","20181201100203886","C:\Img\2018\12\01\100203886S_4253.jpg","01","254",,"56",,"1","304253","(217, 604), W:243, H:77","1200UM 11190079 / 1/3000S / Gain 400 /"
,"65호9957","20181201100417949","C:\Img\2018\12\01\100417949S_9957.jpg","01","114",,"48",,"1","659957","(155, 612), W:203, H:73","1200UM 11190079 / 1/3000S / Gain 380 /"
,"13오9867","20181201102756042","C:\Img\2018\12\01\102756042S_9867.jpg","01","158",,"54",,"1","139867","(187, 630), W:207, H:71","1200UM 11190079 / 1/3000S / Gain 380 /"
,"37라1768","20181201102951449","C:\Img\2018\12\01\102951449S_1768.jpg","01","153",,"56",,"1","371768","(263, 578), W:201, H:73","1200UM 11190079 / 1/3000S / Gain 380 /"
,"43도9992","20181201110311714","C:\Img\2018\12\01\110311714S_9992.jpg","01","119",,"50",,"1","439992","(159, 610), W:197, H:69","1200UM 11190079 / 1/3000S / Gain 360 /"
,"65하9844","20181201113437699","C:\Img\2018\12\01\113437699S_9844.jpg","01","122",,"41",,"1","659844","(235, 584), W:235, H:73","1200UM 11190079 / 1/3000S / Gain 360 /"
,"65호9957","20181201113443433","C:\Img\2018\12\01\113443433S_9957.jpg","01","127",,"39",,"1","659957","(163, 606), W:217, H:73","1200UM 11190079 / 1/3000S / Gain 380 /"
,"19주8819","20181201113609777","C:\Img\2018\12\01\113609777S_8819.jpg","01","91",,"51",,"1","198819","(193, 598), W:217, H:69","1200UM 11190079 / 1/3000S / Gain 400 /"
,"16너3877","20181201114917949","C:\Img\2018\12\01\114917949S_3877.jpg","01","124",,"67",,"1","163877","(179, 542), W:201, H:71","1200UM 11190079 / 1/3000S / Gain 400 /"
,"30어5601","20181201115626620","C:\Img\2018\12\01\115626620S_5601.jpg","01","175",,"77",,"1","305601","(415, 560), W:221, H:71","1200UM 11190079 / 1/3000S / Gain 380 /"
,"17마6399","20181201115714933","C:\Img\2018\12\01\115714933S_6399.jpg","01","249",,"55",,"1","176399","(283, 590), W:167, H:111","1200UM 11190079 / 1/3000S / Gain 360 /"
,"40오8684","20181201120712980","C:\Img\2018\12\01\120712980S_8684.jpg","01","143",,"68",,"1","408684","(475, 538), W:251, H:71","1200UM 11190079 / 1/3000S / Gain 360 /"
,"24노5924","20181201121222792","C:\Img\2018\12\01\121222792S_5924.jpg","01","151",,"59",,"1","245924","(451, 574), W:251, H:73","1200UM 11190079 / 1/3000S / Gain 340 /"
,"63노4086","20181201122418199","C:\Img\2018\12\01\122418199S_4086.jpg","01","223",,"55",,"1","634086","(129, 634), W:221, H:71","1200UM 11190079 / 1/3000S / Gain 320 /"
,"72부8694","20181201122819449","C:\Img\2018\12\01\122819449S_8694.jpg","01","118",,"34",,"1","728694","(2, 800), W:166, H:95","1200UM 11190079 / 1/3000S / Gain 320 /"
,"59도5494","20181201123101324","C:\Img\2018\12\01\123101324S_5494.jpg","01","98",,"64",,"1","595494","(167, 596), W:201, H:73","1200UM 11190079 / 1/3000S / Gain 340 /"
