일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"62오2419","20181101000741733","C:\Img\2018\11\01\000741733S_2419.jpg","01","49",,"32",,"1","622419","(791, 650), W:265, H:65","GigE 1393762 / 1/500S / Gain 100 /"
,"62노9268","20181101001212620","C:\Img\2018\11\01\001212620S_9268.jpg","01","61",,"31",,"1","629268","(523, 620), W:239, H:63","GigE 1393762 / 1/500S / Gain 100 /"
,"33부8367","20181101002700098","C:\Img\2018\11\01\002700098S_8367.jpg","01","53",,"33",,"1","338367","(717, 652), W:261, H:65","GigE 1393762 / 1/500S / Gain 100 /"
,"08노8143","20181101003351621","C:\Img\2018\11\01\003351621S_8143.jpg","01","38",,"30",,"1","088143","(751, 652), W:249, H:65","GigE 1393762 / 1/500S / Gain 100 /"
,"85가0606","20181101003532237","C:\Img\2018\11\01\003532237S_0606.jpg","01","75",,"32",,"1","850606","(429, 590), W:245, H:87","GigE 1393762 / 1/500S / Gain 100 /"
,"27도6250","20181101004706561","C:\Img\2018\11\01\004706561S_6250.jpg","01","65",,"29",,"1","276250","(753, 628), W:249, H:63","GigE 1393762 / 1/500S / Gain 100 /"
,"33버8124","20181101011934029","C:\Img\2018\11\01\011934029S_8124.jpg","01","60",,"30",,"1","338124","(673, 664), W:265, H:69","GigE 1393762 / 1/500S / Gain 100 /"
,"27하7319","20181101014957376","C:\Img\2018\11\01\014957376S_7319.jpg","01","62",,"30",,"1","277319","(759, 680), W:263, H:69","GigE 1393762 / 1/500S / Gain 100 /"
,"08도7171","20181101020021692","C:\Img\2018\11\01\020021692S_7171.jpg","01","60",,"30",,"1","087171","(611, 688), W:253, H:67","GigE 1393762 / 1/500S / Gain 100 /"
,"08도7171","20181101020036879","C:\Img\2018\11\01\020036879S_7171.jpg","01","51",,"30",,"1","087171","(743, 652), W:245, H:65","GigE 1393762 / 1/500S / Gain 100 /"
,"03가8547","20181101020125153","C:\Img\2018\11\01\020125153S_8547.jpg","01","57",,"29",,"1","038547","(613, 652), W:257, H:69","GigE 1393762 / 1/500S / Gain 100 /"
,"66러2705","20181101020836728","C:\Img\2018\11\01\020836728S_2705.jpg","01","56",,"31",,"1","662705","(705, 616), W:245, H:63","GigE 1393762 / 1/500S / Gain 100 /"
,"53가5342","20181101031433339","C:\Img\2018\11\01\031433339S_5342.jpg","01","62",,"31",,"1","535342","(701, 598), W:249, H:65","GigE 1393762 / 1/500S / Gain 100 /"
,"84라2302","20181101040244462","C:\Img\2018\11\01\040244462S_2302.jpg","01","55",,"32",,"1","842302","(777, 536), W:201, H:101","GigE 1393762 / 1/500S / Gain 100 /"
,"62구3112","20181101060038363","C:\Img\2018\11\01\060038363S_3112.jpg","01","47",,"31",,"1","623112","(687, 652), W:257, H:65","GigE 1393762 / 1/500S / Gain 100 /"
