일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"미인식","20181001055542233","C:\Img\2018\10\01\055542233S_XXXX.jpg","01","175",,"31","1","1",,,"GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"미인식","20181001061138538","C:\Img\2018\10\01\061138538S_XXXX.jpg","01","238",,"36","1","1",,,"GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"미인식","20181001061755080","C:\Img\2018\10\01\061755080S_XXXX.jpg","01","125",,"184","1","1",,,"GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"미인식","20181001062347550","C:\Img\2018\10\01\062347550S_XXXX.jpg","01","196",,"180","1","1",,,"GigE 402698 / 1/2500S / Gain 70 /FR 52.0"
,"12마9039","20181001063232392","C:\Img\2018\10\01\063232392S_9039.jpg","01","69",,"17",,"1","129039","(575, 630), W:281, H:77","GigE 402698 / 1/6000S / Gain 70 /FR 52.0"
,"12나0796","20181001064604233","C:\Img\2018\10\01\064604233S_0796.jpg","01","51",,"14",,"1","120796","(409, 626), W:217, H:91","GigE 402698 / 1/5000S / Gain 70 /FR 52.0"
,"72고5165","20181001065518896","C:\Img\2018\10\01\065518896S_5165.jpg","01","74",,"15",,"1","725165","(351, 686), W:289, H:81","GigE 402698 / 1/4000S / Gain 70 /FR 52.0"
,"57보1820","20181001065603286","C:\Img\2018\10\01\065603286S_1820.jpg","01","111",,"16",,"1","571820","(319, 718), W:203, H:79","GigE 402698 / 1/3000S / Gain 70 /FR 52.0"
,"13고5198","20181001065730244","C:\Img\2018\10\01\065730244S_5198.jpg","01","65",,"20",,"1","135198","(317, 730), W:281, H:75","GigE 402698 / 1/2500S / Gain 70 /FR 52.0"
,"04소4608","20181001065800605","C:\Img\2018\10\01\065800605S_4608.jpg","01","63",,"18",,"1","044608","(425, 634), W:281, H:69","GigE 402698 / 1/2000S / Gain 70 /FR 52.0"
,"11라3641","20181001070122404","C:\Img\2018\10\01\070122404S_3641.jpg","01","77",,"18",,"1","113641","(347, 740), W:267, H:87","GigE 402698 / 1/1500S / Gain 70 /FR 52.0"
,"37나5897","20181001070151345","C:\Img\2018\10\01\070151345S_5897.jpg","01","89",,"21",,"1","375897","(169, 740), W:265, H:87","GigE 402698 / 1/1000S / Gain 70 /FR 52.0"
,"14무7337","20181001070355820","C:\Img\2018\10\01\070355820S_7337.jpg","01","69",,"62",,"1","147337","(315, 700), W:265, H:83","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"29보0452","20181001070428274","C:\Img\2018\10\01\070428274S_0452.jpg","01","107",,"33",,"1","290452","(365, 602), W:267, H:75","GigE 402698 / 1/1000S / Gain 70 /FR 52.0"
,"12저3242","20181001070440410","C:\Img\2018\10\01\070440410S_3242.jpg","01","92",,"31",,"1","123242","(321, 666), W:271, H:77","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"17호3786","20181001070521695","C:\Img\2018\10\01\070521695S_3786.jpg","01","89",,"32","5","1","173786","(193, 662), W:259, H:81","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"26도4917","20181001070636715","C:\Img\2018\10\01\070636715S_4917.jpg","01","90",,"32",,"1","264917","(463, 610), W:267, H:73","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"65부7195","20181001070712960","C:\Img\2018\10\01\070712960S_7195.jpg","01","81",,"32",,"1","657195","(341, 551), W:225, H:126","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"10서9186","20181001070813215","C:\Img\2018\10\01\070813215S_9186.jpg","01","88",,"34",,"1","109186","(297, 656), W:257, H:83","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"미인식","20181001070833601","C:\Img\2018\10\01\070833601S_XXXX.jpg","01","145",,"34","1","1",,,"GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"23라6662","20181001070845045","C:\Img\2018\10\01\070845045S_6662.jpg","01","85",,"32",,"1","236662","(313, 676), W:269, H:79","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
,"54로9641","20181001070944455","C:\Img\2018\10\01\070944455S_9641.jpg","01","109",,"32",,"1","549641","(357, 692), W:287, H:79","GigE 402698 / 1/500S / Gain 70 /FR 52.0"
