일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"52무7585","20181201075104150","C:\Img\2018\12\01\075104150S_7585.jpg","01","58",,"9",,"1","527585","(511, 558), W:213, H:69","1200UM 14272519 / 1/3000S / Gain 340 /"
,"33저5635","20181201081821770","C:\Img\2018\12\01\081821770S_5635.jpg","01","54",,"19",,"1","335635","(397, 544), W:279, H:71","1200UM 14272519 / 1/2500S / Gain 340 /"
,"40더0443","20181201082253522","C:\Img\2018\12\01\082253522S_0443.jpg","01","49",,"18",,"1","400443","(415, 554), W:285, H:67","1200UM 14272519 / 1/2000S / Gain 340 /"
,"미인식","20181201082715922","C:\Img\2018\12\01\082715922S_XXXX.jpg","01","547",,"28","1","1",,,"1200UM 14272519 / 1/1500S / Gain 340 /"
,"미인식","20181201082717193","C:\Img\2018\12\01\082717193S_XXXX.jpg","01","410",,"38","1","1",,,"1200UM 14272519 / 1/1000S / Gain 340 /"
,"68너0731","20181201090712492","C:\Img\2018\12\01\090712492S_0731.jpg","01","88",,"62",,"1","680731","(555, 568), W:277, H:73","1200UM 14272519 / 1/1000S / Gain 340 /"
,"15가5869","20181201090940179","C:\Img\2018\12\01\090940179S_5869.jpg","01","92",,"44",,"1","155869","(361, 490), W:265, H:73","1200UM 14272519 / 1/1500S / Gain 340 /"
,"38라0343","20181201091247647","C:\Img\2018\12\01\091247647S_0343.jpg","01","95",,"49",,"1","380343","(399, 526), W:269, H:69","1200UM 14272519 / 1/1500S / Gain 340 /"
,"38조2372","20181201092313399","C:\Img\2018\12\01\092313399S_2372.jpg","01","88",,"38",,"1","382372","(391, 528), W:279, H:69","1200UM 14272519 / 1/2000S / Gain 340 /"
,"19무4623","20181201095607434","C:\Img\2018\12\01\095607434S_4623.jpg","01","62",,"40",,"1","194623","(503, 642), W:279, H:77","1200UM 14272519 / 1/2000S / Gain 340 /"
,"64고2301","20181201103518637","C:\Img\2018\12\01\103518637S_2301.jpg","01","96",,"41",,"1","642301","(429, 550), W:277, H:73","1200UM 14272519 / 1/2000S / Gain 340 /"
,"11무4067","20181201110451250","C:\Img\2018\12\01\110451250S_4067.jpg","01","87",,"41",,"1","114067","(479, 524), W:285, H:71","1200UM 14272519 / 1/2000S / Gain 340 /"
,"68조4476","20181201110935350","C:\Img\2018\12\01\110935350S_4476.jpg","01","94",,"45",,"1","684476","(491, 526), W:277, H:71","1200UM 14272519 / 1/2000S / Gain 340 /"
,"35소6640","20181201111015058","C:\Img\2018\12\01\111015058S_6640.jpg","01","103",,"43",,"1","356640","(497, 518), W:269, H:67","1200UM 14272519 / 1/2000S / Gain 340 /"
,"27서9897","20181201111418464","C:\Img\2018\12\01\111418464S_9897.jpg","01","93",,"29",,"1","279897","(331, 442), W:229, H:75","1200UM 14272519 / 1/2000S / Gain 340 /"
,"34버0192","20181201111508910","C:\Img\2018\12\01\111508910S_0192.jpg","01","75",,"60",,"1","340192","(449, 544), W:269, H:69","1200UM 14272519 / 1/1500S / Gain 340 /"
,"52거0101","20181201111547277","C:\Img\2018\12\01\111547277S_0101.jpg","01","79",,"41",,"1","520101","(489, 650), W:281, H:81","1200UM 14272519 / 1/2000S / Gain 340 /"
,"20모7737","20181201111705580","C:\Img\2018\12\01\111705580S_7737.jpg","01","86",,"46",,"1","207737","(547, 548), W:289, H:73","1200UM 14272519 / 1/2000S / Gain 340 /"
,"14무3181","20181201111732001","C:\Img\2018\12\01\111732001S_3181.jpg","01","89",,"41",,"1","143181","(467, 530), W:281, H:73","1200UM 14272519 / 1/2500S / Gain 340 /"
,"16저1633","20181201111750447","C:\Img\2018\12\01\111750447S_1633.jpg","01","84",,"36",,"1","161633","(319, 518), W:267, H:73","1200UM 14272519 / 1/2500S / Gain 340 /"
,"17노0397","20181201112222734","C:\Img\2018\12\01\112222734S_0397.jpg","01","75",,"41",,"1","170397","(353, 492), W:263, H:69","1200UM 14272519 / 1/2500S / Gain 340 /"
,"51다7230","20181201112244969","C:\Img\2018\12\01\112244969S_7230.jpg","01","77",,"41",,"1","517230","(433, 536), W:271, H:69","1200UM 14272519 / 1/2500S / Gain 340 /"
,"68라2065","20181201112314705","C:\Img\2018\12\01\112314705S_2065.jpg","01","77",,"44",,"1","682065","(473, 536), W:281, H:71","1200UM 14272519 / 1/2500S / Gain 340 /"
,"미인식","20181201113629589","C:\Img\2018\12\01\113629589S_XXXX.jpg","01","350",,"45","1","1",,,"1200UM 14272519 / 1/2500S / Gain 340 /"
,"72도1203","20181201114529436","C:\Img\2018\12\01\114529436S_1203.jpg","01","97",,"46",,"1","721203","(415, 538), W:265, H:71","1200UM 14272519 / 1/2500S / Gain 340 /"
,"26소3331","20181201121915381","C:\Img\2018\12\01\121915381S_3331.jpg","01","87",,"34",,"1","263331","(483, 582), W:211, H:71","1200UM 14272519 / 1/3000S / Gain 340 /"
,"89로8464","20181201122623540","C:\Img\2018\12\01\122623540S_8464.jpg","01","109",,"37",,"1","898464","(541, 522), W:287, H:83","1200UM 14272519 / 1/2500S / Gain 340 /"
,"21노4072","20181201123725107","C:\Img\2018\12\01\123725107S_4072.jpg","01","43",,"36",,"1","214072","(417, 536), W:217, H:115","1200UM 14272519 / 1/2500S / Gain 340 /"
,"97머4442","20181201124439816","C:\Img\2018\12\01\124439816S_4442.jpg","01","85",,"42",,"1","974442","(529, 480), W:217, H:77","1200UM 14272519 / 1/2500S / Gain 340 /"
,"09주5680","20181201124742299","C:\Img\2018\12\01\124742299S_5680.jpg","01","61",,"44",,"1","095680","(577, 568), W:297, H:75","1200UM 14272519 / 1/2500S / Gain 340 /"
,"25마5840","20181201125514097","C:\Img\2018\12\01\125514097S_5840.jpg","01","91",,"45",,"1","255840","(543, 550), W:291, H:73","1200UM 14272519 / 1/2500S / Gain 340 /"
,"68서0265","20181201130209057","C:\Img\2018\12\01\130209057S_0265.jpg","01","104",,"51",,"1","680265","(461, 544), W:273, H:75","1200UM 14272519 / 1/2500S / Gain 340 /"
,"63루3594","20181201130330155","C:\Img\2018\12\01\130330155S_3594.jpg","01","110",,"41",,"1","633594","(425, 574), W:275, H:71","1200UM 14272519 / 1/3000S / Gain 340 /"
,"미인식","20181201130504362","C:\Img\2018\12\01\130504362S_XXXX.jpg","01","255",,"49","1","1",,,"1200UM 14272519 / 1/3000S / Gain 340 /"
,"14너6673","20181201131419193","C:\Img\2018\12\01\131419193S_6673.jpg","01","119",,"44",,"1","146673","(469, 538), W:269, H:67","1200UM 14272519 / 1/3000S / Gain 320 /"
,"23머4254","20181201133511307","C:\Img\2018\12\01\133511307S_4254.jpg","01","75",,"32",,"1","234254","(353, 572), W:293, H:73","1200UM 14272519 / 1/3000S / Gain 320 /"
,"36도6943","20181201134315685","C:\Img\2018\12\01\134315685S_6943.jpg","01","134",,"38",,"1","366943","(151, 518), W:237, H:67","1200UM 14272519 / 1/3000S / Gain 340 /"
