일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"53구4927","20180301000225194","C:\Img\2018\03\01\000225194S_4927.jpg","01","59",,"22",,"1","534927","(377, 582), W:281, H:75","1200UM 11444725 / 1/1000S / Gain 380 /"
,"56하4408","20180301003326288","C:\Img\2018\03\01\003326288S_4408.jpg","01","107",,"19",,"1","564408","(369, 604), W:275, H:75","1200UM 11444725 / 1/1000S / Gain 380 /"
,"35더8397","20180301012118928","C:\Img\2018\03\01\012118928S_8397.jpg","01","94",,"22",,"1","358397","(507, 568), W:283, H:71","1200UM 11444725 / 1/1000S / Gain 380 /"
,"42버9961","20180301012322131","C:\Img\2018\03\01\012322131S_9961.jpg","01","141",,"21",,"1","429961","(687, 572), W:319, H:77","1200UM 11444725 / 1/1000S / Gain 380 /"
,"48부8590","20180301012732569","C:\Img\2018\03\01\012732569S_8590.jpg","01","97",,"21",,"1","488590","(535, 564), W:287, H:71","1200UM 11444725 / 1/1000S / Gain 380 /"
,"61조2336","20180301013020381","C:\Img\2018\03\01\013020381S_2336.jpg","01","121",,"21",,"1","612336","(555, 536), W:287, H:71","1200UM 11444725 / 1/1000S / Gain 380 /"
,"34러5249","20180301022342741","C:\Img\2018\03\01\022342741S_5249.jpg","01","94",,"21",,"1","345249","(497, 548), W:279, H:71","1200UM 11444725 / 1/1000S / Gain 380 /"
,"23서8349","20180301023049031","C:\Img\2018\03\01\023049031S_8349.jpg","01","113",,"21",,"1","238349","(431, 576), W:291, H:75","1200UM 11444725 / 1/1000S / Gain 380 /"
,"53저8247","20180301075853187","C:\Img\2018\03\01\075853187S_8247.jpg","01","88",,"23",,"1","538247","(453, 574), W:291, H:75","1200UM 11444725 / 1/1000S / Gain 380 /"
,"75호6778","20180301082821468","C:\Img\2018\03\01\082821468S_6778.jpg","01","93",,"23",,"1","756778","(377, 562), W:281, H:79","1200UM 11444725 / 1/1000S / Gain 380 /"
,"66호2148","20180301083451890","C:\Img\2018\03\01\083451890S_2148.jpg","01","93",,"22",,"1","662148","(389, 544), W:295, H:75","1200UM 11444725 / 1/1000S / Gain 380 /"
,"82노8763","20180301091509656","C:\Img\2018\03\01\091509656S_8763.jpg","01","100",,"24",,"1","828763","(713, 564), W:255, H:83","1200UM 11444725 / 1/1000S / Gain 380 /"
