일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호
,"20하8449","20181101093651015","C:\Img\2018\11\01\093651015S_8449.jpg","01","63",,"4",,"1","208449"
,"경기51러9101","20181101101711671","C:\Img\2018\11\01\101711671S_9101.jpg","01","138",,"4",,"1","519101"
,"07나0112","20181101102447625","C:\Img\2018\11\01\102447625S_0112.jpg","01","96",,"3",,"1","070112"
,"07가4524","20181101102859671","C:\Img\2018\11\01\102859671S_4524.jpg","01","63",,"3",,"1","074524"
,"46호1234","20181101110156015","C:\Img\2018\11\01\110156015S_1234.jpg","01","56",,"3",,"1","461234"
,"09부7342","20181101111006093","C:\Img\2018\11\01\111006093S_7342.jpg","01","51",,"3",,"1","097342"
,"65호9863","20181101111849500","C:\Img\2018\11\01\111849500S_9863.jpg","01","58",,"4",,"1","659863"
,"63호8220","20181101111856515","C:\Img\2018\11\01\111856515S_8220.jpg","01","75",,"4",,"1","638220"
,"42무1452","20181101112154968","C:\Img\2018\11\01\112154968S_1452.jpg","01","54",,"13",,"1","421452"
,"07로6254","20181101112358218","C:\Img\2018\11\01\112358218S_6254.jpg","01","91",,"4",,"1","076254"
,"17두2924","20181101114900265","C:\Img\2018\11\01\114900265S_2924.jpg","01","74",,"4",,"1","172924"
,"72허1927","20181101123654390","C:\Img\2018\11\01\123654390S_1927.jpg","01","77",,"3",,"1","721927"
,"24우0449","20181101124644078","C:\Img\2018\11\01\124644078S_0449.jpg","01","66",,"4",,"1","240449"
,"27호2039","20181101124706625","C:\Img\2018\11\01\124706625S_2039.jpg","01","70",,"4",,"1","272039"
,"12누3858","20181101125849187","C:\Img\2018\11\01\125849187S_3858.jpg","01","51",,"5",,"1","123858"
,"45수6063","20181101125921968","C:\Img\2018\11\01\125921968S_6063.jpg","01","72",,"3",,"1","456063"
,"42소5952","20181101130145468","C:\Img\2018\11\01\130145468S_5952.jpg","01","63",,"3",,"1","425952"
,"37노3946","20181101130728609","C:\Img\2018\11\01\130728609S_3946.jpg","01","59",,"4",,"1","373946"
,"66조0504","20181101131957453","C:\Img\2018\11\01\131957453S_0504.jpg","01","65",,"3",,"1","660504"
,"20하4441","20181101132340062","C:\Img\2018\11\01\132340062S_4441.jpg","01","81",,"5",,"1","204441"
,"37나9561","20181101135123250","C:\Img\2018\11\01\135123250S_9561.jpg","01","52",,"4",,"1","379561"
,"35우2622","20181101135254390","C:\Img\2018\11\01\135254390S_2622.jpg","01","48",,"3",,"1","352622"
,"07라3663","20181101135614515","C:\Img\2018\11\01\135614515S_3663.jpg","01","75",,"4",,"1","073663"
,"72호1625","20181101135733859","C:\Img\2018\11\01\135733859S_1625.jpg","01","58",,"4",,"1","721625"
,"65호6957","20181101140433765","C:\Img\2018\11\01\140433765S_6957.jpg","01","90",,"8",,"1","656957"
,"36마3366","20181101140933203","C:\Img\2018\11\01\140933203S_3366.jpg","01","64",,"4",,"1","363366"
,"46하4818","20181101141514484","C:\Img\2018\11\01\141514484S_4818.jpg","01","64",,"4",,"1","464818"
,"66조3422","20181101142923562","C:\Img\2018\11\01\142923562S_3422.jpg","01","69",,"4",,"1","663422"
,"39보8578","20181101143430453","C:\Img\2018\11\01\143430453S_8578.jpg","01","60",,"3",,"1","398578"
,"07로6254","20181101143703968","C:\Img\2018\11\01\143703968S_6254.jpg","01","110",,"4",,"1","076254"
,"38너1787","20181101143921781","C:\Img\2018\11\01\143921781S_1787.jpg","01","80",,"6",,"1","381787"
,"29호3965","20181101144126281","C:\Img\2018\11\01\144126281S_3965.jpg","01","51",,"4",,"1","293965"
,"69호1682","20181101153217843","C:\Img\2018\11\01\153217843S_1682.jpg","01","48",,"3",,"1","691682"
,"58하5339","20181101160246437","C:\Img\2018\11\01\160246437S_5339.jpg","01","73",,"3",,"1","585339"
,"20하9022","20181101161130171","C:\Img\2018\11\01\161130171S_9022.jpg","01","54",,"3",,"1","209022"
,"49우6917","20181101162316593","C:\Img\2018\11\01\162316593S_6917.jpg","01","50",,"4",,"1","496917"
,"18호6695","20181101162354687","C:\Img\2018\11\01\162354687S_6695.jpg","01","65",,"3",,"1","186695"
,"06거7316","20181101164416703","C:\Img\2018\11\01\164416703S_7316.jpg","01","60",,"3",,"1","067316"
,"51가1768","20181101165911937","C:\Img\2018\11\01\165911937S_1768.jpg","01","63",,"4",,"1","511768"
,"97거0686","20181101172228328","C:\Img\2018\11\01\172228328S_0686.jpg","01","68",,"4",,"1","970686"
,"36마3366","20181101173611921","C:\Img\2018\11\01\173611921S_3366.jpg","01","55",,"4",,"1","363366"
,"29호3332","20181101174043812","C:\Img\2018\11\01\174043812S_3332.jpg","01","70",,"5",,"1","293332"
,"66호6877","20181101174151125","C:\Img\2018\11\01\174151125S_6877.jpg","01","78",,"3",,"1","666877"
,"38가1888","20181101174713078","C:\Img\2018\11\01\174713078S_1888.jpg","01","67",,"3",,"1","381888"
,"10허5004","20181101180047171","C:\Img\2018\11\01\180047171S_5004.jpg","01","71",,"4",,"1","105004"
,"13소9704","20181101180551687","C:\Img\2018\11\01\180551687S_9704.jpg","01","54",,"4",,"1","139704"
,"20호8277","20181101181359062","C:\Img\2018\11\01\181359062S_8277.jpg","01","50",,"4",,"1","208277"
,"07노7269","20181101182635546","C:\Img\2018\11\01\182635546S_7269.jpg","01","60",,"3",,"1","077269"
,"61고5104","20181101182942937","C:\Img\2018\11\01\182942937S_5104.jpg","01","97",,"3",,"1","615104"
,"19도2992","20181101184018906","C:\Img\2018\11\01\184018906S_2992.jpg","01","69",,"2",,"1","192992"
,"12라0587","20181101184246234","C:\Img\2018\11\01\184246234S_0587.jpg","01","77",,"4",,"1","120587"
,"40너3690","20181101184313671","C:\Img\2018\11\01\184313671S_3690.jpg","01","75",,"4",,"1","403690"
,"63라0270","20181101184929937","C:\Img\2018\11\01\184929937S_0270.jpg","01","64",,"4",,"1","630270"
,"06구8712","20181101185821906","C:\Img\2018\11\01\185821906S_8712.jpg","01","48",,"5",,"1","068712"
,"76나5241","20181101190127421","C:\Img\2018\11\01\190127421S_5241.jpg","01","56",,"7",,"1","765241"
,"11노3534","20181101190613093","C:\Img\2018\11\01\190613093S_3534.jpg","01","81",,"7",,"1","113534"
,"35누7523","20181101190808765","C:\Img\2018\11\01\190808765S_7523.jpg","01","68",,"6",,"1","357523"
,"38허1321","20181101190811828","C:\Img\2018\11\01\190811828S_1321.jpg","01","60",,"7",,"1","381321"
,"46부1157","20181101191514546","C:\Img\2018\11\01\191514546S_1157.jpg","01","61",,"5",,"1","461157"
,"01우1448","20181101191813515","C:\Img\2018\11\01\191813515S_1448.jpg","01","65",,"7",,"1","011448"
,"49거0469","20181101192311093","C:\Img\2018\11\01\192311093S_0469.jpg","01","79",,"5",,"1","490469"
,"76허2704","20181101192829406","C:\Img\2018\11\01\192829406S_2704.jpg","01","55",,"7",,"1","762704"
,"46주8840","20181101194929968","C:\Img\2018\11\01\194929968S_8840.jpg","01","69",,"9",,"1","468840"
,"37소6600","20181101200851671","C:\Img\2018\11\01\200851671S_6600.jpg","01","63",,"6",,"1","376600"
,"03서1310","20181101201137843","C:\Img\2018\11\01\201137843S_1310.jpg","01","74",,"5",,"1","031310"
,"29오7323","20181101202239468","C:\Img\2018\11\01\202239468S_7323.jpg","01","55",,"7",,"1","297323"
,"13버5875","20181101205443109","C:\Img\2018\11\01\205443109S_5875.jpg","01","104",,"7",,"1","135875"
,"12구4312","20181101212845703","C:\Img\2018\11\01\212845703S_4312.jpg","01","77",,"9",,"1","124312"
,"07라3663","20181101233542656","C:\Img\2018\11\01\233542656S_3663.jpg","01","66",,"6",,"1","073663"
,"66무6536","20181101234049640","C:\Img\2018\11\01\234049640S_6536.jpg","01","77",,"6",,"1","666536"
,"39보8578","20181101234117109","C:\Img\2018\11\01\234117109S_8578.jpg","01","58",,"6",,"1","398578"
,"07가4524","20181102090234562","C:\Img\2018\11\02\090234562S_4524.jpg","01","70",,"3",,"1","074524"
,"72호1222","20181102090542843","C:\Img\2018\11\02\090542843S_1222.jpg","01","69",,"4",,"1","721222"
,"68호5430","20181102090927062","C:\Img\2018\11\02\090927062S_5430.jpg","01","58",,"5",,"1","685430"
,"20하7087","20181102091003265","C:\Img\2018\11\02\091003265S_7087.jpg","01","93",,"4",,"1","207087"
,"37나9561","20181102091340609","C:\Img\2018\11\02\091340609S_9561.jpg","01","51",,"4",,"1","379561"
,"34호7478","20181102091454140","C:\Img\2018\11\02\091454140S_7478.jpg","01","54",,"4",,"1","347478"
,"40너3690","20181102101544421","C:\Img\2018\11\02\101544421S_3690.jpg","01","59",,"4",,"1","403690"
,"02구5049","20181102101712937","C:\Img\2018\11\02\101712937S_5049.jpg","01","58",,"4",,"1","025049"
,"70호3393","20181102102219812","C:\Img\2018\11\02\102219812S_3393.jpg","01","67",,"5",,"1","703393"
,"66조3422","20181102104450046","C:\Img\2018\11\02\104450046S_3422.jpg","01","68",,"5",,"1","663422"
,"44하8201","20181102105758171","C:\Img\2018\11\02\105758171S_8201.jpg","01","81",,"3",,"1","448201"
,"35우2622","20181102110556343","C:\Img\2018\11\02\110556343S_2622.jpg","01","51",,"3",,"1","352622"
,"60라1078","20181102110938703","C:\Img\2018\11\02\110938703S_1078.jpg","01","82",,"3",,"1","601078"
,"64노4405","20181102110947453","C:\Img\2018\11\02\110947453S_4405.jpg","01","58",,"3",,"1","644405"
,"63호2284","20181102110953046","C:\Img\2018\11\02\110953046S_2284.jpg","01","70",,"6",,"1","632284"
,"20하4530","20181102111713859","C:\Img\2018\11\02\111713859S_4530.jpg","01","70",,"4",,"1","204530"
,"67수6782","20181102113103171","C:\Img\2018\11\02\113103171S_6782.jpg","01","67",,"14",,"1","676782"
,"14허8379","20181102115415671","C:\Img\2018\11\02\115415671S_8379.jpg","01","59",,"4",,"1","148379"
,"07도0507","20181102122223625","C:\Img\2018\11\02\122223625S_0507.jpg","01","54",,"3",,"1","070507"
,"19도2992","20181102123041687","C:\Img\2018\11\02\123041687S_2992.jpg","01","57",,"2",,"1","192992"
,"38가1888","20181102130954875","C:\Img\2018\11\02\130954875S_1888.jpg","01","65",,"3",,"1","381888"
,"36마3366","20181102131538421","C:\Img\2018\11\02\131538421S_3366.jpg","01","50",,"4",,"1","363366"
,"07라3663","20181102133050531","C:\Img\2018\11\02\133050531S_3663.jpg","01","130",,"4",,"1","073663"
,"65호6940","20181102133900359","C:\Img\2018\11\02\133900359S_6940.jpg","01","80",,"10",,"1","656940"
,"07노7269","20181102134959093","C:\Img\2018\11\02\134959093S_7269.jpg","01","45",,"3",,"1","077269"
,"54하8838","20181102141204281","C:\Img\2018\11\02\141204281S_8838.jpg","01","67",,"4",,"1","548838"
,"35보1516","20181102141718343","C:\Img\2018\11\02\141718343S_1516.jpg","01","73",,"4",,"1","351516"
,"49저0471","20181102141811390","C:\Img\2018\11\02\141811390S_0471.jpg","01","73",,"4",,"1","490471"
,"62부6814","20181102142121921","C:\Img\2018\11\02\142121921S_6814.jpg","01","66",,"3",,"1","626814"
,"65하7527","20181102145056984","C:\Img\2018\11\02\145056984S_7527.jpg","01","53",,"4",,"1","657527"
,"70호3380","20181102150728218","C:\Img\2018\11\02\150728218S_3380.jpg","01","78",,"4",,"1","703380"
,"20하8449","20181102151110750","C:\Img\2018\11\02\151110750S_8449.jpg","01","78",,"4",,"1","208449"
,"45수6063","20181102151201906","C:\Img\2018\11\02\151201906S_6063.jpg","01","77",,"4",,"1","456063"
,"37소6600","20181102152153000","C:\Img\2018\11\02\152153000S_6600.jpg","01","61",,"4",,"1","376600"
,"12구4312","20181102160100484","C:\Img\2018\11\02\160100484S_4312.jpg","01","68",,"4",,"1","124312"
,"13소9704","20181102161506156","C:\Img\2018\11\02\161506156S_9704.jpg","01","69",,"4",,"1","139704"
,"76허2704","20181102161707812","C:\Img\2018\11\02\161707812S_2704.jpg","01","81",,"4",,"1","762704"
,"51가1768","20181102171523015","C:\Img\2018\11\02\171523015S_1768.jpg","01","59",,"4",,"1","511768"
,"63라0270","20181102173301156","C:\Img\2018\11\02\173301156S_0270.jpg","01","79",,"4",,"1","630270"
,"37소6600","20181102175629234","C:\Img\2018\11\02\175629234S_6600.jpg","01","57",,"4",,"1","376600"
,"67수6782","20181102180425531","C:\Img\2018\11\02\180425531S_6782.jpg","01","106",,"18",,"1","676782"
,"27호2039","20181102180458031","C:\Img\2018\11\02\180458031S_2039.jpg","01","51",,"5",,"1","272039"
,"16나5241","20181102180953984","C:\Img\2018\11\02\180953984S_5241.jpg","01","54",,"4",,"1","165241"
,"01우1448","20181102181004687","C:\Img\2018\11\02\181004687S_1448.jpg","01","93",,"4",,"1","011448"
,"71하8954","20181102183828734","C:\Img\2018\11\02\183828734S_8954.jpg","01","57",,"5",,"1","718954"
,"55나6209","20181102184758421","C:\Img\2018\11\02\184758421S_6209.jpg","01","74",,"4",,"1","556209"
,"66무6536","20181102184808359","C:\Img\2018\11\02\184808359S_6536.jpg","01","66",,"4",,"1","666536"
,"39보8578","20181102184825265","C:\Img\2018\11\02\184825265S_8578.jpg","01","51",,"3",,"1","398578"
,"38너1787","20181102184842421","C:\Img\2018\11\02\184842421S_1787.jpg","01","78",,"3",,"1","381787"
,"11노3534","20181102185653750","C:\Img\2018\11\02\185653750S_3534.jpg","01","65",,"4",,"1","113534"
,"14가7137","20181102190757421","C:\Img\2018\11\02\190757421S_7137.jpg","01","61",,"8",,"1","147137"
,"51루7716","20181102191155781","C:\Img\2018\11\02\191155781S_7716.jpg","01","99",,"5",,"1","517716"
,"42무1452","20181102193310406","C:\Img\2018\11\02\193310406S_1452.jpg","01","64",,"6",,"1","421452"
,"61고5104","20181102200602546","C:\Img\2018\11\02\200602546S_5104.jpg","01","95",,"6",,"1","615104"
,"62부6814","20181102201216515","C:\Img\2018\11\02\201216515S_6814.jpg","01","61",,"5",,"1","626814"
,"03서1310","20181102201248078","C:\Img\2018\11\02\201248078S_1310.jpg","01","59",,"5",,"1","031310"
,"52부1095","20181102201710453","C:\Img\2018\11\02\201710453S_1095.jpg","01","56",,"13",,"1","521095"
,"58호9893","20181102212440046","C:\Img\2018\11\02\212440046S_9893.jpg","01","74",,"6",,"1","589893"
,"37노3946","20181102213539906","C:\Img\2018\11\02\213539906S_3946.jpg","01","48",,"7",,"1","373946"
,"51오4696","20181102225905765","C:\Img\2018\11\02\225905765S_4696.jpg","01","58",,"7",,"1","514696"
,"07라3663","20181102230507218","C:\Img\2018\11\02\230507218S_3663.jpg","01","64",,"7",,"1","073663"
,"51루7716","20181102233526578","C:\Img\2018\11\02\233526578S_7716.jpg","01","83",,"5",,"1","517716"
,"51루7716","20181103000702515","C:\Img\2018\11\03\000702515S_7716.jpg","01","103",,"5",,"1","517716"
,"24조1284","20181103075231953","C:\Img\2018\11\03\075231953S_1284.jpg","01","72",,"4",,"1","241284"
,"51루7716","20181103094828593","C:\Img\2018\11\03\094828593S_7716.jpg","01","89",,"3",,"1","517716"
,"03서1310","20181103103245062","C:\Img\2018\11\03\103245062S_1310.jpg","01","67",,"3",,"1","031310"
,"07라3663","20181103110413453","C:\Img\2018\11\03\110413453S_3663.jpg","01","80",,"4",,"1","073663"
,"56로9542","20181103121146609","C:\Img\2018\11\03\121146609S_9542.jpg","01","74",,"5",,"1","569542"
,"52부1095","20181103121750453","C:\Img\2018\11\03\121750453S_1095.jpg","01","77",,"4",,"1","521095"
,"51루7716","20181103121818781","C:\Img\2018\11\03\121818781S_7716.jpg","01","88",,"3",,"1","517716"
,"29호3963","20181103124811203","C:\Img\2018\11\03\124811203S_3963.jpg","01","62",,"2",,"1","293963"
,"52하1831","20181103125045875","C:\Img\2018\11\03\125045875S_1831.jpg","01","72",,"9",,"1","521831"
,"72호1625","20181103132321437","C:\Img\2018\11\03\132321437S_1625.jpg","01","63",,"4",,"1","721625"
,"20하4986","20181103143546078","C:\Img\2018\11\03\143546078S_4986.jpg","01","54",,"4",,"1","204986"
,"07라3663","20181103144156875","C:\Img\2018\11\03\144156875S_3663.jpg","01","72",,"3",,"1","073663"
,"미인식","20181103144549265","C:\Img\2018\11\03\144549265S_XXXX.jpg","01","121",,"6","1","1",
,"35누1326","20181103150541625","C:\Img\2018\11\03\150541625S_1326.jpg","01","66",,"4",,"1","351326"
,"14허5940","20181103154116546","C:\Img\2018\11\03\154116546S_5940.jpg","01","72",,"7",,"1","145940"
,"30하8869","20181103164919843","C:\Img\2018\11\03\164919843S_8869.jpg","01","55",,"3",,"1","308869"
,"37소6600","20181103170624171","C:\Img\2018\11\03\170624171S_6600.jpg","01","60",,"4",,"1","376600"
,"27호2039","20181103180313015","C:\Img\2018\11\03\180313015S_2039.jpg","01","65",,"5",,"1","272039"
,"20하4987","20181103185823250","C:\Img\2018\11\03\185823250S_4987.jpg","01","89",,"3",,"1","204987"
,"51루7716","20181103191028328","C:\Img\2018\11\03\191028328S_7716.jpg","01","75",,"5",,"1","517716"
,"07라3663","20181103224053562","C:\Img\2018\11\03\224053562S_3663.jpg","01","73",,"7",,"1","073663"
,"46호3070","20181104080055390","C:\Img\2018\11\04\080055390S_3070.jpg","01","50",,"3",,"1","463070"
,"65하8913","20181104090720713","C:\Img\2018\11\04\090720713S_8913.jpg","01","81",,"4",,"1","658913"
,"09서5807","20181104111442226","C:\Img\2018\11\04\111442226S_5807.jpg","01","75",,"4",,"1","095807"
,"03서1310","20181104115958002","C:\Img\2018\11\04\115958002S_1310.jpg","01","68",,"3",,"1","031310"
,"46부1157","20181104122825177","C:\Img\2018\11\04\122825177S_1157.jpg","01","61",,"3",,"1","461157"
,"51루7716","20181104131335614","C:\Img\2018\11\04\131335614S_7716.jpg","01","86",,"3",,"1","517716"
