일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"38조5240","20180901092050570","C:\Img\2018\09\01\092050570S_5240.jpg","01","80",,"34",,"1","385240","(141, 544), W:231, H:77","GigE 409672 / 1/3000S / Gain 80 /"
,"미인식","20180901092824964","C:\Img\2018\09\01\092824964S_XXXX.jpg","01","208",,"27","1","1",,,"GigE 409672 / 1/3000S / Gain 90 /"
,"39호1372","20180901093803586","C:\Img\2018\09\01\093803586S_1372.jpg","01","159",,"30",,"1","391372","(77, 564), W:211, H:91","GigE 409672 / 1/3000S / Gain 100 /"
,"56도9519","20180901093937894","C:\Img\2018\09\01\093937894S_9519.jpg","01","142",,"34",,"1","569519","(43, 624), W:217, H:91","GigE 409672 / 1/2500S / Gain 100 /"
,"미인식","20180901094603448","C:\Img\2018\09\01\094603448S_XXXX.jpg","01","304",,"37","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"06거5386","20180901095216621","C:\Img\2018\09\01\095216621S_5386.jpg","01","70",,"46",,"1","065386","(337, 516), W:215, H:85","GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901101221695","C:\Img\2018\09\01\101221695S_XXXX.jpg","01","333",,"36","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901102422822","C:\Img\2018\09\01\102422822S_XXXX.jpg","01","249",,"46","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901103218383","C:\Img\2018\09\01\103218383S_XXXX.jpg","01","185",,"39","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"26다5255","20180901103505432","C:\Img\2018\09\01\103505432S_5255.jpg","01","66",,"43",,"1","265255","(171, 544), W:249, H:77","GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901104548073","C:\Img\2018\09\01\104548073S_XXXX.jpg","01","287",,"41","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901104858101","C:\Img\2018\09\01\104858101S_XXXX.jpg","01","95",,"39","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"63노1087","20180901105136273","C:\Img\2018\09\01\105136273S_1087.jpg","01","54",,"36",,"1","631087","(9, 540), W:187, H:81","GigE 409672 / 1/2000S / Gain 100 /"
,"40누2223","20180901105302132","C:\Img\2018\09\01\105302132S_2223.jpg","01","101",,"43",,"1","402223","(111, 552), W:199, H:85","GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901105507804","C:\Img\2018\09\01\105507804S_XXXX.jpg","01","155",,"39","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901105525528","C:\Img\2018\09\01\105525528S_XXXX.jpg","01","378",,"36","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"60머2509","20180901105924276","C:\Img\2018\09\01\105924276S_2509.jpg","01","163",,"39",,"1","602509","(15, 614), W:155, H:85","GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901110343544","C:\Img\2018\09\01\110343544S_XXXX.jpg","01","202",,"35","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"17오8211","20180901111803829","C:\Img\2018\09\01\111803829S_8211.jpg","01","78",,"48",,"1","178211","(237, 506), W:205, H:79","GigE 409672 / 1/2000S / Gain 100 /"
,"55보9276","20180901112336976","C:\Img\2018\09\01\112336976S_9276.jpg","01","84",,"45",,"1","559276","(43, 570), W:221, H:81","GigE 409672 / 1/2000S / Gain 100 /"
,"04누2185","20180901113058561","C:\Img\2018\09\01\113058561S_2185.jpg","01","61",,"36",,"1","042185","(131, 520), W:215, H:83","GigE 409672 / 1/2500S / Gain 100 /"
,"19나6160","20180901113118620","C:\Img\2018\09\01\113118620S_6160.jpg","01","101",,"42",,"1","196160","(105, 598), W:253, H:87","GigE 409672 / 1/2000S / Gain 100 /"
,"64도7092","20180901114439464","C:\Img\2018\09\01\114439464S_7092.jpg","01","99",,"40",,"1","647092","(169, 558), W:231, H:79","GigE 409672 / 1/2000S / Gain 100 /"
,"74무6378","20180901115324574","C:\Img\2018\09\01\115324574S_6378.jpg","01","84",,"40","5","1","746378","(159, 516), W:227, H:77","GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901115617767","C:\Img\2018\09\01\115617767S_XXXX.jpg","01","126",,"58","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901120102501","C:\Img\2018\09\01\120102501S_XXXX.jpg","01","110",,"41","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"52두8537","20180901120226334","C:\Img\2018\09\01\120226334S_8537.jpg","01","66",,"36",,"1","528537","(41, 590), W:211, H:81","GigE 409672 / 1/2000S / Gain 100 /"
,"70어4471","20180901120945369","C:\Img\2018\09\01\120945369S_4471.jpg","01","88",,"38",,"1","704471","(113, 514), W:199, H:79","GigE 409672 / 1/2000S / Gain 100 /"
,"42너6803","20180901121037745","C:\Img\2018\09\01\121037745S_6803.jpg","01","74",,"40",,"1","426803","(163, 504), W:225, H:79","GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901121911304","C:\Img\2018\09\01\121911304S_XXXX.jpg","01","260",,"36","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901122130430","C:\Img\2018\09\01\122130430S_XXXX.jpg","01","297",,"36","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
,"65보6323","20180901122547118","C:\Img\2018\09\01\122547118S_6323.jpg","01","62",,"43",,"1","656323","(39, 510), W:189, H:81","GigE 409672 / 1/2000S / Gain 100 /"
,"63가8234","20180901124437485","C:\Img\2018\09\01\124437485S_8234.jpg","01","79",,"42",,"1","638234","(119, 560), W:207, H:83","GigE 409672 / 1/2000S / Gain 100 /"
,"19구3130","20180901125403912","C:\Img\2018\09\01\125403912S_3130.jpg","01","75",,"41",,"1","193130","(295, 478), W:285, H:87","GigE 409672 / 1/2000S / Gain 100 /"
,"미인식","20180901125719223","C:\Img\2018\09\01\125719223S_XXXX.jpg","01","155",,"36","1","1",,,"GigE 409672 / 1/2000S / Gain 100 /"
