일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보,번호판밝기,전기차,전기차2
,"18루4130","20181101042405975","C:\Img\2018\11\01\042405975S_4130.jpg","01","75",,"25",,"1","184130","(179, 478), W:239, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"52저9430","20181101043126822","C:\Img\2018\11\01\043126822S_9430.jpg","01","60",,"25",,"1","529430","(351, 436), W:271, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"45두9423","20181101053100468","C:\Img\2018\11\01\053100468S_9423.jpg","01","42",,"28",,"1","459423","(221, 542), W:257, H:91","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"34모1807","20181101061605152","C:\Img\2018\11\01\061605152S_1807.jpg","01","73",,"31",,"1","341807","(101, 496), W:187, H:87","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"61어6265","20181101061726691","C:\Img\2018\11\01\061726691S_6265.jpg","01","47",,"24",,"1","616265","(203, 494), W:231, H:85","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"서울31아6902","20181101062948659","C:\Img\2018\11\01\062948659S_6902.jpg","01","60",,"27",,"1","316902","(150, 520), W:268, H:91","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"08부4506","20181101064025093","C:\Img\2018\11\01\064025093S_4506.jpg","01","80",,"26",,"1","084506","(375, 458), W:191, H:81","1200UM 12430549 / 1/500S / Gain 500 /",,,
,"65도7648","20181101070528856","C:\Img\2018\11\01\070528856S_7648.jpg","01","158",,"12",,"1","657648","(201, 510), W:233, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"65마3176","20181101071738225","C:\Img\2018\11\01\071738225S_3176.jpg","01","62",,"12",,"1","653176","(233, 434), W:215, H:81","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"36머2096","20181101073045435","C:\Img\2018\11\01\073045435S_2096.jpg","01","50",,"15",,"1","362096","(203, 522), W:253, H:83","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"03머3987","20181101074835533","C:\Img\2018\11\01\074835533S_3987.jpg","01","51",,"13",,"1","033987","(327, 336), W:219, H:145","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"02오7826","20181101081149590","C:\Img\2018\11\01\081149590S_7826.jpg","01","108",,"17",,"1","027826","(3, 549), W:149, H:138","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"06머7398","20181101081826486","C:\Img\2018\11\01\081826486S_7398.jpg","01","41",,"14",,"1","067398","(243, 438), W:341, H:103","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101083812527","C:\Img\2018\11\01\083812527S_XXXX.jpg","01","176",,"17","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"61어6443","20181101083833728","C:\Img\2018\11\01\083833728S_6443.jpg","01","96",,"15",,"1","616443","(131, 496), W:203, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"58무0164","20181101084023305","C:\Img\2018\11\01\084023305S_0164.jpg","01","72",,"13",,"1","580164","(171, 462), W:205, H:79","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"02서3085","20181101091111239","C:\Img\2018\11\01\091111239S_3085.jpg","01","58",,"16",,"1","023085","(219, 428), W:237, H:83","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101094559271","C:\Img\2018\11\01\094559271S_XXXX.jpg","01","333",,"17","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"23고7123","20181101095309238","C:\Img\2018\11\01\095309238S_7123.jpg","01","68",,"19",,"1","237123","(14, 466), W:174, H:83","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"32너6338","20181101102412397","C:\Img\2018\11\01\102412397S_6338.jpg","01","69",,"33",,"1","326338","(189, 418), W:269, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"32노6338","20181101102424955","C:\Img\2018\11\01\102424955S_6338.jpg","01","73",,"34",,"1","326338","(275, 402), W:311, H:99","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"62모5118","20181101103718362","C:\Img\2018\11\01\103718362S_5118.jpg","01","138",,"30",,"1","625118","(211, 504), W:211, H:85","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"18루4130","20181101104744277","C:\Img\2018\11\01\104744277S_4130.jpg","01","42",,"35",,"1","184130","(233, 468), W:253, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101110222338","C:\Img\2018\11\01\110222338S_XXXX.jpg","01","151",,"42","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"82거6081","20181101110303551","C:\Img\2018\11\01\110303551S_6081.jpg","01","108",,"40",,"1","826081","(541, 318), W:371, H:115","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"18조0118","20181101110405738","C:\Img\2018\11\01\110405738S_0118.jpg","01","107",,"40",,"1","180118","(31, 470), W:159, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"39호2031","20181101114213468","C:\Img\2018\11\01\114213468S_2031.jpg","01","64",,"51",,"1","392031","(173, 458), W:207, H:83","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"39호2031","20181101114235313","C:\Img\2018\11\01\114235313S_2031.jpg","01","54",,"56",,"1","392031","(249, 474), W:297, H:93","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"39호2031","20181101114255167","C:\Img\2018\11\01\114255167S_2031.jpg","01","65",,"61",,"1","392031","(411, 456), W:341, H:99","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"39호2031","20181101114314423","C:\Img\2018\11\01\114314423S_2031.jpg","01","57",,"62",,"1","392031","(459, 450), W:349, H:101","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"50거6173","20181101114810937","C:\Img\2018\11\01\114810937S_6173.jpg","01","34",,"55",,"1","506173","(255, 462), W:279, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"55로4382","20181101115126565","C:\Img\2018\11\01\115126565S_4382.jpg","01","95",,"55",,"1","554382","(191, 466), W:239, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"10가2342","20181101123734058","C:\Img\2018\11\01\123734058S_2342.jpg","01","43",,"29",,"1","102342","(99, 512), W:225, H:87","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"59러5773","20181101125928202","C:\Img\2018\11\01\125928202S_5773.jpg","01","66",,"15",,"1","595773","(405, 466), W:339, H:95","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"48우0582","20181101131155205","C:\Img\2018\11\01\131155205S_0582.jpg","01","75",,"16",,"1","480582","(145, 524), W:221, H:85","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101132017980","C:\Img\2018\11\01\132017980S_XXXX.jpg","01","286",,"14","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"01나3517","20181101132830648","C:\Img\2018\11\01\132830648S_3517.jpg","01","69",,"14",,"1","013517","(141, 505), W:187, H:136","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101134444976","C:\Img\2018\11\01\134444976S_XXXX.jpg","01","353",,"19","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101134816390","C:\Img\2018\11\01\134816390S_XXXX.jpg","01","307",,"14","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101142503593","C:\Img\2018\11\01\142503593S_XXXX.jpg","01","65",,"17","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101150510640","C:\Img\2018\11\01\150510640S_XXXX.jpg","01","513",,"15","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"27보2628","20181101151042039","C:\Img\2018\11\01\151042039S_2628.jpg","01","76",,"15",,"1","272628","(339, 484), W:299, H:89","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101160614215","C:\Img\2018\11\01\160614215S_XXXX.jpg","01","82",,"14","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"03버8519","20181101161933684","C:\Img\2018\11\01\161933684S_8519.jpg","01","93",,"17",,"1","038519","(141, 539), W:151, H:132","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"미인식","20181101162311032","C:\Img\2018\11\01\162311032S_XXXX.jpg","01","168",,"19","1","1",,,"1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"65저8950","20181101163628909","C:\Img\2018\11\01\163628909S_8950.jpg","01","129",,"15",,"1","658950","(119, 502), W:211, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
,"26서4170","20181101164333156","C:\Img\2018\11\01\164333156S_4170.jpg","01","188",,"16",,"1","264170","(177, 502), W:249, H:91","1200UM 12430549 / 1/1500S / Gain 500 /",,,
