일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"20호8265","20180901000041454","C:\Img\2018\09\01\000041454S_8265.jpg","01","55",,"19",,"1","208265","(101, 654), W:319, H:87","1200UM 14314943 / 1/1000S / Gain 340 /"
,"59구7584","20180901015015396","C:\Img\2018\09\01\015015396S_7584.jpg","01","99",,"16",,"1","597584","(135, 626), W:303, H:83","1200UM 14314943 / 1/1000S / Gain 340 /"
,"52마0610","20180901020146761","C:\Img\2018\09\01\020146761S_0610.jpg","01","78",,"16",,"1","520610","(253, 580), W:313, H:79","1200UM 14314943 / 1/1000S / Gain 340 /"
,"17수0428","20180901023431782","C:\Img\2018\09\01\023431782S_0428.jpg","01","63",,"17",,"1","170428","(123, 582), W:291, H:77","1200UM 14314943 / 1/1000S / Gain 340 /"
,"32보6857","20180901030811093","C:\Img\2018\09\01\030811093S_6857.jpg","01","81",,"17",,"1","326857","(141, 576), W:281, H:77","1200UM 14314943 / 1/1000S / Gain 340 /"
,"02어4767","20180901030816274","C:\Img\2018\09\01\030816274S_4767.jpg","01","59",,"14",,"1","024767","(163, 610), W:303, H:81","1200UM 14314943 / 1/1000S / Gain 340 /"
,"57호4431","20180901040929337","C:\Img\2018\09\01\040929337S_4431.jpg","01","65",,"18",,"1","574431","(299, 556), W:279, H:79","1200UM 14314943 / 1/1000S / Gain 340 /"
,"46하4783","20180901042837109","C:\Img\2018\09\01\042837109S_4783.jpg","01","63",,"16",,"1","464783","(117, 628), W:311, H:85","1200UM 14314943 / 1/1000S / Gain 340 /"
,"08수9442","20180901044906206","C:\Img\2018\09\01\044906206S_9442.jpg","01","62",,"15",,"1","089442","(137, 566), W:313, H:81","1200UM 14314943 / 1/1000S / Gain 340 /"
,"27버9363","20180901045726597","C:\Img\2018\09\01\045726597S_9363.jpg","01","85",,"19",,"1","279363","(151, 620), W:313, H:79","1200UM 14314943 / 1/1000S / Gain 340 /"
,"52마9383","20180901050909971","C:\Img\2018\09\01\050909971S_9383.jpg","01","56",,"14",,"1","529383","(81, 590), W:293, H:79","1200UM 14314943 / 1/1000S / Gain 340 /"
,"53거1592","20180901052409997","C:\Img\2018\09\01\052409997S_1592.jpg","01","66",,"19",,"1","531592","(49, 682), W:329, H:91","1200UM 14314943 / 1/1000S / Gain 340 /"
,"30주2048","20180901053809506","C:\Img\2018\09\01\053809506S_2048.jpg","01","51",,"15",,"1","302048","(179, 576), W:301, H:79","1200UM 14314943 / 1/1000S / Gain 340 /"
,"16라6176","20180901053832224","C:\Img\2018\09\01\053832224S_6176.jpg","01","70",,"15",,"1","166176","(379, 564), W:297, H:75","1200UM 14314943 / 1/1000S / Gain 340 /"
,"61수3580","20180901054449537","C:\Img\2018\09\01\054449537S_3580.jpg","01","84",,"15",,"1","613580","(237, 604), W:313, H:85","1200UM 14314943 / 1/1000S / Gain 340 /"
,"45서3960","20180901055025138","C:\Img\2018\09\01\055025138S_3960.jpg","01","78",,"15",,"1","453960","(157, 610), W:309, H:79","1200UM 14314943 / 1/1000S / Gain 340 /"
,"52하4658","20180901055239749","C:\Img\2018\09\01\055239749S_4658.jpg","01","47",,"16",,"1","524658","(169, 750), W:311, H:93","1200UM 14314943 / 1/1000S / Gain 340 /"
,"52우0199","20180901060817594","C:\Img\2018\09\01\060817594S_0199.jpg","01","39",,"18",,"1","520199","(49, 624), W:303, H:87","1200UM 14314943 / 1/1000S / Gain 340 /"
,"21하7725","20180901061407857","C:\Img\2018\09\01\061407857S_7725.jpg","01","56",,"16",,"1","217725","(313, 590), W:305, H:79","1200UM 14314943 / 1/1000S / Gain 340 /"
,"27누3486","20180901062555970","C:\Img\2018\09\01\062555970S_3486.jpg","01","54",,"17",,"1","273486","(255, 605), W:235, H:124","1200UM 14314943 / 1/1000S / Gain 340 /"
,"45서3960","20180901063935711","C:\Img\2018\09\01\063935711S_3960.jpg","01","92",,"17",,"1","453960","(137, 586), W:291, H:75","1200UM 14314943 / 1/1000S / Gain 340 /"
,"91보7116","20180901064716297","C:\Img\2018\09\01\064716297S_7116.jpg","01","57",,"19",,"1","917116","(97, 446), W:299, H:85","1200UM 14314943 / 1/1000S / Gain 340 /"
