일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"56소7848","20181201000727783","C:\Img\2018\12\01\000727783S_7848.jpg","01","85",,"15",,"1","567848","(95, 690), W:271, H:73","1200UM 14272722 / 1/1000S / Gain 400 /"
,"33누2253","20181201000821893","C:\Img\2018\12\01\000821893S_2253.jpg","01","70",,"16",,"1","332253","(179, 598), W:239, H:67","1200UM 14272722 / 1/1000S / Gain 400 /"
,"26가0533","20181201002020172","C:\Img\2018\12\01\002020172S_0533.jpg","01","53",,"15",,"1","260533","(101, 590), W:243, H:67","1200UM 14272722 / 1/1000S / Gain 400 /"
,"22누0730","20181201002354190","C:\Img\2018\12\01\002354190S_0730.jpg","01","113",,"15",,"1","220730","(29, 596), W:255, H:69","1200UM 14272722 / 1/1000S / Gain 400 /"
,"미인식","20181201010048930","C:\Img\2018\12\01\010048930S_XXXX.jpg","01","310",,"13","1","1",,,"1200UM 14272722 / 1/1000S / Gain 400 /"
,"88오7359","20181201010844151","C:\Img\2018\12\01\010844151S_7359.jpg","01","81",,"19",,"1","887359","(3, 482), W:243, H:81","1200UM 14272722 / 1/1000S / Gain 400 /"
,"52구5968","20181201011706561","C:\Img\2018\12\01\011706561S_5968.jpg","01","51",,"16",,"1","525968","(123, 610), W:267, H:69","1200UM 14272722 / 1/1000S / Gain 400 /"
,"54버4709","20181201015201498","C:\Img\2018\12\01\015201498S_4709.jpg","01","130",,"17",,"1","544709","(15, 628), W:251, H:69","1200UM 14272722 / 1/1000S / Gain 400 /"
,"43보0183","20181201015724232","C:\Img\2018\12\01\015724232S_0183.jpg","01","69",,"17",,"1","430183","(99, 628), W:245, H:69","1200UM 14272722 / 1/1000S / Gain 400 /"
,"07나8028","20181201023246606","C:\Img\2018\12\01\023246606S_8028.jpg","01","129",,"16",,"1","078028","(87, 598), W:223, H:67","1200UM 14272722 / 1/1000S / Gain 400 /"
,"78가6691","20181201035646607","C:\Img\2018\12\01\035646607S_6691.jpg","01","151",,"20",,"1","786691","(12, 642), W:240, H:71","1200UM 14272722 / 1/1000S / Gain 400 /"
,"56로2453","20181201040102061","C:\Img\2018\12\01\040102061S_2453.jpg","01","74",,"17",,"1","562453","(99, 654), W:261, H:75","1200UM 14272722 / 1/1000S / Gain 400 /"
,"52호8493","20181201041100792","C:\Img\2018\12\01\041100792S_8493.jpg","01","110",,"16",,"1","528493","(14, 642), W:236, H:71","1200UM 14272722 / 1/1000S / Gain 400 /"
,"64호2311","20181201041945788","C:\Img\2018\12\01\041945788S_2311.jpg","01","105",,"15",,"1","642311","(31, 626), W:241, H:69","1200UM 14272722 / 1/1000S / Gain 400 /"
,"59우9461","20181201051441862","C:\Img\2018\12\01\051441862S_9461.jpg","01","68",,"15",,"1","599461","(65, 596), W:259, H:71","1200UM 14272722 / 1/1000S / Gain 400 /"
,"미인식","20181201053405491","C:\Img\2018\12\01\053405491S_XXXX.jpg","01","414",,"15","1","1",,,"1200UM 14272722 / 1/1000S / Gain 400 /"
,"05누2888","20181201054023688","C:\Img\2018\12\01\054023688S_2888.jpg","01","122",,"15",,"1","052888","(15, 646), W:255, H:71","1200UM 14272722 / 1/1000S / Gain 400 /"
