일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"14더7534","20180901000722718","C:\Img\2018\09\01\000722718S_7534.jpg","01","114",,"34",,"1","147534","(39, 438), W:201, H:85","1200UM 13191096 / 1/1000S / Gain 400 /"
,"36우0254","20180901014029187","C:\Img\2018\09\01\014029187S_0254.jpg","01","83",,"33",,"1","360254","(135, 450), W:243, H:91","1200UM 13191096 / 1/1000S / Gain 400 /"
,"34오5054","20180901051409875","C:\Img\2018\09\01\051409875S_5054.jpg","01","83",,"28",,"1","345054","(195, 396), W:223, H:81","1200UM 13191096 / 1/1000S / Gain 400 /"
,"80고3862","20180901055420343","C:\Img\2018\09\01\055420343S_3862.jpg","01","61",,"29",,"1","803862","(403, 350), W:229, H:127","1200UM 13191096 / 1/1000S / Gain 400 /"
,"07나2708","20180901061208609","C:\Img\2018\09\01\061208609S_2708.jpg","01","153",,"34",,"1","072708","(49, 508), W:207, H:91","1200UM 13191096 / 1/1000S / Gain 400 /"
,"90서1208","20180901075427843","C:\Img\2018\09\01\075427843S_1208.jpg","01","91",,"59",,"1","901208","(301, 438), W:271, H:83","1200UM 13191096 / 1/2000S / Gain 400 /"
,"37서2892","20180901075643296","C:\Img\2018\09\01\075643296S_2892.jpg","01","69",,"60",,"1","372892","(445, 498), W:295, H:89","1200UM 13191096 / 1/2000S / Gain 400 /"
,"81버3579","20180901082439796","C:\Img\2018\09\01\082439796S_3579.jpg","01","91",,"65",,"1","813579","(369, 400), W:297, H:85","1200UM 13191096 / 1/2000S / Gain 400 /"
,"86수6963","20180901085141718","C:\Img\2018\09\01\085141718S_6963.jpg","01","100",,"65",,"1","866963","(291, 382), W:287, H:85","1200UM 13191096 / 1/2000S / Gain 400 /"
,"01가9962","20180901102450937","C:\Img\2018\09\01\102450937S_9962.jpg","01","64",,"62",,"1","019962","(357, 452), W:175, H:109","1200UM 13191096 / 1/2000S / Gain 400 /"
,"48수3703","20180901110913578","C:\Img\2018\09\01\110913578S_3703.jpg","01","72",,"247",,"1","483703","(343, 470), W:281, H:81","1200UM 13191096 / 1/2000S / Gain 400 /"
,"12노4306","20180901113700546","C:\Img\2018\09\01\113700546S_4306.jpg","01","43",,"219",,"1","124306","(295, 434), W:265, H:87","1200UM 13191096 / 1/3000S / Gain 220 /"
,"49저8213","20180901114201843","C:\Img\2018\09\01\114201843S_8213.jpg","01","84",,"196",,"1","498213","(235, 462), W:227, H:85","1200UM 13191096 / 1/3000S / Gain 160 /"
,"서울53두6322","20180901114834671","C:\Img\2018\09\01\114834671S_6322.jpg","01","87",,"167",,"1","536322","(464, 467), W:210, H:112","1200UM 13191096 / 1/4000S / Gain 160 /"
,"01가9962","20180901115915968","C:\Img\2018\09\01\115915968S_9962.jpg","01","81",,"143",,"1","019962","(333, 451), W:175, H:110","1200UM 13191096 / 1/5000S / Gain 160 /"
,"59나4779","20180901122249593","C:\Img\2018\09\01\122249593S_4779.jpg","01","65",,"133",,"1","594779","(277, 507), W:177, H:110","1200UM 13191096 / 1/6000S / Gain 160 /"
,"43부8378","20180901125752796","C:\Img\2018\09\01\125752796S_8378.jpg","01","56",,"26",,"1","438378","(571, 446), W:303, H:85","1200UM 13191096 / 1/6000S / Gain 160 /"
,"39로1270","20180901132817296","C:\Img\2018\09\01\132817296S_1270.jpg","01","59",,"20",,"1","391270","(175, 442), W:213, H:81","1200UM 13191096 / 1/6000S / Gain 160 /"
,"56버4233","20180901133423796","C:\Img\2018\09\01\133423796S_4233.jpg","01","54",,"18",,"1","564233","(339, 478), W:265, H:81","1200UM 13191096 / 1/5000S / Gain 160 /"
,"36머5710","20180901133545703","C:\Img\2018\09\01\133545703S_5710.jpg","01","74",,"21",,"1","365710","(219, 478), W:223, H:87","1200UM 13191096 / 1/4000S / Gain 160 /"
,"11모6195","20180901134217281","C:\Img\2018\09\01\134217281S_6195.jpg","01","78",,"27",,"1","116195","(413, 426), W:241, H:81","1200UM 13191096 / 1/3000S / Gain 160 /"
,"12다4527","20180901135219875","C:\Img\2018\09\01\135219875S_4527.jpg","01","68",,"26",,"1","124527","(515, 478), W:307, H:91","1200UM 13191096 / 1/3000S / Gain 160 /"
,"35고5684","20180901135308984","C:\Img\2018\09\01\135308984S_5684.jpg","01","100",,"27",,"1","355684","(163, 482), W:261, H:81","1200UM 13191096 / 1/3000S / Gain 160 /"
,"12다4527","20180901135506078","C:\Img\2018\09\01\135506078S_4527.jpg","01","67",,"19",,"1","124527","(249, 444), W:225, H:87","1200UM 13191096 / 1/3000S / Gain 160 /"
,"16나5291","20180901140507578","C:\Img\2018\09\01\140507578S_5291.jpg","01","85",,"27",,"1","165291","(585, 502), W:291, H:85","1200UM 13191096 / 1/3000S / Gain 180 /"
,"02너2075","20180901141528546","C:\Img\2018\09\01\141528546S_2075.jpg","01","63",,"24",,"1","022075","(213, 451), W:201, H:116","1200UM 13191096 / 1/3000S / Gain 180 /"
,"53수4998","20180901141815140","C:\Img\2018\09\01\141815140S_4998.jpg","01","62",,"26",,"1","534998","(327, 418), W:253, H:85","1200UM 13191096 / 1/3000S / Gain 200 /"
,"61주2954","20180901143025843","C:\Img\2018\09\01\143025843S_2954.jpg","01","69",,"27",,"1","612954","(445, 468), W:287, H:85","1200UM 13191096 / 1/3000S / Gain 200 /"
,"27우9789","20180901143451281","C:\Img\2018\09\01\143451281S_9789.jpg","01","68",,"27",,"1","279789","(209, 474), W:267, H:81","1200UM 13191096 / 1/3000S / Gain 200 /"
,"35조9403","20180901143710546","C:\Img\2018\09\01\143710546S_9403.jpg","01","149",,"24",,"1","359403","(37, 436), W:177, H:79","1200UM 13191096 / 1/3000S / Gain 200 /"
,"35조9403","20180901144006968","C:\Img\2018\09\01\144006968S_9403.jpg","01","65",,"28",,"1","359403","(569, 478), W:307, H:83","1200UM 13191096 / 1/3000S / Gain 220 /"
,"38조2116","20180901144028515","C:\Img\2018\09\01\144028515S_2116.jpg","01","83",,"28",,"1","382116","(387, 444), W:257, H:89","1200UM 13191096 / 1/3000S / Gain 220 /"
,"19다5154","20180901145044687","C:\Img\2018\09\01\145044687S_5154.jpg","01","68",,"32",,"1","195154","(249, 480), W:239, H:83","1200UM 13191096 / 1/3000S / Gain 220 /"
,"64구8849","20180901145245359","C:\Img\2018\09\01\145245359S_8849.jpg","01","80",,"32",,"1","648849","(253, 512), W:273, H:83","1200UM 13191096 / 1/3000S / Gain 220 /"
,"60소7829","20180901145251015","C:\Img\2018\09\01\145251015S_7829.jpg","01","74",,"31",,"1","607829","(337, 458), W:285, H:85","1200UM 13191096 / 1/3000S / Gain 220 /"
,"06노0147","20180901145314843","C:\Img\2018\09\01\145314843S_0147.jpg","01","67",,"32",,"1","060147","(275, 452), W:229, H:85","1200UM 13191096 / 1/3000S / Gain 220 /"
,"11가2484","20180901145344140","C:\Img\2018\09\01\145344140S_2484.jpg","01","58",,"31",,"1","112484","(385, 480), W:241, H:87","1200UM 13191096 / 1/3000S / Gain 220 /"
