일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"16누0620","20180701001537357","C:\Img\2018\07\01\001537357S_0620.jpg","01","85",,"24",,"1","160620","(189, 526), W:297, H:75","GigE 16274006 / 1/500S / Gain 70 /"
,"26나9172","20180701002507139","C:\Img\2018\07\01\002507139S_9172.jpg","01","47",,"24",,"1","269172","(245, 506), W:297, H:77","GigE 16274006 / 1/500S / Gain 70 /"
,"55라1742","20180701011149235","C:\Img\2018\07\01\011149235S_1742.jpg","01","89",,"23",,"1","551742","(223, 544), W:289, H:77","GigE 16274006 / 1/500S / Gain 70 /"
,"23러6341","20180701013727252","C:\Img\2018\07\01\013727252S_6341.jpg","01","65",,"23",,"1","236341","(317, 534), W:289, H:75","GigE 16274006 / 1/500S / Gain 70 /"
,"23러6341","20180701034634449","C:\Img\2018\07\01\034634449S_6341.jpg","01","83",,"22",,"1","236341","(209, 532), W:281, H:75","GigE 16274006 / 1/500S / Gain 70 /"
,"09도0689","20180701035244422","C:\Img\2018\07\01\035244422S_0689.jpg","01","52",,"24",,"1","090689","(287, 472), W:307, H:77","GigE 16274006 / 1/500S / Gain 70 /"
,"38모5905","20180701035647296","C:\Img\2018\07\01\035647296S_5905.jpg","01","81",,"24",,"1","385905","(239, 476), W:273, H:71","GigE 16274006 / 1/500S / Gain 70 /"
,"30두7766","20180701042829144","C:\Img\2018\07\01\042829144S_7766.jpg","01","78",,"22",,"1","307766","(179, 492), W:287, H:73","GigE 16274006 / 1/500S / Gain 70 /"
,"38더5785","20180701042942752","C:\Img\2018\07\01\042942752S_5785.jpg","01","86",,"26",,"1","385785","(145, 524), W:267, H:69","GigE 16274006 / 1/500S / Gain 70 /"
,"23거5728","20180701043103231","C:\Img\2018\07\01\043103231S_5728.jpg","01","71",,"25",,"1","235728","(161, 572), W:291, H:77","GigE 16274006 / 1/500S / Gain 70 /"
,"49도8953","20180701060637822","C:\Img\2018\07\01\060637822S_8953.jpg","01","99",,"25",,"1","498953","(119, 534), W:277, H:71","GigE 16274006 / 1/500S / Gain 70 /"
,"22마1256","20180701061240488","C:\Img\2018\07\01\061240488S_1256.jpg","01","58",,"27",,"1","221256","(135, 564), W:279, H:75","GigE 16274006 / 1/500S / Gain 70 /"
,"92마1195","20180701061521983","C:\Img\2018\07\01\061521983S_1195.jpg","01","69",,"25",,"1","921195","(397, 438), W:289, H:69","GigE 16274006 / 1/500S / Gain 70 /"
,"24무1829","20180701064354856","C:\Img\2018\07\01\064354856S_1829.jpg","01","69",,"25",,"1","241829","(233, 532), W:283, H:77","GigE 16274006 / 1/500S / Gain 70 /"
,"81고0855","20180701065710334","C:\Img\2018\07\01\065710334S_0855.jpg","01","56",,"26",,"1","810855","(219, 474), W:273, H:69","GigE 16274006 / 1/500S / Gain 70 /"
,"72고9469","20180701070051779","C:\Img\2018\07\01\070051779S_9469.jpg","01","137",,"27",,"1","729469","(237, 502), W:291, H:73","GigE 16274006 / 1/500S / Gain 70 /"
,"81러3959","20180701072044106","C:\Img\2018\07\01\072044106S_3959.jpg","01","54",,"25",,"1","813959","(179, 312), W:311, H:85","GigE 16274006 / 1/500S / Gain 70 /"
,"84머9054","20180701074713985","C:\Img\2018\07\01\074713985S_9054.jpg","01","144",,"32",,"1","849054","(283, 484), W:271, H:71","GigE 16274006 / 1/500S / Gain 70 /"
,"55우8286","20180701080900141","C:\Img\2018\07\01\080900141S_8286.jpg","01","96",,"43",,"1","558286","(465, 506), W:297, H:77","GigE 16274006 / 1/500S / Gain 70 /"
,"부산33바5643","20180701081017097","C:\Img\2018\07\01\081017097S_5643.jpg","01","110",,"50",,"1","335643","(230, 514), W:288, H:73","GigE 16274006 / 1/500S / Gain 70 /"
,"72고9469","20180701081232974","C:\Img\2018\07\01\081232974S_9469.jpg","01","179",,"47",,"1","729469","(309, 480), W:281, H:71","GigE 16274006 / 1/500S / Gain 70 /"
,"08서3430","20180701081725308","C:\Img\2018\07\01\081725308S_3430.jpg","01","71",,"56",,"1","083430","(343, 479), W:217, H:116","GigE 16274006 / 1/500S / Gain 70 /"
,"69러7303","20180701082146169","C:\Img\2018\07\01\082146169S_7303.jpg","01","115",,"56",,"1","697303","(283, 512), W:283, H:71","GigE 16274006 / 1/500S / Gain 70 /"
,"55누4936","20180701082219452","C:\Img\2018\07\01\082219452S_4936.jpg","01","88",,"58",,"1","554936","(273, 508), W:281, H:71","GigE 16274006 / 1/500S / Gain 70 /"
,"62도3795","20180701083020816","C:\Img\2018\07\01\083020816S_3795.jpg","01","121",,"48",,"1","623795","(291, 460), W:289, H:73","GigE 16274006 / 1/500S / Gain 70 /"
,"07라8713","20180701083837633","C:\Img\2018\07\01\083837633S_8713.jpg","01","88",,"53",,"1","078713","(409, 571), W:211, H:110","GigE 16274006 / 1/500S / Gain 70 /"
,"69라0117","20180701085450952","C:\Img\2018\07\01\085450952S_0117.jpg","01","87",,"73",,"1","690117","(579, 498), W:295, H:71","GigE 16274006 / 1/500S / Gain 70 /"
,"66보8841","20180701085836929","C:\Img\2018\07\01\085836929S_8841.jpg","01","93",,"59",,"1","668841","(277, 540), W:269, H:71","GigE 16274006 / 1/1000S / Gain 70 /"
,"부산30로7907","20180701090331500","C:\Img\2018\07\01\090331500S_7907.jpg","01","66",,"35",,"1","307907","(486, 485), W:214, H:114","GigE 16274006 / 1/1000S / Gain 70 /"
,"41주9111","20180701090542579","C:\Img\2018\07\01\090542579S_9111.jpg","01","124",,"59",,"1","419111","(339, 484), W:289, H:73","GigE 16274006 / 1/500S / Gain 70 /"
,"40무7334","20180701090612557","C:\Img\2018\07\01\090612557S_7334.jpg","01","105",,"58",,"1","407334","(249, 524), W:275, H:71","GigE 16274006 / 1/500S / Gain 70 /"
