일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"서울83자2741","20180801095643232","C:\Img\2018\08\01\095643232S_2741.jpg","01","75",,"153",,"1","832741","(495, 447), W:193, H:110","GigE 745599 / 1/1500S / Gain 70 /"
,"68고4110","20180801100909463","C:\Img\2018\08\01\100909463S_4110.jpg","01","154",,"155",,"1","684110","(177, 510), W:255, H:69","GigE 745599 / 1/3000S / Gain 50 /"
,"45조9542","20180801102642656","C:\Img\2018\08\01\102642656S_9542.jpg","01","117",,"65",,"1","459542","(353, 518), W:265, H:69","GigE 745599 / 1/4000S / Gain 50 /"
,"16도2696","20180801102842982","C:\Img\2018\08\01\102842982S_2696.jpg","01","120",,"55",,"1","162696","(457, 440), W:261, H:67","GigE 745599 / 1/5000S / Gain 50 /"
,"06고7226","20180801102937113","C:\Img\2018\08\01\102937113S_7226.jpg","01","135",,"44",,"1","067226","(327, 476), W:263, H:69","GigE 745599 / 1/6000S / Gain 50 /"
,"63어4195","20180801103557006","C:\Img\2018\08\01\103557006S_4195.jpg","01","144",,"40",,"1","634195","(155, 542), W:245, H:65","GigE 745599 / 1/6000S / Gain 50 /"
,"24주7721","20180801104708690","C:\Img\2018\08\01\104708690S_7721.jpg","01","61",,"39",,"1","247721","(14, 574), W:220, H:69","GigE 745599 / 1/6000S / Gain 50 /"
,"58모6670","20180801105718026","C:\Img\2018\08\01\105718026S_6670.jpg","01","107",,"40",,"1","586670","(343, 520), W:253, H:67","GigE 745599 / 1/6000S / Gain 50 /"
,"50구9939","20180801110114122","C:\Img\2018\08\01\110114122S_9939.jpg","01","165",,"39",,"1","509939","(327, 516), W:259, H:73","GigE 745599 / 1/6000S / Gain 50 /"
,"91주0747","20180801112208201","C:\Img\2018\08\01\112208201S_0747.jpg","01","88",,"39",,"1","910747","(255, 518), W:267, H:71","GigE 745599 / 1/6000S / Gain 50 /"
,"13더6399","20180801113640738","C:\Img\2018\08\01\113640738S_6399.jpg","01","102",,"39","5","1","136399","(143, 540), W:255, H:71","GigE 745599 / 1/6000S / Gain 50 /"
,"68우0613","20180801114101205","C:\Img\2018\08\01\114101205S_0613.jpg","01","136",,"39",,"1","680613","(189, 514), W:245, H:71","GigE 745599 / 1/6000S / Gain 50 /"
,"65서9617","20180801115250365","C:\Img\2018\08\01\115250365S_9617.jpg","01","139",,"39",,"1","659617","(193, 536), W:255, H:77","GigE 745599 / 1/6000S / Gain 50 /"
,"15무0160","20180801120645374","C:\Img\2018\08\01\120645374S_0160.jpg","01","79",,"39",,"1","150160","(97, 614), W:255, H:77","GigE 745599 / 1/6000S / Gain 50 /"
,"15누5312","20180801121132421","C:\Img\2018\08\01\121132421S_5312.jpg","01","165",,"39",,"1","155312","(179, 488), W:251, H:69","GigE 745599 / 1/6000S / Gain 50 /"
,"07구0682","20180801121431936","C:\Img\2018\08\01\121431936S_0682.jpg","01","252",,"40",,"1","070682","(319, 532), W:269, H:75","GigE 745599 / 1/6000S / Gain 50 /"
,"69로0734","20180801121627310","C:\Img\2018\08\01\121627310S_0734.jpg","01","91",,"39",,"1","690734","(413, 532), W:265, H:67","GigE 745599 / 1/6000S / Gain 50 /"
,"09가1381","20180801123025666","C:\Img\2018\08\01\123025666S_1381.jpg","01","70",,"39",,"1","091381","(203, 424), W:255, H:69","GigE 745599 / 1/6000S / Gain 50 /"
,"45하8969","20180801123359843","C:\Img\2018\08\01\123359843S_8969.jpg","01","128",,"41",,"1","458969","(237, 522), W:255, H:71","GigE 745599 / 1/6000S / Gain 50 /"
,"45조9542","20180801123813391","C:\Img\2018\08\01\123813391S_9542.jpg","01","161",,"35",,"1","459542","(243, 600), W:281, H:79","GigE 745599 / 1/6000S / Gain 50 /"
,"57소0487","20180801125802003","C:\Img\2018\08\01\125802003S_0487.jpg","01","143",,"41",,"1","570487","(345, 494), W:265, H:73","GigE 745599 / 1/6000S / Gain 50 /"
,"45러3889","20180801130022416","C:\Img\2018\08\01\130022416S_3889.jpg","01","172",,"37",,"1","453889","(227, 534), W:265, H:75","GigE 745599 / 1/6000S / Gain 50 /"
,"56부2121","20180801130654610","C:\Img\2018\08\01\130654610S_2121.jpg","01","125",,"41",,"1","562121","(335, 518), W:255, H:73","GigE 745599 / 1/6000S / Gain 50 /"
,"07다3468","20180801130740352","C:\Img\2018\08\01\130740352S_3468.jpg","01","152",,"41",,"1","073468","(215, 518), W:251, H:73","GigE 745599 / 1/6000S / Gain 50 /"
,"69어0723","20180801130744205","C:\Img\2018\08\01\130744205S_0723.jpg","01","55",,"40",,"1","690723","(449, 468), W:265, H:67","GigE 745599 / 1/6000S / Gain 50 /"
