일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"31나4507","20181201002628828","C:\Img\2018\12\01\002628828S_4507.jpg","01","62",,"19",,"1","314507","(143, 378), W:201, H:81","GigE 15144526 / 1/500S / Gain 70 /"
,"57노3690","20181201020737127","C:\Img\2018\12\01\020737127S_3690.jpg","01","47",,"19",,"1","573690","(319, 534), W:291, H:75","GigE 15144526 / 1/500S / Gain 70 /"
,"97수7498","20181201020817115","C:\Img\2018\12\01\020817115S_7498.jpg","01","74",,"19",,"1","977498","(171, 398), W:299, H:81","GigE 15144526 / 1/500S / Gain 70 /"
,"97수7425","20181201025212923","C:\Img\2018\12\01\025212923S_7425.jpg","01","50",,"19",,"1","977425","(295, 330), W:287, H:83","GigE 15144526 / 1/500S / Gain 70 /"
,"87오5310","20181201025415629","C:\Img\2018\12\01\025415629S_5310.jpg","01","45",,"19",,"1","875310","(399, 410), W:275, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"85고5174","20181201041246943","C:\Img\2018\12\01\041246943S_5174.jpg","01","50",,"19",,"1","855174","(213, 322), W:291, H:83","GigE 15144526 / 1/500S / Gain 70 /"
,"41저8356","20181201050219740","C:\Img\2018\12\01\050219740S_8356.jpg","01","40",,"18",,"1","418356","(449, 408), W:281, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"84노1299","20181201050235222","C:\Img\2018\12\01\050235222S_1299.jpg","01","58",,"20",,"1","841299","(227, 390), W:289, H:99","GigE 15144526 / 1/500S / Gain 70 /"
,"미인식","20181201050838856","C:\Img\2018\12\01\050838856S_XXXX.jpg","01","197",,"20","1","1",,,"GigE 15144526 / 1/500S / Gain 70 /"
,"30가1205","20181201051936705","C:\Img\2018\12\01\051936705S_1205.jpg","01","69",,"19",,"1","301205","(523, 466), W:307, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"49가6228","20181201055915674","C:\Img\2018\12\01\055915674S_6228.jpg","01","54",,"18",,"1","496228","(157, 508), W:291, H:77","GigE 15144526 / 1/500S / Gain 70 /"
,"69우2710","20181201060312504","C:\Img\2018\12\01\060312504S_2710.jpg","01","62",,"19",,"1","692710","(663, 508), W:329, H:79","GigE 15144526 / 1/500S / Gain 70 /"
,"13소9217","20181201061219385","C:\Img\2018\12\01\061219385S_9217.jpg","01","81",,"19","5","1","139217","(227, 424), W:273, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"53너8676","20181201061837203","C:\Img\2018\12\01\061837203S_8676.jpg","01","66",,"19",,"1","538676","(379, 500), W:289, H:77","GigE 15144526 / 1/500S / Gain 70 /"
,"43보8142","20181201063309765","C:\Img\2018\12\01\063309765S_8142.jpg","01","49",,"19",,"1","438142","(689, 428), W:311, H:75","GigE 15144526 / 1/500S / Gain 70 /"
,"66우9110","20181201063637431","C:\Img\2018\12\01\063637431S_9110.jpg","01","52",,"19",,"1","669110","(489, 436), W:291, H:75","GigE 15144526 / 1/500S / Gain 70 /"
,"55고4182","20181201064636507","C:\Img\2018\12\01\064636507S_4182.jpg","01","54",,"19",,"1","554182","(337, 374), W:279, H:81","GigE 15144526 / 1/500S / Gain 70 /"
,"56너5309","20181201070432398","C:\Img\2018\12\01\070432398S_5309.jpg","01","51",,"19",,"1","565309","(279, 462), W:255, H:69","GigE 15144526 / 1/1500S / Gain 70 /"
,"미인식","20181201070815691","C:\Img\2018\12\01\070815691S_XXXX.jpg","01","195",,"17","1","1",,,"GigE 15144526 / 1/1000S / Gain 70 /"
,"03보0373","20181201071422510","C:\Img\2018\12\01\071422510S_0373.jpg","01","98",,"18",,"1","030373","(189, 486), W:289, H:77","GigE 15144526 / 1/500S / Gain 70 /"
,"07어8392","20181201072202605","C:\Img\2018\12\01\072202605S_8392.jpg","01","51",,"19",,"1","078392","(235, 484), W:279, H:75","GigE 15144526 / 1/500S / Gain 70 /"
,"64부0310","20181201072234600","C:\Img\2018\12\01\072234600S_0310.jpg","01","42",,"19",,"1","640310","(545, 392), W:295, H:79","GigE 15144526 / 1/500S / Gain 70 /"
,"04누7691","20181201072854720","C:\Img\2018\12\01\072854720S_7691.jpg","01","42",,"20",,"1","047691","(329, 444), W:281, H:75","GigE 15144526 / 1/500S / Gain 70 /"
,"35마9429","20181201073039347","C:\Img\2018\12\01\073039347S_9429.jpg","01","69",,"20",,"1","359429","(463, 502), W:293, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"18주8548","20181201073241139","C:\Img\2018\12\01\073241139S_8548.jpg","01","69",,"21",,"1","188548","(405, 444), W:275, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"14우5403","20181201073504014","C:\Img\2018\12\01\073504014S_5403.jpg","01","74",,"22",,"1","145403","(501, 486), W:301, H:75","GigE 15144526 / 1/500S / Gain 70 /"
,"37호2697","20181201073824042","C:\Img\2018\12\01\073824042S_2697.jpg","01","55",,"22",,"1","372697","(229, 464), W:251, H:71","GigE 15144526 / 1/500S / Gain 70 /"
,"14조6810","20181201073933283","C:\Img\2018\12\01\073933283S_6810.jpg","01","65",,"23",,"1","146810","(291, 504), W:293, H:77","GigE 15144526 / 1/500S / Gain 70 /"
,"61호1955","20181201073939593","C:\Img\2018\12\01\073939593S_1955.jpg","01","55",,"23",,"1","611955","(259, 468), W:265, H:71","GigE 15144526 / 1/500S / Gain 70 /"
,"67러7652","20181201074033234","C:\Img\2018\12\01\074033234S_7652.jpg","01","56",,"22",,"1","677652","(391, 504), W:305, H:79","GigE 15144526 / 1/500S / Gain 70 /"
,"63보9558","20181201074325571","C:\Img\2018\12\01\074325571S_9558.jpg","01","73",,"23",,"1","639558","(719, 354), W:325, H:93","GigE 15144526 / 1/500S / Gain 70 /"
,"06소6781","20181201074335036","C:\Img\2018\12\01\074335036S_6781.jpg","01","64",,"24",,"1","066781","(751, 390), W:223, H:111","GigE 15144526 / 1/500S / Gain 70 /"
,"63무3103","20181201074700283","C:\Img\2018\12\01\074700283S_3103.jpg","01","86",,"25",,"1","633103","(661, 460), W:221, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"25고4869","20181201080204163","C:\Img\2018\12\01\080204163S_4869.jpg","01","66",,"28",,"1","254869","(531, 460), W:287, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"04다0585","20181201080806942","C:\Img\2018\12\01\080806942S_0585.jpg","01","97",,"32",,"1","040585","(511, 424), W:271, H:69","GigE 15144526 / 1/500S / Gain 70 /"
,"41머4828","20181201081456166","C:\Img\2018\12\01\081456166S_4828.jpg","01","99",,"32",,"1","414828","(525, 440), W:281, H:71","GigE 15144526 / 1/500S / Gain 70 /"
,"30오2542","20181201081554378","C:\Img\2018\12\01\081554378S_2542.jpg","01","198",,"31",,"1","302542","(229, 468), W:261, H:71","GigE 15144526 / 1/500S / Gain 70 /"
,"88어2150","20181201082414018","C:\Img\2018\12\01\082414018S_2150.jpg","01","51",,"37",,"1","882150","(453, 377), W:211, H:114","GigE 15144526 / 1/500S / Gain 70 /"
,"26버3706","20181201082432478","C:\Img\2018\12\01\082432478S_3706.jpg","01","83",,"39",,"1","263706","(501, 422), W:327, H:101","GigE 15144526 / 1/500S / Gain 70 /"
,"11나1326","20181201082437639","C:\Img\2018\12\01\082437639S_1326.jpg","01","72",,"39",,"1","111326","(517, 412), W:269, H:71","GigE 15144526 / 1/500S / Gain 70 /"
,"69나7972","20181201082832227","C:\Img\2018\12\01\082832227S_7972.jpg","01","52",,"34",,"1","697972","(395, 290), W:283, H:85","GigE 15144526 / 1/500S / Gain 70 /"
,"37수3042","20181201082920679","C:\Img\2018\12\01\082920679S_3042.jpg","01","50",,"36",,"1","373042","(559, 384), W:311, H:87","GigE 15144526 / 1/500S / Gain 70 /"
,"55루6121","20181201082941734","C:\Img\2018\12\01\082941734S_6121.jpg","01","42",,"35",,"1","556121","(657, 370), W:307, H:87","GigE 15144526 / 1/500S / Gain 70 /"
,"35너1177","20181201082949312","C:\Img\2018\12\01\082949312S_1177.jpg","01","42",,"36",,"1","351177","(511, 378), W:303, H:87","GigE 15144526 / 1/500S / Gain 70 /"
,"11나4637","20181201082954768","C:\Img\2018\12\01\082954768S_4637.jpg","01","125",,"35",,"1","114637","(525, 390), W:229, H:85","GigE 15144526 / 1/500S / Gain 70 /"
,"41조2983","20181201083114006","C:\Img\2018\12\01\083114006S_2983.jpg","01","51",,"36",,"1","412983","(593, 434), W:327, H:97","GigE 15144526 / 1/500S / Gain 70 /"
,"42너0720","20181201083135828","C:\Img\2018\12\01\083135828S_0720.jpg","01","75",,"36",,"1","420720","(525, 392), W:313, H:91","GigE 15144526 / 1/500S / Gain 70 /"
,"55도0306","20181201083142524","C:\Img\2018\12\01\083142524S_0306.jpg","01","64",,"37",,"1","550306","(623, 388), W:321, H:97","GigE 15144526 / 1/500S / Gain 70 /"
,"41부7149","20181201083151693","C:\Img\2018\12\01\083151693S_7149.jpg","01","88",,"37",,"1","417149","(373, 410), W:279, H:81","GigE 15144526 / 1/500S / Gain 70 /"
,"16하3981","20181201083331869","C:\Img\2018\12\01\083331869S_3981.jpg","01","76",,"41",,"1","163981","(269, 476), W:255, H:71","GigE 15144526 / 1/500S / Gain 70 /"
,"38보1984","20181201083654756","C:\Img\2018\12\01\083654756S_1984.jpg","01","70",,"45",,"1","381984","(739, 420), W:299, H:73","GigE 15144526 / 1/500S / Gain 70 /"
,"37가2342","20181201084918685","C:\Img\2018\12\01\084918685S_2342.jpg","01","83",,"50",,"1","372342","(543, 428), W:271, H:77","GigE 15144526 / 1/500S / Gain 70 /"
,"미인식","20181201090631552","C:\Img\2018\12\01\090631552S_XXXX.jpg","01","381",,"54","1","1",,,"GigE 15144526 / 1/500S / Gain 70 /"
,"74하7152","20181201090759726","C:\Img\2018\12\01\090759726S_7152.jpg","01","73",,"58",,"1","747152","(577, 380), W:311, H:89","GigE 15144526 / 1/500S / Gain 70 /"
,"38버8774","20181201090840567","C:\Img\2018\12\01\090840567S_8774.jpg","01","108",,"57",,"1","388774","(293, 398), W:299, H:85","GigE 15144526 / 1/500S / Gain 70 /"
