일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보,번호판밝기,전기차,전기차2,번호판밝기2
,"15구4156","20180901014933974","C:\Img\2018\09\01\014933974S_4156.jpg","01","57",,"28(27)",,"1","154156","(465, 536), W:283, H:77","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"울산12바7355","20180901050316284","C:\Img\2018\09\01\050316284S_7355.jpg","01","74",,"25(25)",,"1","127355","(433, 448), W:267, H:65","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"14고0289","20180901051450757","C:\Img\2018\09\01\051450757S_0289.jpg","01","45",,"25(25)",,"1","140289","(537, 436), W:251, H:65","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"88저9462","20180901053652380","C:\Img\2018\09\01\053652380S_9462.jpg","01","49",,"24(24)",,"1","889462","(595, 436), W:199, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"42나2406","20180901063708516","C:\Img\2018\09\01\063708516S_2406.jpg","01","38",,"27(27)",,"1","422406","(621, 420), W:277, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"59루6204","20180901080722810","C:\Img\2018\09\01\080722810S_6204.jpg","01","68",,"24(20)",,"1","596204","(23, 766), W:299, H:101","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"53구2665","20180901081337706","C:\Img\2018\09\01\081337706S_2665.jpg","01","56",,"23(23)",,"1","532665","(535, 428), W:257, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"25오4109","20180901083704201","C:\Img\2018\09\01\083704201S_4109.jpg","01","86",,"38(38)",,"1","254109","(533, 420), W:255, H:69","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"45우8912","20180901083943909","C:\Img\2018\09\01\083943909S_8912.jpg","01","47",,"25(25)",,"1","458912","(465, 380), W:259, H:65","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"64더7819","20180901090733493","C:\Img\2018\09\01\090733493S_7819.jpg","01","51",,"28(28)",,"1","647819","(491, 462), W:251, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"10나9957","20180901091945701","C:\Img\2018\09\01\091945701S_9957.jpg","01","97",,"31(31)",,"1","109957","(507, 320), W:255, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"18누5226","20180901095412702","C:\Img\2018\09\01\095412702S_5226.jpg","01","70",,"38(38)",,"1","185226","(595, 422), W:261, H:67","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"61구2757","20180901102054316","C:\Img\2018\09\01\102054316S_2757.jpg","01","170",,"64(64)",,"1","612757","(597, 438), W:259, H:65","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"28노4481","20180901102103487","C:\Img\2018\09\01\102103487S_4481.jpg","01","95",,"63(63)",,"1","284481","(523, 452), W:243, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"미인식","20180901102556235","C:\Img\2018\09\01\102556235S_XXXX.jpg","01","209",,"172(163)","1","1",,,"GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"36머1238","20180901102626325","C:\Img\2018\09\01\102626325S_1238.jpg","01","83",,"26(26)",,"1","361238","(565, 426), W:261, H:65","GigE 631164 / 1/4000S / Gain 70 /FR 52.0",,,,
,"98우1157","20180901102727334","C:\Img\2018\09\01\102727334S_1157.jpg","01","56",,"30(30)",,"1","981157","(649, 350), W:213, H:77","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
,"울산32루7646","20180901103330839","C:\Img\2018\09\01\103330839S_7646.jpg","01","68",,"37(37)",,"1","327646","(640, 489), W:190, H:100","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"47저1351","20180901104203804","C:\Img\2018\09\01\104203804S_1351.jpg","01","66",,"34(34)",,"1","471351","(519, 418), W:251, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"62보5536","20180901104655520","C:\Img\2018\09\01\104655520S_5536.jpg","01","66",,"41(41)",,"1","625536","(653, 428), W:253, H:67","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"울산12바7526","20180901105254622","C:\Img\2018\09\01\105254622S_7526.jpg","01","148",,"34(34)",,"1","127526","(624, 426), W:290, H:67","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"64고9248","20180901105500127","C:\Img\2018\09\01\105500127S_9248.jpg","01","52",,"40(40)",,"1","649248","(515, 420), W:257, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"62조0637","20180901105530505","C:\Img\2018\09\01\105530505S_0637.jpg","01","145",,"41(41)",,"1","620637","(653, 470), W:275, H:73","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"11라3024","20180901105538272","C:\Img\2018\09\01\105538272S_3024.jpg","01","108",,"41(41)",,"1","113024","(487, 436), W:247, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"18누5226","20180901112325968","C:\Img\2018\09\01\112325968S_5226.jpg","01","63",,"39(39)",,"1","185226","(627, 420), W:265, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"41버4559","20180901112746915","C:\Img\2018\09\01\112746915S_4559.jpg","01","123",,"85(85)",,"1","414559","(561, 464), W:263, H:69","GigE 631164 / 1/500S / Gain 70 /FR 52.0",,,,
,"06도4953","20180901113703755","C:\Img\2018\09\01\113703755S_4953.jpg","01","61",,"60(60)",,"1","064953","(601, 436), W:257, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"10가0474","20180901114630087","C:\Img\2018\09\01\114630087S_0474.jpg","01","152",,"59(59)",,"1","100474","(431, 462), W:251, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"39어0357","20180901114700908","C:\Img\2018\09\01\114700908S_0357.jpg","01","88",,"60(60)",,"1","390357","(581, 518), W:255, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"66마0377","20180901114832543","C:\Img\2018\09\01\114832543S_0377.jpg","01","62",,"55(55)",,"1","660377","(547, 428), W:263, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"02호1319","20180901115426016","C:\Img\2018\09\01\115426016S_1319.jpg","01","69",,"50(50)",,"1","021319","(473, 446), W:249, H:69","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"15러3958","20180901120134327","C:\Img\2018\09\01\120134327S_3958.jpg","01","124",,"67(67)",,"1","153958","(517, 454), W:243, H:67","GigE 631164 / 1/1000S / Gain 70 /FR 52.0",,,,
,"66러7619","20180901120149043","C:\Img\2018\09\01\120149043S_7619.jpg","01","80",,"44(44)",,"1","667619","(539, 484), W:261, H:71","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"66마0377","20180901120228254","C:\Img\2018\09\01\120228254S_0377.jpg","01","60",,"47(47)",,"1","660377","(571, 436), W:265, H:69","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"29부2668","20180901120441534","C:\Img\2018\09\01\120441534S_2668.jpg","01","111",,"59(59)",,"1","292668","(493, 432), W:251, H:67","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"45거9737","20180901121545397","C:\Img\2018\09\01\121545397S_9737.jpg","01","80",,"92(92)",,"1","459737","(567, 438), W:265, H:67","GigE 631164 / 1/1500S / Gain 70 /FR 52.0",,,,
,"45거9737","20180901123043300","C:\Img\2018\09\01\123043300S_9737.jpg","01","71",,"61(61)",,"1","459737","(507, 406), W:269, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"43로9412","20180901123928321","C:\Img\2018\09\01\123928321S_9412.jpg","01","71",,"42(42)",,"1","439412","(627, 436), W:269, H:65","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"10누9485","20180901124144580","C:\Img\2018\09\01\124144580S_9485.jpg","01","83",,"39(39)",,"1","109485","(673, 308), W:285, H:75","GigE 631164 / 1/2500S / Gain 70 /FR 52.0",,,,
,"58버5101","20180901124459844","C:\Img\2018\09\01\124459844S_5101.jpg","01","56",,"43(43)",,"1","585101","(535, 428), W:245, H:63","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"14구9569","20180901124619476","C:\Img\2018\09\01\124619476S_9569.jpg","01","66",,"43(43)",,"1","149569","(491, 472), W:247, H:65","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"46서3054","20180901124622596","C:\Img\2018\09\01\124622596S_3054.jpg","01","100",,"44(44)",,"1","463054","(565, 422), W:249, H:65","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"07거6415","20180901124954663","C:\Img\2018\09\01\124954663S_6415.jpg","01","68",,"108(45)",,"1","076415","(615, 275), W:199, H:104","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"24루1980","20180901125553738","C:\Img\2018\09\01\125553738S_1980.jpg","01","72",,"147(147)",,"1","241980","(611, 414), W:257, H:67","GigE 631164 / 1/2000S / Gain 70 /FR 52.0",,,,
,"20모7185","20180901131422839","C:\Img\2018\09\01\131422839S_7185.jpg","01","248",,"182(42)",,"1","207185","(477, 414), W:241, H:65","GigE 631164 / 1/5000S / Gain 70 /FR 52.0",,,,
,"46수8798","20180901131450591","C:\Img\2018\09\01\131450591S_8798.jpg","01","81",,"43(43)",,"1","468798","(553, 430), W:261, H:67","GigE 631164 / 1/5000S / Gain 70 /FR 52.0",,,,
,"16노8279","20180901131533601","C:\Img\2018\09\01\131533601S_8279.jpg","01","71",,"32(32)",,"1","168279","(419, 432), W:245, H:63","GigE 631164 / 1/5000S / Gain 70 /FR 52.0",,,,
,"10가0474","20180901132116142","C:\Img\2018\09\01\132116142S_0474.jpg","01","87",,"38(38)",,"1","100474","(475, 482), W:255, H:67","GigE 631164 / 1/4000S / Gain 70 /FR 52.0",,,,
,"05소4625","20180901132502436","C:\Img\2018\09\01\132502436S_4625.jpg","01","91",,"39(39)",,"1","054625","(519, 442), W:259, H:67","GigE 631164 / 1/3000S / Gain 70 /FR 52.0",,,,
