일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"88도2783","20180701022838633","C:\Img\2018\07\01\022838633S_2783.jpg","01","71",,"27",,"1","882783","(323, 446), W:271, H:79","GigE 602027 / 1/500S / Gain 70 /"
,"88머0127","20180701023227082","C:\Img\2018\07\01\023227082S_0127.jpg","01","69",,"26",,"1","880127","(513, 444), W:297, H:79","GigE 602027 / 1/500S / Gain 70 /"
,"51조1398","20180701043643096","C:\Img\2018\07\01\043643096S_1398.jpg","01","42",,"27",,"1","511398","(613, 560), W:201, H:109","GigE 602027 / 1/500S / Gain 70 /"
,"38모3605","20180701045824353","C:\Img\2018\07\01\045824353S_3605.jpg","01","92",,"27",,"1","383605","(547, 584), W:291, H:91","GigE 602027 / 1/500S / Gain 70 /"
,"19수4007","20180701050804102","C:\Img\2018\07\01\050804102S_4007.jpg","01","84",,"27",,"1","194007","(585, 580), W:267, H:81","GigE 602027 / 1/500S / Gain 70 /"
,"미인식","20180701055624137","C:\Img\2018\07\01\055624137S_XXXX.jpg","01","445",,"30","1","1",,,"GigE 602027 / 1/500S / Gain 70 /"
,"33도8243","20180701064009675","C:\Img\2018\07\01\064009675S_8243.jpg","01","76",,"30",,"1","338243","(533, 524), W:267, H:77","GigE 602027 / 1/500S / Gain 70 /"
,"41모5008","20180701064323887","C:\Img\2018\07\01\064323887S_5008.jpg","01","61",,"29",,"1","415008","(567, 532), W:269, H:77","GigE 602027 / 1/500S / Gain 70 /"
,"76너5251","20180701064616733","C:\Img\2018\07\01\064616733S_5251.jpg","01","79",,"30",,"1","765251","(517, 536), W:267, H:81","GigE 602027 / 1/500S / Gain 70 /"
,"50다5433","20180701064740668","C:\Img\2018\07\01\064740668S_5433.jpg","01","76",,"30",,"1","505433","(495, 548), W:261, H:79","GigE 602027 / 1/500S / Gain 70 /"
,"77러7565","20180701065022168","C:\Img\2018\07\01\065022168S_7565.jpg","01","111",,"30",,"1","777565","(485, 464), W:303, H:75","GigE 602027 / 1/500S / Gain 70 /"
,"71누9906","20180701070148046","C:\Img\2018\07\01\070148046S_9906.jpg","01","102",,"25",,"1","719906","(253, 510), W:349, H:93","GigE 602027 / 1/1500S / Gain 70 /"
,"84누3404","20180701070801340","C:\Img\2018\07\01\070801340S_3404.jpg","01","78",,"18",,"1","843404","(423, 566), W:285, H:85","GigE 602027 / 1/1000S / Gain 70 /"
,"16저7144","20180701070843507","C:\Img\2018\07\01\070843507S_7144.jpg","01","73",,"21",,"1","167144","(375, 576), W:275, H:89","GigE 602027 / 1/500S / Gain 70 /"
,"97버8074","20180701070925972","C:\Img\2018\07\01\070925972S_8074.jpg","01","124",,"24",,"1","978074","(523, 458), W:289, H:79","GigE 602027 / 1/500S / Gain 70 /"
,"34구1786","20180701071355294","C:\Img\2018\07\01\071355294S_1786.jpg","01","103",,"21",,"1","341786","(365, 530), W:267, H:79","GigE 602027 / 1/500S / Gain 70 /"
,"42도5023","20180701071409759","C:\Img\2018\07\01\071409759S_5023.jpg","01","135",,"21",,"1","425023","(325, 628), W:277, H:91","GigE 602027 / 1/500S / Gain 70 /"
,"14루6212","20180701071744473","C:\Img\2018\07\01\071744473S_6212.jpg","01","98",,"20",,"1","146212","(499, 522), W:279, H:81","GigE 602027 / 1/500S / Gain 70 /"
,"28구8840","20180701075009109","C:\Img\2018\07\01\075009109S_8840.jpg","01","85",,"25",,"1","288840","(539, 526), W:269, H:79","GigE 602027 / 1/500S / Gain 70 /"
,"62호6485","20180701075127704","C:\Img\2018\07\01\075127704S_6485.jpg","01","96",,"24",,"1","626485","(551, 588), W:273, H:83","GigE 602027 / 1/500S / Gain 70 /"
,"28구8840","20180701080226808","C:\Img\2018\07\01\080226808S_8840.jpg","01","76",,"26",,"1","288840","(529, 492), W:265, H:77","GigE 602027 / 1/500S / Gain 70 /"
,"06모0956","20180701080353497","C:\Img\2018\07\01\080353497S_0956.jpg","01","68",,"26",,"1","060956","(619, 562), W:277, H:81","GigE 602027 / 1/500S / Gain 70 /"
,"35주7070","20180701080819733","C:\Img\2018\07\01\080819733S_7070.jpg","01","79",,"24",,"1","357070","(281, 644), W:283, H:93","GigE 602027 / 1/500S / Gain 70 /"
,"56가6104","20180701081043543","C:\Img\2018\07\01\081043543S_6104.jpg","01","71",,"25",,"1","566104","(507, 534), W:291, H:81","GigE 602027 / 1/500S / Gain 70 /"
,"10누0695","20180701081100596","C:\Img\2018\07\01\081100596S_0695.jpg","01","76",,"24",,"1","100695","(461, 702), W:271, H:89","GigE 602027 / 1/500S / Gain 70 /"
,"23허3829","20180701081244635","C:\Img\2018\07\01\081244635S_3829.jpg","01","65",,"27",,"1","233829","(719, 524), W:275, H:77","GigE 602027 / 1/500S / Gain 70 /"
,"48주8027","20180701081251502","C:\Img\2018\07\01\081251502S_8027.jpg","01","65",,"23",,"1","488027","(379, 520), W:255, H:77","GigE 602027 / 1/500S / Gain 70 /"
,"24누9516","20180701081343224","C:\Img\2018\07\01\081343224S_9516.jpg","01","60",,"23",,"1","249516","(511, 594), W:289, H:85","GigE 602027 / 1/500S / Gain 70 /"
