일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"20버0339","20181101041921339","C:\Img\2018\11\01\041921339S_0339.jpg","01","52",,"29",,"1","200339","(451, 532), W:267, H:71","GigE 767146 / 1/500S / Gain 70 /"
,"20버0339","20181101041925885","C:\Img\2018\11\01\041925885S_0339.jpg","02","78",,"39",,"1","200339","(273, 304), W:281, H:77","GigE 746041 / 1/500S / Gain 70 /"
,"59도5297","20181101061742399","C:\Img\2018\11\01\061742399S_5297.jpg","01","98",,"30",,"1","595297","(369, 480), W:259, H:71","GigE 767146 / 1/500S / Gain 70 /"
,"59도5297","20181101061747234","C:\Img\2018\11\01\061747234S_5297.jpg","02","55",,"38",,"1","595297","(305, 248), W:275, H:75","GigE 746041 / 1/500S / Gain 70 /"
,"47가5542","20181101070427120","C:\Img\2018\11\01\070427120S_5542.jpg","01","49",,"32",,"1","475542","(427, 524), W:263, H:69","GigE 767146 / 1/1500S / Gain 70 /"
,"47가5542","20181101070432040","C:\Img\2018\11\01\070432040S_5542.jpg","02","94",,"41",,"1","475542","(441, 338), W:281, H:85","GigE 746041 / 1/1500S / Gain 70 /"
,"52주9551","20181101071629033","C:\Img\2018\11\01\071629033S_9551.jpg","01","52",,"20",,"1","529551","(481, 590), W:207, H:69","GigE 767146 / 1/1000S / Gain 70 /"
,"52주9551","20181101071634069","C:\Img\2018\11\01\071634069S_9551.jpg","02","63",,"24",,"1","529551","(253, 324), W:205, H:75","GigE 746041 / 1/1000S / Gain 70 /"
,"05노2535","20181101073247538","C:\Img\2018\11\01\073247538S_2535.jpg","01","36",,"29",,"1","052535","(419, 530), W:263, H:69","GigE 767146 / 1/500S / Gain 70 /"
,"05노2535","20181101073251371","C:\Img\2018\11\01\073251371S_2535.jpg","02","60",,"38",,"1","052535","(205, 218), W:271, H:75","GigE 746041 / 1/500S / Gain 70 /"
,"16가3198","20181101074308925","C:\Img\2018\11\01\074308925S_3198.jpg","01","76",,"34",,"1","163198","(361, 618), W:295, H:85","GigE 767146 / 1/500S / Gain 70 /"
,"16가3198","20181101074312916","C:\Img\2018\11\01\074312916S_3198.jpg","02","69",,"38",,"1","163198","(281, 314), W:287, H:79","GigE 746041 / 1/500S / Gain 70 /"
