일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보,번호판밝기,전기차,전기차2,번호판밝기2,영상선택
,"미인식","20181220123139342","C:\Img\2018\12\20\123139342S_XXXX.jpg","01","0",,"33(55)","1","1",,,,,,,,
,"미인식","20181220123140817","C:\Img\2018\12\20\123140817S_XXXX.jpg","02","192",,"117(117)","1","1",,,,,,,,
,"미인식","20181220123422748","C:\Img\2018\12\20\123422748S_XXXX.jpg","01","527",,"131(131)","1","1",,,"GigE 1393756 / 1/1000S / Gain 70 /FR 52.0",,,,,"2"
,"미인식","20181220123423921","C:\Img\2018\12\20\123423921S_XXXX.jpg","02","456",,"115(115)","1","1",,,"GigE 1543846 / 1/4000S / Gain 70 /FR 52.0",,,,,"2"
,"미인식","20181220124626748","C:\Img\2018\12\20\124626748S_XXXX.jpg","01","513",,"77(40)","1","1",,,"GigE 1393756 / 1/2500S / Gain 70 /FR 52.0",,,,,"1"
,"미인식","20181220124959226","C:\Img\2018\12\20\124959226S_XXXX.jpg","01","595",,"43(42)","1","1",,,"GigE 1393756 / 1/2500S / Gain 70 /FR 52.0",,,,,"3"
,"미인식","20181220125006922","C:\Img\2018\12\20\125006922S_XXXX.jpg","02","557",,"62(53)","1","1",,,"GigE 1543846 / 1/5000S / Gain 70 /FR 52.0",,,,,"1"
,"34머6519","20181220125116274","C:\Img\2018\12\20\125116274S_6519.jpg","01","110",,"25(23)",,"1","346519","(315, 520), W:311, H:99","GigE 1393756 / 1/2500S / Gain 70 /FR 52.0","067(029/085)",,,"065(028/082)","1"
,"34머6519","20181220125121904","C:\Img\2018\12\20\125121904S_6519.jpg","02","92",,"30(30)",,"1","346519","(519, 234), W:323, H:93","GigE 1543846 / 1/5000S / Gain 70 /FR 52.0","106(044/135)",,,"100(042/128)","2"
,"45주8368","20181220131421789","C:\Img\2018\12\20\131421789S_8368.jpg","01","92",,"22(22)",,"1","458368","(333, 586), W:343, H:107","GigE 1393756 / 1/2000S / Gain 70 /FR 52.0","066(027/083)",,,"071(029/091)","2"
,"45주8368","20181220131426901","C:\Img\2018\12\20\131426901S_8368.jpg","02","70",,"37(37)",,"1","458368","(357, 352), W:327, H:93","GigE 1543846 / 1/4000S / Gain 70 /FR 52.0","084(038/109)",,,"107(046/139)","2"
,"92모2654","20181220131656819","C:\Img\2018\12\20\131656819S_2654.jpg","01","95",,"28(28)",,"1","922654","(91, 396), W:253, H:103","GigE 1393756 / 1/1500S / Gain 70 /FR 52.0","052(025/064)",,,"064(029/082)","2"
,"92모2654","20181220131702298","C:\Img\2018\12\20\131702298S_2654.jpg","02","84",,"41(41)",,"1","922654","(227, 210), W:351, H:105","GigE 1543846 / 1/3000S / Gain 70 /FR 52.0","089(037/116)",,,"098(041/127)","2"
,"25어2647","20181220132250130","C:\Img\2018\12\20\132250130S_2647.jpg","01","124",,"33(31)",,"1","252647","(459, 540), W:335, H:93","GigE 1393756 / 1/1500S / Gain 70 /FR 52.0","120(042/149)",,,"117(042/146)","1"
,"25어2647","20181220132255179","C:\Img\2018\12\20\132255179S_2647.jpg","02","199",,"56(56)",,"1","252647","(589, 338), W:303, H:89","GigE 1543846 / 1/2500S / Gain 70 /FR 52.0","132(059/167)",,,"149(063/188)","2"
,"18버5140","20181220132403351","C:\Img\2018\12\20\132403351S_5140.jpg","01","186",,"37(37)",,"1","185140","(387, 600), W:343, H:107","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","110(041/140)",,,"152(053/197)","2"
,"18버5140","20181220132408689","C:\Img\2018\12\20\132408689S_5140.jpg","02","83",,"55(55)",,"1","185140","(287, 358), W:333, H:95","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","147(054/193)",,,"161(061/207)","2"
,"26모1413","20181220132741867","C:\Img\2018\12\20\132741867S_1413.jpg","01","76",,"42(40)",,"1","261413","(489, 526), W:361, H:99","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","198(058/239)",,,"194(057/235)","1"
,"26모1413","20181220132747912","C:\Img\2018\12\20\132747912S_1413.jpg","02","72",,"60(60)",,"1","261413","(217, 246), W:295, H:111","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","179(067/229)",,,"170(066/218)","2"
,"09수2597","20181220132750581","C:\Img\2018\12\20\132750581S_2597.jpg","01","117",,"46(42)",,"1","092597","(103, 512), W:229, H:105","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","101(048/128)",,,"095(046/121)","1"
,"09수2597","20181220132755074","C:\Img\2018\12\20\132755074S_2597.jpg","02","130",,"58(58)",,"1","092597","(387, 344), W:321, H:95","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","177(072/227)",,,"169(068/214)","2"
,"34나4059","20181220133529060","C:\Img\2018\12\20\133529060S_4059.jpg","01","85",,"46(41)",,"1","344059","(343, 498), W:237, H:127","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","060(043/112)",,,"059(042/108)","1"
,"34나4059","20181220133533270","C:\Img\2018\12\20\133533270S_4059.jpg","02","82",,"65(65)",,"1","344059","(257, 293), W:247, H:120","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","133(089/240)",,,"125(083/231)","2"
,"27도9495","20181220133854799","C:\Img\2018\12\20\133854799S_9495.jpg","01","81",,"42(40)",,"1","279495","(399, 556), W:331, H:101","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","183(056/229)",,,"177(056/225)","1"
,"27도9495","20181220133901540","C:\Img\2018\12\20\133901540S_9495.jpg","02","82",,"60(60)",,"1","279495","(223, 358), W:343, H:99","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","210(087/251)",,,"209(086/251)","2"
,"39구9823","20181220133924913","C:\Img\2018\12\20\133924913S_9823.jpg","01","106",,"42(39)",,"1","399823","(127, 528), W:219, H:111","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","101(043/136)",,,"096(041/128)","1"
,"39구9823","20181220133930201","C:\Img\2018\12\20\133930201S_9823.jpg","02","60",,"51(51)",,"1","399823","(417, 384), W:329, H:97","GigE 1543846 / 1/2500S / Gain 70 /FR 52.0","196(074/249)",,,"189(069/245)","2"
,"86구3409","20181220134152724","C:\Img\2018\12\20\134152724S_3409.jpg","01","75",,"42(39)",,"1","863409","(437, 475), W:263, H:138","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","080(050/163)",,,"075(048/150)","1"
,"86구3409","20181220134158744","C:\Img\2018\12\20\134158744S_3409.jpg","02","121",,"55(55)",,"1","863409","(605, 361), W:215, H:118","GigE 1543846 / 1/2500S / Gain 70 /FR 52.0","069(048/127)",,,"076(053/138)","2"
,"32우1439","20181220134218023","C:\Img\2018\12\20\134218023S_1439.jpg","01","75",,"44(41)",,"1","321439","(235, 490), W:275, H:103","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","126(048/164)",,,"123(047/161)","1"
,"32우1439","20181220134223519","C:\Img\2018\12\20\134223519S_1439.jpg","02","79",,"53(53)",,"1","321439","(367, 480), W:325, H:105","GigE 1543846 / 1/2500S / Gain 70 /FR 52.0","177(066/242)",,,"185(072/247)","2"
,"64러0345","20181220134611119","C:\Img\2018\12\20\134611119S_0345.jpg","01","107",,"44(44)",,"1","640345","(361, 600), W:333, H:97","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","155(049/198)",,,"190(061/242)","2"
,"64러0345","20181220134616094","C:\Img\2018\12\20\134616094S_0345.jpg","02","103",,"52(52)",,"1","640345","(257, 362), W:323, H:97","GigE 1543846 / 1/2500S / Gain 70 /FR 52.0","128(049/172)",,,"131(064/184)","2"
,"14너5031","20181220134636365","C:\Img\2018\12\20\134636365S_5031.jpg","01","93",,"47(43)",,"1","145031","(193, 492), W:251, H:109","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","162(055/220)",,,"157(054/215)","1"
,"14너5031","20181220134642125","C:\Img\2018\12\20\134642125S_5031.jpg","02","185",,"52(52)",,"1","145031","(435, 308), W:317, H:93","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","164(051/212)",,,"191(060/246)","2"
,"84주4789","20181220134912805","C:\Img\2018\12\20\134912805S_4789.jpg","01","229",,"55(52)",,"1","844789","(245, 404), W:285, H:97","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","185(070/236)",,,"180(069/231)","1"
,"84주4789","20181220134918309","C:\Img\2018\12\20\134918309S_4789.jpg","02","158",,"55(55)",,"1","844789","(395, 570), W:249, H:117","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","150(069/184)",,,"145(068/178)","2"
,"69머9674","20181220135346731","C:\Img\2018\12\20\135346731S_9674.jpg","01","122",,"53(48)",,"1","699674","(135, 490), W:223, H:111","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","153(069/204)",,,"146(067/195)","1"
,"69머9674","20181220135351624","C:\Img\2018\12\20\135351624S_9674.jpg","02","210",,"53(53)",,"1","699674","(119, 334), W:349, H:107","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","161(060/212)",,,"143(054/185)","2"
,"70마4200","20181220135700171","C:\Img\2018\12\20\135700171S_4200.jpg","01","140",,"50(46)",,"1","704200","(267, 466), W:273, H:109","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","168(064/231)",,,"165(063/226)","1"
,"70마4200","20181220135706561","C:\Img\2018\12\20\135706561S_4200.jpg","02","85",,"67(67)",,"1","704200","(281, 348), W:325, H:101","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","142(048/196)",,,"174(059/237)","2"
,"60루7578","20181220135723045","C:\Img\2018\12\20\135723045S_7578.jpg","01","155",,"49(43)",,"1","607578","(195, 508), W:245, H:113","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","143(058/198)",,,"136(055/190)","1"
,"60루7578","20181220135728454","C:\Img\2018\12\20\135728454S_7578.jpg","02","98",,"61(61)",,"1","607578","(243, 354), W:343, H:107","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","186(064/249)",,,"184(063/246)","2"
,"미인식","20181220140023769","C:\Img\2018\12\20\140023769S_XXXX.jpg","01","250",,"42(47)","1","1",,,"GigE 1393756 / 1/700S / Gain 70 /FR 52.0","115(056/166)",,,,"3"
,"60우9008","20181220140029411","C:\Img\2018\12\20\140029411S_9008.jpg","02","225",,"61(61)",,"1","609008","(289, 362), W:331, H:103","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","181(064/248)",,,"178(064/245)","2"
,"91보7183","20181220140250790","C:\Img\2018\12\20\140250790S_7183.jpg","01","159",,"52(48)",,"1","917183","(177, 366), W:265, H:99","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","162(057/199)",,,"155(055/191)","1"
,"91보7183","20181220140259174","C:\Img\2018\12\20\140259174S_7183.jpg","02","103",,"55(55)",,"1","917183","(633, 224), W:305, H:97","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","200(069/244)",,,"201(069/245)","2"
,"58러2221","20181220140400737","C:\Img\2018\12\20\140400737S_2221.jpg","01","90",,"51(44)",,"1","582221","(299, 530), W:299, H:95","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","196(065/245)",,,"192(064/243)","1"
,"58러2221","20181220140407114","C:\Img\2018\12\20\140407114S_2221.jpg","02","90",,"63(63)",,"1","582221","(305, 362), W:319, H:101","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","194(068/249)",,,"194(069/249)","2"
,"11조7376","20181220140410548","C:\Img\2018\12\20\140410548S_7376.jpg","01","104",,"56(52)",,"1","117376","(409, 556), W:335, H:95","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","210(061/251)",,,"210(063/251)","1"
,"11조7376","20181220140417793","C:\Img\2018\12\20\140417793S_7376.jpg","02","91",,"59(59)",,"1","117376","(527, 322), W:313, H:95","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","207(074/251)",,,"207(073/251)","2"
,"19도5531","20181220140601041","C:\Img\2018\12\20\140601041S_5531.jpg","01","161",,"61(41)",,"1","195531","(315, 562), W:299, H:93","GigE 1393756 / 1/1000S / Gain 70 /FR 52.0","176(064/240)",,,"120(046/169)","1"
,"19도5531","20181220140606676","C:\Img\2018\12\20\140606676S_5531.jpg","02","116",,"62(55)",,"1","195531","(403, 350), W:323, H:101","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","210(092/250)",,,"188(077/235)","1"
,"10어9321","20181220140933110","C:\Img\2018\12\20\140933110S_9321.jpg","01","117",,"52(52)",,"1","109321","(371, 574), W:269, H:91","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","142(056/191)",,,"184(069/242)","2"
,"10어9321","20181220140938806","C:\Img\2018\12\20\140938806S_9321.jpg","02","164",,"52(52)",,"1","109321","(417, 308), W:287, H:105","GigE 1543846 / 1/2000S / Gain 70 /FR 52.0","151(075/190)",,,"149(075/186)","2"
,"61호7306","20181220140952857","C:\Img\2018\12\20\140952857S_7306.jpg","01","75",,"50(47)",,"1","617306","(449, 520), W:385, H:83","GigE 1393756 / 1/700S / Gain 70 /FR 52.0","200(060/251)",,,"200(061/251)","1"
,"61호7306","20181220140959747","C:\Img\2018\12\20\140959747S_7306.jpg","02","154",,"69(69)",,"1","617306","(383, 238), W:249, H:101","GigE 1543846 / 1/1500S / Gain 70 /FR 52.0","141(055/179)",,,"185(070/233)","2"
