일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"36도8138","20181001025831226","C:\Img\2018\10\01\025831226S_8138.jpg","01","48",,"9",,"1","368138","(463, 624), W:255, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"36도8138","20181001025835771","C:\Img\2018\10\01\025835771S_8138.jpg","02","69",,"48",,"1","368138","(479, 412), W:239, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"36누4793","20181001035329460","C:\Img\2018\10\01\035329460S_4793.jpg","01","38",,"10",,"1","364793","(313, 662), W:265, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"36누4793","20181001035333007","C:\Img\2018\10\01\035333007S_4793.jpg","02","65",,"50",,"1","364793","(575, 408), W:235, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"01서6900","20181001051636007","C:\Img\2018\10\01\051636007S_6900.jpg","01","56",,"12",,"1","016900","(151, 660), W:199, H:95","1200UM 14272071 / 1/1200S / Gain 300 /"
,"01서6900","20181001051640059","C:\Img\2018\10\01\051640059S_6900.jpg","02","40",,"51",,"1","016900","(545, 407), W:179, H:88","1200UM 14272118 / 1/1200S / Gain 400 /"
,"84고3369","20181001055105660","C:\Img\2018\10\01\055105660S_3369.jpg","01","64",,"12",,"1","843369","(155, 528), W:291, H:67","1200UM 14272071 / 1/1200S / Gain 300 /"
,"84고3369","20181001055111981","C:\Img\2018\10\01\055111981S_3369.jpg","02","78",,"47",,"1","843369","(505, 590), W:239, H:57","1200UM 14272118 / 1/1200S / Gain 400 /"
,"24가6433","20181001055241359","C:\Img\2018\10\01\055241359S_6433.jpg","01","49",,"8",,"1","246433","(389, 624), W:273, H:67","1200UM 14272071 / 1/1200S / Gain 300 /"
,"63거0739","20181001055246321","C:\Img\2018\10\01\055246321S_0739.jpg","01","33",,"8",,"1","630739","(371, 624), W:251, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"24가6433","20181001055246664","C:\Img\2018\10\01\055246664S_6433.jpg","02","42",,"53",,"1","246433","(439, 358), W:251, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"63거0739","20181001055251236","C:\Img\2018\10\01\055251236S_0739.jpg","02","58",,"45",,"1","630739","(471, 400), W:231, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"04호7118","20181001055826613","C:\Img\2018\10\01\055826613S_7118.jpg","01","51",,"8",,"1","047118","(181, 650), W:261, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"04호7118","20181001055831930","C:\Img\2018\10\01\055831930S_7118.jpg","02","53",,"49",,"1","047118","(545, 574), W:241, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"18러0321","20181001055838964","C:\Img\2018\10\01\055838964S_0321.jpg","01","31",,"9",,"1","180321","(361, 648), W:243, H:57","1200UM 14272071 / 1/1200S / Gain 300 /"
,"18러0321","20181001055842711","C:\Img\2018\10\01\055842711S_0321.jpg","02","49",,"54",,"1","180321","(491, 362), W:221, H:55","1200UM 14272118 / 1/1200S / Gain 400 /"
,"04호7115","20181001055858420","C:\Img\2018\10\01\055858420S_7115.jpg","01","50",,"8",,"1","047115","(203, 668), W:277, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"04호7115","20181001055902501","C:\Img\2018\10\01\055902501S_7115.jpg","02","57",,"49",,"1","047115","(641, 578), W:241, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"68하7342","20181001060558313","C:\Img\2018\10\01\060558313S_7342.jpg","01","54",,"9",,"1","687342","(245, 642), W:281, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"68하7342","20181001060601752","C:\Img\2018\10\01\060601752S_7342.jpg","02","58",,"48",,"1","687342","(541, 322), W:239, H:57","1200UM 14272118 / 1/1200S / Gain 400 /"
,"53하4022","20181001060656746","C:\Img\2018\10\01\060656746S_4022.jpg","01","49",,"8",,"1","534022","(195, 642), W:275, H:67","1200UM 14272071 / 1/1200S / Gain 300 /"
,"53하4020","20181001060702305","C:\Img\2018\10\01\060702305S_4020.jpg","02","45",,"49",,"1","534020","(497, 572), W:237, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"34노8081","20181001060717545","C:\Img\2018\10\01\060717545S_8081.jpg","01","38",,"9",,"1","348081","(17, 680), W:285, H:71","1200UM 14272071 / 1/1200S / Gain 300 /"
,"34노8081","20181001060722400","C:\Img\2018\10\01\060722400S_8081.jpg","02","66",,"48",,"1","348081","(505, 366), W:231, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"서울80배3975","20181001061016438","C:\Img\2018\10\01\061016438S_3975.jpg","01","76",,"10",,"1","803975","(123, 606), W:287, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"서울80바3975","20181001061022059","C:\Img\2018\10\01\061022059S_3975.jpg","02","100",,"57",,"1","803975","(533, 544), W:275, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"21가9075","20181001061355627","C:\Img\2018\10\01\061355627S_9075.jpg","01","34",,"9",,"1","219075","(339, 644), W:253, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"21구9075","20181001061359654","C:\Img\2018\10\01\061359654S_9075.jpg","02","56",,"48",,"1","219075","(493, 416), W:231, H:55","1200UM 14272118 / 1/1200S / Gain 400 /"
,"19부9703","20181001061602930","C:\Img\2018\10\01\061602930S_9703.jpg","01","64",,"9",,"1","199703","(239, 652), W:255, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"19부9703","20181001061607603","C:\Img\2018\10\01\061607603S_9703.jpg","02","38",,"46",,"1","199703","(561, 418), W:231, H:57","1200UM 14272118 / 1/1200S / Gain 400 /"
,"57하2635","20181001061755754","C:\Img\2018\10\01\061755754S_2635.jpg","01","49",,"8",,"1","572635","(187, 644), W:257, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"57하2635","20181001061801029","C:\Img\2018\10\01\061801029S_2635.jpg","02","55",,"49",,"1","572635","(517, 574), W:245, H:65","1200UM 14272118 / 1/1200S / Gain 400 /"
,"33소1268","20181001061836096","C:\Img\2018\10\01\061836096S_1268.jpg","01","51",,"9",,"1","331268","(291, 658), W:259, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"33소1268","20181001061840314","C:\Img\2018\10\01\061840314S_1268.jpg","02","47",,"45",,"1","331268","(475, 408), W:231, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"19저0741","20181001061846104","C:\Img\2018\10\01\061846104S_0741.jpg","01","40",,"8",,"1","190741","(73, 676), W:259, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"19저0741","20181001061850977","C:\Img\2018\10\01\061850977S_0741.jpg","02","80",,"49",,"1","190741","(515, 378), W:235, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"XXXX3284","20181001061903430","C:\Img\2018\10\01\061903430S_3284.jpg","01","88",,"10","1","1","3284","(303, 550), W:219, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"50로3284","20181001061908037","C:\Img\2018\10\01\061908037S_3284.jpg","02","64",,"50",,"1","503284","(497, 416), W:179, H:57","1200UM 14272118 / 1/1200S / Gain 400 /"
,"63머9719","20181001062312980","C:\Img\2018\10\01\062312980S_9719.jpg","01","58",,"8",,"1","639719","(233, 604), W:257, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"63머9719","20181001062317964","C:\Img\2018\10\01\062317964S_9719.jpg","02","51",,"50",,"1","639719","(477, 346), W:239, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"66호7206","20181001062716879","C:\Img\2018\10\01\062716879S_7206.jpg","01","42",,"9",,"1","667206","(141, 642), W:277, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"66호7206","20181001062720889","C:\Img\2018\10\01\062720889S_7206.jpg","02","57",,"47",,"1","667206","(481, 322), W:249, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"67하5651","20181001062720897","C:\Img\2018\10\01\062720897S_5651.jpg","01","46",,"9",,"1","675651","(313, 612), W:257, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"67하5651","20181001062724993","C:\Img\2018\10\01\062724993S_5651.jpg","02","65",,"47",,"1","675651","(471, 320), W:241, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"40더6118","20181001062736494","C:\Img\2018\10\01\062736494S_6118.jpg","01","38",,"8",,"1","406118","(221, 654), W:267, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"40더6118","20181001062742427","C:\Img\2018\10\01\062742427S_6118.jpg","02","43",,"51",,"1","406118","(403, 376), W:247, H:63","1200UM 14272118 / 1/1200S / Gain 400 /"
,"57하2637","20181001062809123","C:\Img\2018\10\01\062809123S_2637.jpg","01","51",,"8",,"1","572637","(299, 650), W:263, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"57하2637","20181001062812980","C:\Img\2018\10\01\062812980S_2637.jpg","02","61",,"49",,"1","572637","(547, 554), W:215, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"58라0604","20181001063017048","C:\Img\2018\10\01\063017048S_0604.jpg","01","59",,"9",,"1","580604","(315, 632), W:277, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"65하5475","20181001063020598","C:\Img\2018\10\01\063020598S_5475.jpg","01","47",,"8",,"1","655475","(69, 668), W:263, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"58라0604","20181001063022051","C:\Img\2018\10\01\063022051S_0604.jpg","02","61",,"52",,"1","580604","(453, 354), W:255, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"65하5475","20181001063025292","C:\Img\2018\10\01\063025292S_5475.jpg","02","69",,"52",,"1","655475","(585, 416), W:231, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"68하7381","20181001063029054","C:\Img\2018\10\01\063029054S_7381.jpg","01","42",,"8",,"1","687381","(159, 642), W:255, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"68하7381","20181001063034485","C:\Img\2018\10\01\063034485S_7381.jpg","02","62",,"45",,"1","687381","(551, 406), W:231, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"58하2021","20181001063102029","C:\Img\2018\10\01\063102029S_2021.jpg","01","51",,"8",,"1","582021","(225, 658), W:271, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"58하2021","20181001063106299","C:\Img\2018\10\01\063106299S_2021.jpg","02","43",,"47",,"1","582021","(521, 392), W:229, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"22우0642","20181001063247166","C:\Img\2018\10\01\063247166S_0642.jpg","01","56",,"9",,"1","220642","(233, 648), W:271, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"22우0642","20181001063251277","C:\Img\2018\10\01\063251277S_0642.jpg","02","57",,"45",,"1","220642","(531, 410), W:235, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"38어6112","20181001063510743","C:\Img\2018\10\01\063510743S_6112.jpg","01","53",,"9",,"1","386112","(153, 626), W:265, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"38다1671","20181001063516198","C:\Img\2018\10\01\063516198S_1671.jpg","02","77",,"48",,"1","381671","(629, 404), W:203, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"04호7121","20181001063547037","C:\Img\2018\10\01\063547037S_7121.jpg","01","45",,"8",,"1","047121","(187, 648), W:261, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"04호7121","20181001063555107","C:\Img\2018\10\01\063555107S_7121.jpg","02","44",,"51",,"1","047121","(549, 586), W:243, H:63","1200UM 14272118 / 1/1200S / Gain 400 /"
,"23루3919","20181001063840577","C:\Img\2018\10\01\063840577S_3919.jpg","01","48",,"10",,"1","233919","(325, 662), W:271, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"23루3919","20181001063843768","C:\Img\2018\10\01\063843768S_3919.jpg","02","70",,"46",,"1","233919","(481, 398), W:229, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"18로2263","20181001063952585","C:\Img\2018\10\01\063952585S_2263.jpg","01","46",,"10",,"1","182263","(75, 702), W:273, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"18로2263","20181001063956810","C:\Img\2018\10\01\063956810S_2263.jpg","02","36",,"46",,"1","182263","(665, 346), W:247, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"66호7207","20181001064057275","C:\Img\2018\10\01\064057275S_7207.jpg","01","60",,"9",,"1","667207","(261, 626), W:267, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"66호7207","20181001064101096","C:\Img\2018\10\01\064101096S_7207.jpg","02","52",,"47",,"1","667207","(467, 324), W:245, H:67","1200UM 14272118 / 1/1200S / Gain 400 /"
,"48어8772","20181001064106931","C:\Img\2018\10\01\064106931S_8772.jpg","01","60",,"9",,"1","488772","(261, 664), W:275, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"48어8772","20181001064110874","C:\Img\2018\10\01\064110874S_8772.jpg","02","48",,"46",,"1","488772","(541, 408), W:235, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"46러7682","20181001064127894","C:\Img\2018\10\01\064127894S_7682.jpg","01","73",,"10",,"1","467682","(241, 648), W:257, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"46러9682","20181001064132275","C:\Img\2018\10\01\064132275S_9682.jpg","02","49",,"48",,"1","469682","(543, 568), W:237, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"04호7120","20181001064345552","C:\Img\2018\10\01\064345552S_7120.jpg","01","51",,"8",,"1","047120","(359, 654), W:269, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"04호7120","20181001064349235","C:\Img\2018\10\01\064349235S_7120.jpg","02","61",,"50",,"1","047120","(547, 572), W:235, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"36고9461","20181001064521693","C:\Img\2018\10\01\064521693S_9461.jpg","01","43",,"9",,"1","369461","(237, 662), W:271, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"36고9461","20181001064525645","C:\Img\2018\10\01\064525645S_9461.jpg","02","54",,"54",,"1","369461","(507, 332), W:243, H:57","1200UM 14272118 / 1/1200S / Gain 400 /"
,"63호5108","20181001064528581","C:\Img\2018\10\01\064528581S_5108.jpg","01","59",,"9",,"1","635108","(265, 630), W:277, H:65","1200UM 14272071 / 1/1200S / Gain 300 /"
,"63호5108","20181001064532434","C:\Img\2018\10\01\064532434S_5108.jpg","02","64",,"50",,"1","635108","(541, 318), W:251, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"47두9947","20181001064548311","C:\Img\2018\10\01\064548311S_9947.jpg","01","47",,"9",,"1","479947","(213, 538), W:259, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"47두9947","20181001064555610","C:\Img\2018\10\01\064555610S_9947.jpg","02","48",,"48",,"1","479947","(415, 372), W:243, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"19라6870","20181001064619392","C:\Img\2018\10\01\064619392S_6870.jpg","01","54",,"9",,"1","196870","(173, 652), W:259, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"19라6870","20181001064624086","C:\Img\2018\10\01\064624086S_6870.jpg","02","47",,"47",,"1","196870","(625, 414), W:237, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"미인식","20181001064714076","C:\Img\2018\10\01\064714076S_XXXX.jpg","01","187",,"9","1","1",,,"1200UM 14272071 / 1/1200S / Gain 300 /"
,"48우6309","20181001064718917","C:\Img\2018\10\01\064718917S_6309.jpg","02","62",,"48",,"1","486309","(553, 386), W:241, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"09부0581","20181001064721093","C:\Img\2018\10\01\064721093S_0581.jpg","01","63",,"9",,"1","090581","(225, 686), W:257, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"09부0581","20181001064725565","C:\Img\2018\10\01\064725565S_0581.jpg","02","56",,"49",,"1","090581","(447, 398), W:225, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"미인식","20181001064748070","C:\Img\2018\10\01\064748070S_XXXX.jpg","01","147",,"9","1","1",,,"1200UM 14272071 / 1/1200S / Gain 300 /"
,"38노1803","20181001064753645","C:\Img\2018\10\01\064753645S_1803.jpg","02","105",,"48",,"1","381803","(495, 424), W:173, H:59","1200UM 14272118 / 1/1200S / Gain 400 /"
,"52우0259","20181001064836441","C:\Img\2018\10\01\064836441S_0259.jpg","01","56",,"8",,"1","520259","(309, 628), W:257, H:63","1200UM 14272071 / 1/1200S / Gain 300 /"
,"52우0259","20181001064841006","C:\Img\2018\10\01\064841006S_0259.jpg","02","45",,"46",,"1","520259","(525, 402), W:233, H:57","1200UM 14272118 / 1/1200S / Gain 400 /"
,"44하1862","20181001064901868","C:\Img\2018\10\01\064901868S_1862.jpg","01","58",,"8",,"1","441862","(177, 646), W:263, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"60도7712","20181001064905719","C:\Img\2018\10\01\064905719S_7712.jpg","01","48",,"8",,"1","607712","(319, 608), W:259, H:61","1200UM 14272071 / 1/1200S / Gain 300 /"
,"44하1862","20181001064907101","C:\Img\2018\10\01\064907101S_1862.jpg","02","53",,"50",,"1","441862","(583, 576), W:241, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"60도7712","20181001064910086","C:\Img\2018\10\01\064910086S_7712.jpg","02","59",,"47",,"1","607712","(515, 338), W:243, H:61","1200UM 14272118 / 1/1200S / Gain 400 /"
,"09마6249","20181001064914965","C:\Img\2018\10\01\064914965S_6249.jpg","01","56",,"9",,"1","096249","(157, 642), W:249, H:59","1200UM 14272071 / 1/1200S / Gain 300 /"
,"09마6249","20181001064920444","C:\Img\2018\10\01\064920444S_6249.jpg","02","124",,"46",,"1","096249","(493, 388), W:291, H:75","1200UM 14272118 / 1/1200S / Gain 400 /"
