일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"미인식","20180701022812009","C:\Img\2018\07\01\022812009S_XXXX.jpg","01","198",,"19","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"미인식","20180701023008358","C:\Img\2018\07\01\023008358S_XXXX.jpg","01","246",,"21","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"미인식","20180701023159399","C:\Img\2018\07\01\023159399S_XXXX.jpg","01","168",,"18","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"미인식","20180701023345927","C:\Img\2018\07\01\023345927S_XXXX.jpg","01","318",,"21","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"미인식","20180701023622187","C:\Img\2018\07\01\023622187S_XXXX.jpg","01","337",,"18","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"미인식","20180701055300086","C:\Img\2018\07\01\055300086S_XXXX.jpg","01","267",,"17","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"미인식","20180701060727941","C:\Img\2018\07\01\060727941S_XXXX.jpg","01","335",,"15","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"33도2041","20180701071854298","C:\Img\2018\07\01\071854298S_2041.jpg","01","64",,"21",,"1","332041","(749, 700), W:263, H:71","GigE 16511446 / 1/3000S / Gain 100 /"
,"미인식","20180701073752617","C:\Img\2018\07\01\073752617S_XXXX.jpg","01","177",,"16","1","1",,,"GigE 16511446 / 1/2500S / Gain 100 /"
,"미인식","20180701074057243","C:\Img\2018\07\01\074057243S_XXXX.jpg","01","158",,"20","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"77머7111","20180701075815622","C:\Img\2018\07\01\075815622S_7111.jpg","01","274",,"18",,"1","777111","(267, 194), W:175, H:61","GigE 16511446 / 1/2000S / Gain 100 /"
,"미인식","20180701081109854","C:\Img\2018\07\01\081109854S_XXXX.jpg","01","207",,"17","1","1",,,"GigE 16511446 / 1/2000S / Gain 100 /"
,"86더1718","20180701084313771","C:\Img\2018\07\01\084313771S_1718.jpg","01","97",,"22",,"1","861718","(571, 650), W:227, H:63","GigE 16511446 / 1/2000S / Gain 100 /"
