일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"27소5639","20180801000115857","C:\Img\2018\08\01\000115857S_5639.jpg","02","101",,"45",,"0","275639","(355, 370), W:285, H:71","GigE 600940 / 1/1000S / Gain 70 /"
,"27소5639","20180801000115879","C:\Img\2018\08\01\000115879S_5639.jpg","01","81",,"46",,"1","275639","(345, 452), W:153, H:81","GigE 532049 / 1/1000S / Gain 70 /"
,"34머7931","20180801073205453","C:\Img\2018\08\01\073205453S_7931.jpg","02","261",,"144",,"0","347931","(563, 342), W:287, H:71","GigE 600940 / 1/1500S / Gain 70 /"
,"34머7931","20180801073205433","C:\Img\2018\08\01\073205433S_7931.jpg","01","126",,"116",,"1","347931","(453, 450), W:205, H:81","GigE 532049 / 1/1500S / Gain 70 /"
,"11부9010","20180801074141086","C:\Img\2018\08\01\074141086S_9010.jpg","02","166",,"81",,"0","119010","(517, 380), W:303, H:79","GigE 600940 / 1/3000S / Gain 70 /"
,"11부9010","20180801074141108","C:\Img\2018\08\01\074141108S_9010.jpg","01","68",,"58",,"1","119010","(343, 462), W:211, H:81","GigE 532049 / 1/2000S / Gain 70 /"
,"53너7986","20180801075218262","C:\Img\2018\08\01\075218262S_7986.jpg","02","154",,"52",,"0","537986","(429, 396), W:301, H:75","GigE 600940 / 1/4000S / Gain 70 /"
,"53너7986","20180801075218284","C:\Img\2018\08\01\075218284S_7986.jpg","01","91",,"59",,"1","537986","(307, 458), W:163, H:91","GigE 532049 / 1/2000S / Gain 70 /"
,"33구8953","20180801083730853","C:\Img\2018\08\01\083730853S_8953.jpg","02","102",,"121",,"0","338953","(313, 362), W:273, H:75","GigE 600940 / 1/3000S / Gain 70 /"
,"33구8953","20180801083730875","C:\Img\2018\08\01\083730875S_8953.jpg","01","102",,"83",,"1","338953",,"GigE 532049 / 1/2000S / Gain 70 /"
,"19러7658","20180801084249780","C:\Img\2018\08\01\084249780S_7658.jpg","02","101",,"122",,"0","197658","(259, 386), W:271, H:85","GigE 600940 / 1/4000S / Gain 70 /"
,"19러7658","20180801084249802","C:\Img\2018\08\01\084249802S_7658.jpg","01","101",,"80",,"1","197658",,"GigE 532049 / 1/2500S / Gain 70 /"
,"36우1077","20180801084352322","C:\Img\2018\08\01\084352322S_1077.jpg","02","98",,"113",,"0","361077","(933, 256), W:229, H:109","GigE 600940 / 1/5000S / Gain 70 /"
,"36우1077","20180801084352344","C:\Img\2018\08\01\084352344S_1077.jpg","01","99",,"82",,"1","361077","(757, 454), W:285, H:65","GigE 532049 / 1/3000S / Gain 70 /"
,"48보6872","20180801085136795","C:\Img\2018\08\01\085136795S_6872.jpg","02","83",,"104",,"0","486872","(251, 376), W:269, H:81","GigE 600940 / 1/6000S / Gain 70 /"
,"48보6872","20180801085136817","C:\Img\2018\08\01\085136817S_6872.jpg","01","83",,"68",,"1","486872",,"GigE 532049 / 1/4000S / Gain 70 /"
,"48너6172","20180801085629212","C:\Img\2018\08\01\085629212S_6172.jpg","02","109",,"78",,"0","486172","(871, 318), W:231, H:111","GigE 600940 / 1/9000S / Gain 70 /"
,"48너6172","20180801085629234","C:\Img\2018\08\01\085629234S_6172.jpg","01","149",,"37",,"1","486172","(623, 516), W:293, H:69","GigE 532049 / 1/5000S / Gain 70 /"
,"29너8844","20180801090019795","C:\Img\2018\08\01\090019795S_8844.jpg","02","192",,"82",,"0","298844","(791, 300), W:247, H:107","GigE 600940 / 1/9000S / Gain 70 /"
,"29너8844","20180801090019816","C:\Img\2018\08\01\090019816S_8844.jpg","01","134",,"50",,"1","298844","(565, 492), W:283, H:67","GigE 532049 / 1/4000S / Gain 70 /"
,"39두2626","20180801092520604","C:\Img\2018\08\01\092520604S_2626.jpg","02","198",,"107",,"0","392626","(795, 280), W:249, H:103","GigE 600940 / 1/9000S / Gain 70 /"
,"39두2626","20180801092520626","C:\Img\2018\08\01\092520626S_2626.jpg","01","93",,"81",,"1","392626","(667, 462), W:269, H:65","GigE 532049 / 1/4000S / Gain 70 /"
,"13구1412","20180801093112993","C:\Img\2018\08\01\093112993S_1412.jpg","02","104",,"96",,"0","131412","(419, 344), W:281, H:71","GigE 600940 / 1/9000S / Gain 70 /"
,"13구1412","20180801093113015","C:\Img\2018\08\01\093113015S_1412.jpg","01","151",,"44","5","1","131412","(359, 450), W:153, H:81","GigE 532049 / 1/5000S / Gain 70 /"
,"07소1450","20180801094556890","C:\Img\2018\08\01\094556890S_1450.jpg","02","207",,"123",,"0","071450","(965, 346), W:189, H:95","GigE 600940 / 1/9000S / Gain 70 /"
,"07소1450","20180801094556912","C:\Img\2018\08\01\094556912S_1450.jpg","01","181",,"56",,"1","071450","(723, 518), W:223, H:71","GigE 532049 / 1/5000S / Gain 70 /"
,"65러8108","20180801103217563","C:\Img\2018\08\01\103217563S_8108.jpg","02","167",,"115",,"0","658108","(301, 328), W:203, H:93","GigE 600940 / 1/9000S / Gain 70 /"
,"65러8108","20180801103217585","C:\Img\2018\08\01\103217585S_8108.jpg","01","167",,"98",,"1","658108",,"GigE 532049 / 1/5000S / Gain 70 /"
,"13구3042","20180801121726418","C:\Img\2018\08\01\121726418S_3042.jpg","02","115",,"29",,"0","133042","(159, 340), W:259, H:81","GigE 600940 / 1/9000S / Gain 70 /"
,"13구3042","20180801121726440","C:\Img\2018\08\01\121726440S_3042.jpg","01","115",,"28",,"1","133042",,"GigE 532049 / 1/6000S / Gain 70 /"
,"65저4176","20180801123828580","C:\Img\2018\08\01\123828580S_4176.jpg","02","73",,"22",,"0","654176","(831, 194), W:247, H:87","GigE 600940 / 1/6000S / Gain 70 /"
,"65저4176","20180801123828560","C:\Img\2018\08\01\123828560S_4176.jpg","01","50",,"21",,"1","654176","(649, 352), W:283, H:63","GigE 532049 / 1/5000S / Gain 70 /"
,"미인식","20180801124715227","C:\Img\2018\08\01\124715227S_XXXX.jpg","02","361",,"31","1","0",,,"GigE 600940 / 1/5000S / Gain 70 /"
,"미인식","20180801124715207","C:\Img\2018\08\01\124715207S_XXXX.jpg","01","488",,"29","1","1",,,"GigE 532049 / 1/4000S / Gain 70 /"
,"62누6116","20180801135552269","C:\Img\2018\08\01\135552269S_6116.jpg","02","68",,"31",,"0","626116","(213, 426), W:275, H:75","GigE 600940 / 1/4000S / Gain 70 /"
,"62누6116","20180801135552291","C:\Img\2018\08\01\135552291S_6116.jpg","01","68",,"28",,"1","626116",,"GigE 532049 / 1/3000S / Gain 70 /"
,"미인식","20180801144018259","C:\Img\2018\08\01\144018259S_XXXX.jpg","02","407",,"82","1","0",,,"GigE 600940 / 1/3000S / Gain 70 /"
,"미인식","20180801144018281","C:\Img\2018\08\01\144018281S_XXXX.jpg","01","196",,"134","1","1",,,"GigE 532049 / 1/2500S / Gain 70 /"
,"34머7931","20180801145708483","C:\Img\2018\08\01\145708483S_7931.jpg","02","51",,"36",,"0","347931","(457, 358), W:287, H:69","GigE 600940 / 1/4000S / Gain 70 /"
,"34머7931","20180801145708505","C:\Img\2018\08\01\145708505S_7931.jpg","01","86",,"31",,"1","347931","(387, 446), W:173, H:85","GigE 532049 / 1/5000S / Gain 70 /"
,"86로6142","20180801154623037","C:\Img\2018\08\01\154623037S_6142.jpg","02","92",,"28",,"0","866142","(377, 326), W:291, H:75","GigE 600940 / 1/3000S / Gain 70 /"
,"86로6142","20180801154623017","C:\Img\2018\08\01\154623017S_6142.jpg","01","92",,"20",,"1","866142",,"GigE 532049 / 1/4000S / Gain 70 /"
,"미인식","20180801183452340","C:\Img\2018\08\01\183452340S_XXXX.jpg","02","209",,"20","1","0",,,"GigE 600940 / 1/2500S / Gain 70 /"
,"미인식","20180801183452320","C:\Img\2018\08\01\183452320S_XXXX.jpg","01","240",,"27","1","1",,,"GigE 532049 / 1/3000S / Gain 70 /"
