일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"67도9850","20181201175757251","C:\Img\2018\12\01\175757251S_9850.jpg","01","65",,"17",,"1","679850","(605, 572), W:249, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"37호7599","20181201175804206","C:\Img\2018\12\01\175804206S_7599.jpg","01","65",,"17",,"1","377599","(647, 594), W:257, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"18소5723","20181201175810689","C:\Img\2018\12\01\175810689S_5723.jpg","01","62",,"17",,"1","185723","(633, 636), W:247, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"58라9198","20181201175817798","C:\Img\2018\12\01\175817798S_9198.jpg","01","70",,"17",,"1","589198","(663, 612), W:257, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"65러6252","20181201175823713","C:\Img\2018\12\01\175823713S_6252.jpg","01","76",,"17",,"1","656252","(611, 618), W:195, H:65","GigE 16511072 / 1/500S / Gain 100 /"
,"48나5414","20181201175830384","C:\Img\2018\12\01\175830384S_5414.jpg","01","81",,"17",,"1","485414","(585, 592), W:245, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"37어9397","20181201175835640","C:\Img\2018\12\01\175835640S_9397.jpg","01","101",,"18",,"1","379397","(541, 632), W:245, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"49하4798","20181201175841197","C:\Img\2018\12\01\175841197S_4798.jpg","01","84",,"17",,"1","494798","(743, 586), W:261, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"08수4603","20181201175847209","C:\Img\2018\12\01\175847209S_4603.jpg","01","65",,"17",,"1","084603","(637, 556), W:259, H:65","GigE 16511072 / 1/500S / Gain 100 /"
,"12수0587","20181201175854837","C:\Img\2018\12\01\175854837S_0587.jpg","01","95",,"17",,"1","120587","(565, 542), W:245, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"05거3539","20181201175901379","C:\Img\2018\12\01\175901379S_3539.jpg","01","60",,"17",,"1","053539","(565, 560), W:249, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"54보8953","20181201175908068","C:\Img\2018\12\01\175908068S_8953.jpg","01","92",,"17",,"1","548953","(537, 600), W:245, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"52어4061","20181201175915186","C:\Img\2018\12\01\175915186S_4061.jpg","01","75",,"17",,"1","524061","(615, 570), W:245, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"53고3385","20181201175921829","C:\Img\2018\12\01\175921829S_3385.jpg","01","78",,"17",,"1","533385","(627, 592), W:257, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"17오2303","20181201175930086","C:\Img\2018\12\01\175930086S_2303.jpg","01","63",,"17",,"1","172303","(713, 574), W:251, H:61","GigE 16511072 / 1/500S / Gain 100 /"
,"14허5641","20181201175959889","C:\Img\2018\12\01\175959889S_5641.jpg","01","74",,"17",,"1","145641","(755, 556), W:249, H:63","GigE 16511072 / 1/500S / Gain 100 /"
,"91도0852","20181201180136867","C:\Img\2018\12\01\180136867S_0852.jpg","01","67",,"17",,"1","910852","(633, 614), W:261, H:65","GigE 16511072 / 1/500S / Gain 100 /"
