일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"36거5009","20181201064453857","C:\Img\2018\12\01\064453857S_5009.jpg","01","45",,"38",,"1","365009","(533, 521), W:225, H:120","GigE 15205076 / 1/2000S / Gain 130 /"
,"18저9605","20181201064729102","C:\Img\2018\12\01\064729102S_9605.jpg","01","100",,"32",,"1","189605","(187, 604), W:291, H:91","GigE 15205076 / 1/2000S / Gain 130 /"
,"15라8435","20181201082752710","C:\Img\2018\12\01\082752710S_8435.jpg","01","61",,"40",,"1","158435","(463, 496), W:287, H:71","GigE 15205076 / 1/2000S / Gain 130 /"
,"28무7895","20181201083525443","C:\Img\2018\12\01\083525443S_7895.jpg","01","65",,"36",,"1","287895","(449, 572), W:303, H:79","GigE 15205076 / 1/2000S / Gain 130 /"
,"13주5088","20181201085335853","C:\Img\2018\12\01\085335853S_5088.jpg","01","46",,"40",,"1","135088","(483, 518), W:293, H:75","GigE 15205076 / 1/2000S / Gain 130 /"
,"12어0481","20181201090535838","C:\Img\2018\12\01\090535838S_0481.jpg","01","77",,"36",,"1","120481","(515, 518), W:271, H:75","GigE 15205076 / 1/2000S / Gain 130 /"
,"49주5462","20181201093553067","C:\Img\2018\12\01\093553067S_5462.jpg","01","65",,"36",,"1","495462","(537, 500), W:301, H:75","GigE 15205076 / 1/2000S / Gain 130 /"
,"43로5632","20181201094418984","C:\Img\2018\12\01\094418984S_5632.jpg","01","52",,"36",,"1","435632","(449, 568), W:303, H:77","GigE 15205076 / 1/2000S / Gain 130 /"
,"13러5056","20181201095056534","C:\Img\2018\12\01\095056534S_5056.jpg","01","48",,"38",,"1","135056","(495, 472), W:287, H:75","GigE 15205076 / 1/2000S / Gain 130 /"
,"20노3378","20181201095659838","C:\Img\2018\12\01\095659838S_3378.jpg","01","78",,"39",,"1","203378","(537, 522), W:303, H:77","GigE 15205076 / 1/2000S / Gain 130 /"
,"35고6520","20181201095714950","C:\Img\2018\12\01\095714950S_6520.jpg","01","52",,"38",,"1","356520","(351, 482), W:283, H:71","GigE 15205076 / 1/2000S / Gain 130 /"
,"07라7781","20181201095729942","C:\Img\2018\12\01\095729942S_7781.jpg","01","59",,"38",,"1","077781","(507, 523), W:207, H:114","GigE 15205076 / 1/2000S / Gain 130 /"
,"58오9065","20181201095828601","C:\Img\2018\12\01\095828601S_9065.jpg","01","57",,"36",,"1","589065","(393, 530), W:287, H:77","GigE 15205076 / 1/2000S / Gain 130 /"
,"20서6557","20181201100026874","C:\Img\2018\12\01\100026874S_6557.jpg","01","67",,"36",,"1","206557","(305, 536), W:293, H:75","GigE 15205076 / 1/2000S / Gain 130 /"
,"45어7213","20181201100423281","C:\Img\2018\12\01\100423281S_7213.jpg","01","75",,"36",,"1","457213","(469, 494), W:283, H:73","GigE 15205076 / 1/2000S / Gain 130 /"
,"12소8820","20181201100628695","C:\Img\2018\12\01\100628695S_8820.jpg","01","76",,"39",,"1","128820","(565, 482), W:285, H:73","GigE 15205076 / 1/2000S / Gain 130 /"
,"04고9143","20181201101302494","C:\Img\2018\12\01\101302494S_9143.jpg","01","47",,"36",,"1","049143","(439, 557), W:225, H:118","GigE 15205076 / 1/2000S / Gain 130 /"
,"39나3415","20181201102020041","C:\Img\2018\12\01\102020041S_3415.jpg","01","64",,"37",,"1","393415","(265, 545), W:229, H:124","GigE 15205076 / 1/2000S / Gain 130 /"
,"31오0692","20181201102707320","C:\Img\2018\12\01\102707320S_0692.jpg","01","69",,"38",,"1","310692","(457, 558), W:301, H:79","GigE 15205076 / 1/2000S / Gain 130 /"
,"39하2098","20181201102803541","C:\Img\2018\12\01\102803541S_2098.jpg","01","75",,"36",,"1","392098","(331, 530), W:289, H:73","GigE 15205076 / 1/2000S / Gain 130 /"
,"46하3344","20181201103153809","C:\Img\2018\12\01\103153809S_3344.jpg","01","63",,"37",,"1","463344","(375, 514), W:295, H:79","GigE 15205076 / 1/2000S / Gain 130 /"
,"31마7504","20181201104131643","C:\Img\2018\12\01\104131643S_7504.jpg","01","52",,"36",,"1","317504","(353, 387), W:227, H:124","GigE 15205076 / 1/2000S / Gain 130 /"
,"49하6090","20181201104616935","C:\Img\2018\12\01\104616935S_6090.jpg","01","49",,"36",,"1","496090","(527, 594), W:281, H:77","GigE 15205076 / 1/2000S / Gain 130 /"
,"48나5346","20181201104806296","C:\Img\2018\12\01\104806296S_5346.jpg","01","53",,"36",,"1","485346","(457, 550), W:287, H:75","GigE 15205076 / 1/2000S / Gain 130 /"
,"24가7953","20181201105358735","C:\Img\2018\12\01\105358735S_7953.jpg","01","55",,"35",,"1","247953","(465, 492), W:285, H:73","GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201105429978","C:\Img\2018\12\01\105429978S_XXXX.jpg","01","78",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201110005827","C:\Img\2018\12\01\110005827S_XXXX.jpg","01","106",,"44","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201110322732","C:\Img\2018\12\01\110322732S_XXXX.jpg","01","82",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201112950546","C:\Img\2018\12\01\112950546S_XXXX.jpg","01","90",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201113340712","C:\Img\2018\12\01\113340712S_XXXX.jpg","01","85",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201113724231","C:\Img\2018\12\01\113724231S_XXXX.jpg","01","95",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"52나1257","20181201114106149","C:\Img\2018\12\01\114106149S_1257.jpg","01","58",,"37",,"1","521257","(545, 519), W:223, H:122","GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201114136917","C:\Img\2018\12\01\114136917S_XXXX.jpg","01","117",,"44","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201114255109","C:\Img\2018\12\01\114255109S_XXXX.jpg","01","72",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201114756435","C:\Img\2018\12\01\114756435S_XXXX.jpg","01","66",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201114826725","C:\Img\2018\12\01\114826725S_XXXX.jpg","01","84",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201115050363","C:\Img\2018\12\01\115050363S_XXXX.jpg","01","139",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201115628297","C:\Img\2018\12\01\115628297S_XXXX.jpg","01","194",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201120716439","C:\Img\2018\12\01\120716439S_XXXX.jpg","01","79",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201122054314","C:\Img\2018\12\01\122054314S_XXXX.jpg","01","93",,"35","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201122645421","C:\Img\2018\12\01\122645421S_XXXX.jpg","01","83",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201122858039","C:\Img\2018\12\01\122858039S_XXXX.jpg","01","158",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201123106630","C:\Img\2018\12\01\123106630S_XXXX.jpg","01","94",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201123622639","C:\Img\2018\12\01\123622639S_XXXX.jpg","01","116",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201124433365","C:\Img\2018\12\01\124433365S_XXXX.jpg","01","97",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201124715008","C:\Img\2018\12\01\124715008S_XXXX.jpg","01","137",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201124743981","C:\Img\2018\12\01\124743981S_XXXX.jpg","01","132",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201125508504","C:\Img\2018\12\01\125508504S_XXXX.jpg","01","148",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201125831652","C:\Img\2018\12\01\125831652S_XXXX.jpg","01","91",,"39","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201125949570","C:\Img\2018\12\01\125949570S_XXXX.jpg","01","99",,"41","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201130054204","C:\Img\2018\12\01\130054204S_XXXX.jpg","01","98",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201130157345","C:\Img\2018\12\01\130157345S_XXXX.jpg","01","75",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201130257925","C:\Img\2018\12\01\130257925S_XXXX.jpg","01","69",,"39","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201130338484","C:\Img\2018\12\01\130338484S_XXXX.jpg","01","77",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201130550456","C:\Img\2018\12\01\130550456S_XXXX.jpg","01","139",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201130656607","C:\Img\2018\12\01\130656607S_XXXX.jpg","01","96",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201130923478","C:\Img\2018\12\01\130923478S_XXXX.jpg","01","101",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201131504678","C:\Img\2018\12\01\131504678S_XXXX.jpg","01","99",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201133530679","C:\Img\2018\12\01\133530679S_XXXX.jpg","01","98",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201134524546","C:\Img\2018\12\01\134524546S_XXXX.jpg","01","125",,"27","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201135423543","C:\Img\2018\12\01\135423543S_XXXX.jpg","01","1399",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201141809780","C:\Img\2018\12\01\141809780S_XXXX.jpg","01","84",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201142143000","C:\Img\2018\12\01\142143000S_XXXX.jpg","01","182",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201142347246","C:\Img\2018\12\01\142347246S_XXXX.jpg","01","132",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"52나1257","20181201142952278","C:\Img\2018\12\01\142952278S_1257.jpg","01","54",,"37",,"1","521257","(421, 574), W:229, H:127","GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201143541599","C:\Img\2018\12\01\143541599S_XXXX.jpg","01","85",,"39","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"57고9754","20181201145402045","C:\Img\2018\12\01\145402045S_9754.jpg","01","78",,"37",,"1","579754","(347, 578), W:307, H:79","GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201150955525","C:\Img\2018\12\01\150955525S_XXXX.jpg","01","142",,"40","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201151546324","C:\Img\2018\12\01\151546324S_XXXX.jpg","01","84",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201151859996","C:\Img\2018\12\01\151859996S_XXXX.jpg","01","128",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201152154207","C:\Img\2018\12\01\152154207S_XXXX.jpg","01","162",,"45","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201153355872","C:\Img\2018\12\01\153355872S_XXXX.jpg","01","126",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201154145392","C:\Img\2018\12\01\154145392S_XXXX.jpg","01","81",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201155652732","C:\Img\2018\12\01\155652732S_XXXX.jpg","01","158",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201161055459","C:\Img\2018\12\01\161055459S_XXXX.jpg","01","128",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201162635664","C:\Img\2018\12\01\162635664S_XXXX.jpg","01","118",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201164831833","C:\Img\2018\12\01\164831833S_XXXX.jpg","01","162",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201170251240","C:\Img\2018\12\01\170251240S_XXXX.jpg","01","90",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201170557301","C:\Img\2018\12\01\170557301S_XXXX.jpg","01","82",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201170736382","C:\Img\2018\12\01\170736382S_XXXX.jpg","01","99",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201171115900","C:\Img\2018\12\01\171115900S_XXXX.jpg","01","118",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201173112382","C:\Img\2018\12\01\173112382S_XXXX.jpg","01","86",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"70오1779","20181201173413515","C:\Img\2018\12\01\173413515S_1779.jpg","01","45",,"37",,"1","701779","(441, 504), W:215, H:119","GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201175528619","C:\Img\2018\12\01\175528619S_XXXX.jpg","01","113",,"47","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201211230729","C:\Img\2018\12\01\211230729S_XXXX.jpg","01","134",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201222106109","C:\Img\2018\12\01\222106109S_XXXX.jpg","01","91",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181201233241091","C:\Img\2018\12\01\233241091S_XXXX.jpg","01","132",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202063324161","C:\Img\2018\12\02\063324161S_XXXX.jpg","01","122",,"49","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202064809999","C:\Img\2018\12\02\064809999S_XXXX.jpg","01","91",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202070059183","C:\Img\2018\12\02\070059183S_XXXX.jpg","01","165",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202071011551","C:\Img\2018\12\02\071011551S_XXXX.jpg","01","82",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202071807915","C:\Img\2018\12\02\071807915S_XXXX.jpg","01","141",,"37","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202072459618","C:\Img\2018\12\02\072459618S_XXXX.jpg","01","96",,"38","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202081206023","C:\Img\2018\12\02\081206023S_XXXX.jpg","01","95",,"36","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"미인식","20181202085116266","C:\Img\2018\12\02\085116266S_XXXX.jpg","01","112",,"39","1","1",,,"GigE 15205076 / 1/2000S / Gain 130 /"
,"06가1203","20181202094631004","C:\Img\2018\12\02\094631004S_1203.jpg","01","57",,"37",,"1","061203","(345, 438), W:237, H:131","GigE 15205076 / 1/2000S / Gain 130 /"
