일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"48서8649","20180701004222435","C:\Img\2018\07\01\004222435S_8649.jpg","01","67",,"41",,"1","488649","(695, 380), W:193, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"59버0910","20180701010816008","C:\Img\2018\07\01\010816008S_0910.jpg","01","62",,"43",,"1","590910","(607, 338), W:247, H:69","GigE 14354138 / 1/1500S / Gain 130 /"
,"68보6355","20180701011505362","C:\Img\2018\07\01\011505362S_6355.jpg","01","65",,"43",,"1","686355","(581, 334), W:221, H:69","GigE 14354138 / 1/1500S / Gain 130 /"
,"66호1872","20180701022235977","C:\Img\2018\07\01\022235977S_1872.jpg","01","61",,"42",,"1","661872","(627, 352), W:251, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"01너7646","20180701023534643","C:\Img\2018\07\01\023534643S_7646.jpg","01","55",,"40",,"1","017646","(631, 328), W:255, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"50루3843","20180701030319261","C:\Img\2018\07\01\030319261S_3843.jpg","01","66",,"43",,"1","503843","(711, 340), W:273, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"부산36바4260","20180701032633828","C:\Img\2018\07\01\032633828S_4260.jpg","01","74",,"42",,"1","364260","(644, 322), W:302, H:77","GigE 14354138 / 1/1500S / Gain 130 /"
,"부산37바1202","20180701032853431","C:\Img\2018\07\01\032853431S_1202.jpg","01","66",,"45",,"1","371202","(528, 348), W:242, H:75","GigE 14354138 / 1/1500S / Gain 130 /"
,"37다4234","20180701035600071","C:\Img\2018\07\01\035600071S_4234.jpg","01","75",,"41",,"1","374234","(621, 314), W:245, H:67","GigE 14354138 / 1/1500S / Gain 130 /"
,"11조5339","20180701040745227","C:\Img\2018\07\01\040745227S_5339.jpg","01","72",,"44",,"1","115339","(541, 400), W:247, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"05버4790","20180701041618576","C:\Img\2018\07\01\041618576S_4790.jpg","01","61",,"42",,"1","054790","(591, 384), W:193, H:113","GigE 14354138 / 1/1500S / Gain 130 /"
,"48다1205","20180701042320420","C:\Img\2018\07\01\042320420S_1205.jpg","01","58",,"42",,"1","481205","(621, 286), W:253, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"16주9000","20180701042919201","C:\Img\2018\07\01\042919201S_9000.jpg","01","79",,"41",,"1","169000","(443, 360), W:229, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"51버9554","20180701044011537","C:\Img\2018\07\01\044011537S_9554.jpg","01","70",,"42",,"1","519554","(485, 378), W:253, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"35보2907","20180701045038813","C:\Img\2018\07\01\045038813S_2907.jpg","01","71",,"40",,"1","352907","(715, 282), W:255, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"33주7752","20180701045101511","C:\Img\2018\07\01\045101511S_7752.jpg","01","59",,"43",,"1","337752","(577, 352), W:251, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"12로7456","20180701045933895","C:\Img\2018\07\01\045933895S_7456.jpg","01","69",,"42",,"1","127456","(569, 378), W:257, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"38누6258","20180701050519612","C:\Img\2018\07\01\050519612S_6258.jpg","01","81",,"40",,"1","386258","(503, 298), W:233, H:69","GigE 14354138 / 1/1500S / Gain 130 /"
,"04나9167","20180701050959614","C:\Img\2018\07\01\050959614S_9167.jpg","01","53",,"41",,"1","049167","(553, 382), W:169, H:105","GigE 14354138 / 1/1500S / Gain 130 /"
,"32보0311","20180701051045676","C:\Img\2018\07\01\051045676S_0311.jpg","01","71",,"39",,"1","320311","(419, 386), W:239, H:67","GigE 14354138 / 1/1500S / Gain 130 /"
,"25마5664","20180701051301118","C:\Img\2018\07\01\051301118S_5664.jpg","01","75",,"43",,"1","255664","(369, 372), W:223, H:75","GigE 14354138 / 1/1500S / Gain 130 /"
,"부산36바6462","20180701052227214","C:\Img\2018\07\01\052227214S_6462.jpg","01","84",,"42",,"1","366462","(582, 350), W:280, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"43구0828","20180701052520980","C:\Img\2018\07\01\052520980S_0828.jpg","01","60",,"43",,"1","430828","(565, 336), W:237, H:69","GigE 14354138 / 1/1500S / Gain 130 /"
,"68도6076","20180701053729133","C:\Img\2018\07\01\053729133S_6076.jpg","01","57",,"42",,"1","686076","(643, 308), W:255, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"25고5614","20180701053924578","C:\Img\2018\07\01\053924578S_5614.jpg","01","60",,"44",,"1","255614","(573, 308), W:253, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"26소0254","20180701054509841","C:\Img\2018\07\01\054509841S_0254.jpg","01","56",,"39",,"1","260254","(427, 382), W:249, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"39어7369","20180701055133511","C:\Img\2018\07\01\055133511S_7369.jpg","01","53",,"40",,"1","397369","(651, 340), W:261, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"18마3076","20180701055229843","C:\Img\2018\07\01\055229843S_3076.jpg","01","60",,"45",,"1","183076","(495, 380), W:231, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"61너4688","20180701060812139","C:\Img\2018\07\01\060812139S_4688.jpg","01","81",,"45",,"1","614688","(611, 318), W:233, H:69","GigE 14354138 / 1/1500S / Gain 130 /"
,"62노2789","20180701061925743","C:\Img\2018\07\01\061925743S_2789.jpg","01","59",,"40",,"1","622789","(583, 330), W:245, H:69","GigE 14354138 / 1/1500S / Gain 130 /"
,"66다8259","20180701061954651","C:\Img\2018\07\01\061954651S_8259.jpg","01","66",,"40","5","1","668259","(497, 380), W:225, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"19오6251","20180701062604040","C:\Img\2018\07\01\062604040S_6251.jpg","01","59",,"44",,"1","196251","(507, 366), W:247, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"55호1087","20180701063016459","C:\Img\2018\07\01\063016459S_1087.jpg","01","71",,"41",,"1","551087","(459, 362), W:249, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"61러8282","20180701063031400","C:\Img\2018\07\01\063031400S_8282.jpg","01","59",,"42",,"1","618282","(625, 346), W:269, H:73","GigE 14354138 / 1/1500S / Gain 130 /"
,"62호9508","20180701063050606","C:\Img\2018\07\01\063050606S_9508.jpg","01","60",,"43",,"1","629508","(589, 374), W:237, H:75","GigE 14354138 / 1/1500S / Gain 130 /"
,"17무7280","20180701063157822","C:\Img\2018\07\01\063157822S_7280.jpg","01","57",,"41",,"1","177280","(541, 364), W:261, H:71","GigE 14354138 / 1/1500S / Gain 130 /"
,"29머4751","20180701063356941","C:\Img\2018\07\01\063356941S_4751.jpg","01","83",,"46",,"1","294751","(369, 376), W:185, H:81","GigE 14354138 / 1/1500S / Gain 130 /"
,"18저4501","20180701063835321","C:\Img\2018\07\01\063835321S_4501.jpg","01","78",,"40",,"1","184501","(703, 302), W:251, H:71","GigE 14354138 / 1/1500S / Gain 120 /"
,"62노7805","20180701063919471","C:\Img\2018\07\01\063919471S_7805.jpg","01","65",,"41",,"1","627805","(537, 478), W:251, H:73","GigE 14354138 / 1/1500S / Gain 120 /"
,"82무5683","20180701064357886","C:\Img\2018\07\01\064357886S_5683.jpg","01","45",,"38",,"1","825683","(585, 340), W:271, H:73","GigE 14354138 / 1/1500S / Gain 120 /"
,"23너1247","20180701064419146","C:\Img\2018\07\01\064419146S_1247.jpg","01","63",,"39",,"1","231247","(593, 308), W:239, H:67","GigE 14354138 / 1/1500S / Gain 120 /"
,"04수5691","20180701064550978","C:\Img\2018\07\01\064550978S_5691.jpg","01","67",,"41",,"1","045691","(467, 352), W:233, H:67","GigE 14354138 / 1/1500S / Gain 120 /"
