일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"81나5114","20181101011152469","C:\Img\2018\11\01\011152469S_5114.jpg","01","68",,"4",,"1","815114","(423, 520), W:273, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"XXXX87자2642","20181101072806016","C:\Img\2018\11\01\072806016S_2642.jpg","01","112",,"3","1","1","872642","(435, 456), W:247, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"81더2859","20181101082255896","C:\Img\2018\11\01\082255896S_2859.jpg","01","106",,"3",,"1","812859","(389, 456), W:317, H:87","1200UM 14213237 / 1/1000S / Gain 400 /"
,"88머8076","20181101101758149","C:\Img\2018\11\01\101758149S_8076.jpg","01","75",,"3",,"1","888076","(693, 456), W:219, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"66호9687","20181101102832639","C:\Img\2018\11\01\102832639S_9687.jpg","01","85",,"4",,"1","669687","(555, 502), W:273, H:71","1200UM 14213237 / 1/1000S / Gain 400 /"
,"01너6490","20181101110143753","C:\Img\2018\11\01\110143753S_6490.jpg","01","73",,"4",,"1","016490","(515, 508), W:289, H:75","1200UM 14213237 / 1/1000S / Gain 400 /"
,"81라0781","20181101111154240","C:\Img\2018\11\01\111154240S_0781.jpg","01","48",,"3",,"1","810781","(661, 474), W:267, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"94도6380","20181101115800036","C:\Img\2018\11\01\115800036S_6380.jpg","01","59",,"3",,"1","946380","(667, 462), W:203, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"03루7356","20181101121313494","C:\Img\2018\11\01\121313494S_7356.jpg","01","58",,"3",,"1","037356","(549, 502), W:277, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"10부9048","20181101122409572","C:\Img\2018\11\01\122409572S_9048.jpg","01","64",,"3",,"1","109048","(631, 508), W:263, H:69","1200UM 14213237 / 1/1000S / Gain 400 /"
,"46다9436","20181101125051250","C:\Img\2018\11\01\125051250S_9436.jpg","01","66",,"3",,"1","469436","(723, 510), W:295, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"서울89자5020","20181101134354348","C:\Img\2018\11\01\134354348S_5020.jpg","01","89",,"4",,"1","895020","(589, 488), W:307, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"27로9303","20181101134831842","C:\Img\2018\11\01\134831842S_9303.jpg","01","63",,"3",,"1","279303","(685, 504), W:273, H:69","1200UM 14213237 / 1/1000S / Gain 400 /"
,"11조0601","20181101135642838","C:\Img\2018\11\01\135642838S_0601.jpg","01","43",,"3",,"1","110601","(701, 472), W:273, H:71","1200UM 14213237 / 1/1000S / Gain 400 /"
,"16나5373","20181101141806446","C:\Img\2018\11\01\141806446S_5373.jpg","01","73",,"3",,"1","165373","(649, 472), W:283, H:75","1200UM 14213237 / 1/1000S / Gain 400 /"
,"07수5602","20181101141922292","C:\Img\2018\11\01\141922292S_5602.jpg","01","47",,"3",,"1","075602","(517, 520), W:283, H:71","1200UM 14213237 / 1/1000S / Gain 400 /"
,"26모4621","20181101143902865","C:\Img\2018\11\01\143902865S_4621.jpg","01","57",,"3",,"1","264621","(671, 514), W:275, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"30라7403","20181101145754101","C:\Img\2018\11\01\145754101S_7403.jpg","01","76",,"4",,"1","307403","(525, 540), W:287, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"36루1711","20181101151058899","C:\Img\2018\11\01\151058899S_1711.jpg","01","46",,"3",,"1","361711","(703, 656), W:291, H:75","1200UM 14213237 / 1/1000S / Gain 400 /"
,"42고8471","20181101151610188","C:\Img\2018\11\01\151610188S_8471.jpg","01","57",,"3",,"1","428471","(633, 478), W:295, H:77","1200UM 14213237 / 1/1000S / Gain 400 /"
,"경기87사1238","20181101152113071","C:\Img\2018\11\01\152113071S_1238.jpg","01","97",,"5",,"1","871238","(398, 444), W:322, H:81","1200UM 14213237 / 1/1000S / Gain 400 /"
,"81더2859","20181101152118911","C:\Img\2018\11\01\152118911S_2859.jpg","01","82",,"3",,"1","812859","(387, 452), W:301, H:85","1200UM 14213237 / 1/1000S / Gain 400 /"
,"84노6844","20181101152620320","C:\Img\2018\11\01\152620320S_6844.jpg","01","94",,"4",,"1","846844","(359, 492), W:287, H:77","1200UM 14213237 / 1/1000S / Gain 400 /"
,"38로2316","20181101152754361","C:\Img\2018\11\01\152754361S_2316.jpg","01","60",,"3",,"1","382316","(663, 510), W:289, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"66부9101","20181101153451722","C:\Img\2018\11\01\153451722S_9101.jpg","01","46",,"3",,"1","669101","(693, 500), W:279, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"62누5312","20181101154247148","C:\Img\2018\11\01\154247148S_5312.jpg","01","57",,"3",,"1","625312","(601, 548), W:275, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"61하2064","20181101154430920","C:\Img\2018\11\01\154430920S_2064.jpg","01","65",,"3",,"1","612064","(533, 550), W:273, H:71","1200UM 14213237 / 1/1000S / Gain 400 /"
,"50어6169","20181101154829312","C:\Img\2018\11\01\154829312S_6169.jpg","01","53",,"3",,"1","506169","(557, 490), W:269, H:73","1200UM 14213237 / 1/1000S / Gain 400 /"
,"64러4115","20181101155108966","C:\Img\2018\11\01\155108966S_4115.jpg","01","58",,"3",,"1","644115","(683, 484), W:293, H:77","1200UM 14213237 / 1/1000S / Gain 400 /"
,"59수4681","20181101155824641","C:\Img\2018\11\01\155824641S_4681.jpg","01","71",,"4",,"1","594681","(705, 482), W:255, H:69","1200UM 14213237 / 1/1000S / Gain 400 /"
,"서울87자1998","20181101160207875","C:\Img\2018\11\01\160207875S_1998.jpg","01","75",,"3",,"1","871998","(515, 472), W:319, H:75","1200UM 14213237 / 1/1000S / Gain 400 /"
,"서울88자1150","20181101161332762","C:\Img\2018\11\01\161332762S_1150.jpg","01","81",,"4",,"1","881150","(428, 488), W:328, H:77","1200UM 14213237 / 1/1000S / Gain 400 /"
,"59라7894","20181101161339839","C:\Img\2018\11\01\161339839S_7894.jpg","01","51",,"3",,"1","597894","(743, 458), W:265, H:71","1200UM 14213237 / 1/1000S / Gain 400 /"
,"서울86자7172","20181101161509929","C:\Img\2018\11\01\161509929S_7172.jpg","01","107",,"4",,"1","867172","(724, 463), W:214, H:116","1200UM 14213237 / 1/1000S / Gain 400 /"
