일련번호,차량번호,통과시각,파일경로,CODE,인식타임,경차여부,바닥밝기,유효,선택,숫자번호,번호판영역,촬영정보
,"22너9502","20181201000055407","C:\Img\2018\12\01\000055407S_9502.jpg","01","69",,"6",,"1","229502","(307, 610), W:239, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"73다1433","20181201000101303","C:\Img\2018\12\01\000101303S_1433.jpg","01","48",,"8",,"1","731433","(421, 522), W:223, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"42너5972","20181201000108637","C:\Img\2018\12\01\000108637S_5972.jpg","01","35",,"7",,"1","425972","(395, 556), W:227, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"19나7617","20181201000324027","C:\Img\2018\12\01\000324027S_7617.jpg","01","60",,"8",,"1","197617","(319, 564), W:237, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"01더8886","20181201000411518","C:\Img\2018\12\01\000411518S_8886.jpg","01","45",,"7",,"1","018886","(357, 439), W:179, H:100","1200UM 14034526 / 1/1000S / Gain 440 /"
,"06무4593","20181201000419365","C:\Img\2018\12\01\000419365S_4593.jpg","01","31",,"7",,"1","064593","(351, 402), W:239, H:69","1200UM 14034526 / 1/1000S / Gain 440 /"
,"11너6642","20181201000513016","C:\Img\2018\12\01\000513016S_6642.jpg","01","56",,"7",,"1","116642","(249, 564), W:249, H:69","1200UM 14034526 / 1/1000S / Gain 440 /"
,"03나4200","20181201000716456","C:\Img\2018\12\01\000716456S_4200.jpg","01","55",,"7",,"1","034200","(355, 548), W:243, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"59호8930","20181201000722718","C:\Img\2018\12\01\000722718S_8930.jpg","01","63",,"6",,"1","598930","(477, 514), W:227, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"미인식","20181201000726348","C:\Img\2018\12\01\000726348S_XXXX.jpg","01","467",,"6","1","1",,,"1200UM 14034526 / 1/1000S / Gain 440 /"
,"07거6582","20181201000817330","C:\Img\2018\12\01\000817330S_6582.jpg","01","38",,"6",,"1","076582","(339, 526), W:213, H:57","1200UM 14034526 / 1/1000S / Gain 440 /"
,"48두1682","20181201001139020","C:\Img\2018\12\01\001139020S_1682.jpg","01","35",,"6",,"1","481682","(311, 550), W:247, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"69모1138","20181201001444054","C:\Img\2018\12\01\001444054S_1138.jpg","01","49",,"7",,"1","691138","(327, 508), W:233, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"07라4783","20181201002227564","C:\Img\2018\12\01\002227564S_4783.jpg","01","32",,"6",,"1","074783","(379, 558), W:235, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"41수8533","20181201002558178","C:\Img\2018\12\01\002558178S_8533.jpg","01","45",,"7",,"1","418533","(315, 530), W:235, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"60주0757","20181201002715835","C:\Img\2018\12\01\002715835S_0757.jpg","01","56",,"7",,"1","600757","(397, 526), W:225, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"23루7499","20181201002746337","C:\Img\2018\12\01\002746337S_7499.jpg","01","58",,"7",,"1","237499","(309, 550), W:235, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"43누4534","20181201003308379","C:\Img\2018\12\01\003308379S_4534.jpg","01","47",,"6",,"1","434534","(341, 596), W:243, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"52하4398","20181201003426808","C:\Img\2018\12\01\003426808S_4398.jpg","01","48",,"8",,"1","524398","(427, 552), W:233, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"11너0770","20181201003433395","C:\Img\2018\12\01\003433395S_0770.jpg","01","68",,"7",,"1","110770","(353, 550), W:233, H:61","1200UM 14034526 / 1/1000S / Gain 440 /"
,"56가5455","20181201003754642","C:\Img\2018\12\01\003754642S_5455.jpg","01","44",,"6",,"1","565455","(369, 610), W:245, H:67","1200UM 14034526 / 1/1000S / Gain 440 /"
,"84머5468","20181201005750601","C:\Img\2018\12\01\005750601S_5468.jpg","01","58",,"8",,"1","845468","(437, 506), W:177, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"81수6324","20181201005854960","C:\Img\2018\12\01\005854960S_6324.jpg","01","49",,"7",,"1","816324","(333, 550), W:237, H:61","1200UM 14034526 / 1/1000S / Gain 440 /"
,"37서8509","20181201011200681","C:\Img\2018\12\01\011200681S_8509.jpg","01","50",,"7",,"1","378509","(395, 534), W:223, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"03오4044","20181201011308204","C:\Img\2018\12\01\011308204S_4044.jpg","01","56",,"7",,"1","034044","(325, 286), W:249, H:79","1200UM 14034526 / 1/1000S / Gain 440 /"
,"27두0897","20181201011930883","C:\Img\2018\12\01\011930883S_0897.jpg","01","49",,"6",,"1","270897","(257, 638), W:239, H:71","1200UM 14034526 / 1/1000S / Gain 440 /"
,"76두4366","20181201011937395","C:\Img\2018\12\01\011937395S_4366.jpg","01","55",,"7",,"1","764366","(369, 536), W:237, H:61","1200UM 14034526 / 1/1000S / Gain 440 /"
,"42주0888","20181201011948859","C:\Img\2018\12\01\011948859S_0888.jpg","01","45",,"6",,"1","420888","(265, 450), W:247, H:73","1200UM 14034526 / 1/1000S / Gain 440 /"
,"47거5484","20181201012031531","C:\Img\2018\12\01\012031531S_5484.jpg","01","50",,"7",,"1","475484","(363, 600), W:237, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"91소7264","20181201012611494","C:\Img\2018\12\01\012611494S_7264.jpg","01","48",,"6",,"1","917264","(347, 560), W:239, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"81버2024","20181201012940624","C:\Img\2018\12\01\012940624S_2024.jpg","01","57",,"7",,"1","812024","(273, 522), W:179, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"20하5175","20181201013219244","C:\Img\2018\12\01\013219244S_5175.jpg","01","51",,"7",,"1","205175","(211, 528), W:223, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"42머5927","20181201014329682","C:\Img\2018\12\01\014329682S_5927.jpg","01","51",,"7",,"1","425927","(331, 570), W:243, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"64두3383","20181201014636348","C:\Img\2018\12\01\014636348S_3383.jpg","01","35",,"6",,"1","643383","(325, 596), W:245, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"58두9673","20181201020656331","C:\Img\2018\12\01\020656331S_9673.jpg","01","48",,"6",,"1","589673","(345, 522), W:239, H:61","1200UM 14034526 / 1/1000S / Gain 440 /"
,"29호5608","20181201020721460","C:\Img\2018\12\01\020721460S_5608.jpg","01","57",,"8",,"1","295608","(395, 560), W:233, H:61","1200UM 14034526 / 1/1000S / Gain 440 /"
,"11보1111","20181201021239956","C:\Img\2018\12\01\021239956S_1111.jpg","01","41",,"6",,"1","111111","(445, 558), W:231, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"40머3337","20181201021403469","C:\Img\2018\12\01\021403469S_3337.jpg","01","43",,"6",,"1","403337","(371, 576), W:241, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"63로0591","20181201021737723","C:\Img\2018\12\01\021737723S_0591.jpg","01","51",,"6",,"1","630591","(285, 546), W:217, H:61","1200UM 14034526 / 1/1000S / Gain 440 /"
,"09하7877","20181201023933928","C:\Img\2018\12\01\023933928S_7877.jpg","01","39",,"7",,"1","097877","(417, 512), W:231, H:59","1200UM 14034526 / 1/1000S / Gain 440 /"
,"52하4398","20181201024928527","C:\Img\2018\12\01\024928527S_4398.jpg","01","43",,"8",,"1","524398","(313, 600), W:249, H:65","1200UM 14034526 / 1/1000S / Gain 440 /"
,"66로0342","20181201025852109","C:\Img\2018\12\01\025852109S_0342.jpg","01","36",,"8",,"1","660342","(427, 552), W:233, H:61","1200UM 14034526 / 1/1000S / Gain 440 /"
,"27두0897","20181201030606806","C:\Img\2018\12\01\030606806S_0897.jpg","01","35",,"6",,"1","270897","(337, 632), W:245, H:71","1200UM 14034526 / 1/1000S / Gain 440 /"
,"76두4366","20181201030639677","C:\Img\2018\12\01\030639677S_4366.jpg","01","48",,"7",,"1","764366","(331, 544), W:233, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
,"08구6067","20181201032001181","C:\Img\2018\12\01\032001181S_6067.jpg","01","40",,"6",,"1","086067","(409, 532), W:253, H:63","1200UM 14034526 / 1/1000S / Gain 440 /"
